package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,53676,53676,,,,,,,,,,,,,,,,,,,,,,
runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,51921,51921,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NETCore.Platforms,7.0.4,metapackage,,,,,49157,49157,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NETCore.Targets,5.0.0,metapackage,,,,,35893,35893,,,,,,,,,,,,,,,,,,,,,,
runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,52395,52395,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System,4.3.1,metapackage,,,,,29727,29727,,,,,,,,,,,,,,,,,,,,,,
runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,53445,53445,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,26290,26290,,,,,,,,,,,,,,,,,,,,,,
runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,47013,47013,,,,,,,,,,,,,,,,,,,,,,
runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,52088,52088,,,,,,,,,,,,,,,,,,,,,,
runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,52102,52102,,,,,,,,,,,,,,,,,,,,,,
runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,52190,52190,,,,,,,,,,,,,,,,,,,,,,
runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,53391,53391,,,,,,,,,,,,,,,,,,,,,,
NETStandard.Library,2.0.3,ok,build,,build/netstandard2.0/ref/System.dll,47240,85796,3146139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
runtime.native.System.Net.Http,4.3.1,metapackage,,,,,29770,29770,,,,,,,,,,,,,,,,,,,,,,
runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,metapackage,,,,,52228,52228,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100,8.2.2,metapackage,,,,,34941,34941,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System.Data.SqlClient.sni,4.7.0,metapackage,,,,,26713,26713,,,,,,,,,,,,,,,,,,,,,,
Swashbuckle.AspNetCore,10.2.3,metapackage,,,,,16490,16490,,,,,,,,,,,,,,,,,,,,,,
Microsoft.EntityFrameworkCore.Analyzers,10.0.11,ok,analyzers,,analyzers/dotnet/cs/Microsoft.EntityFrameworkCore.Analyzers.dll,42808,74354,51749,5,5,19,0,4,0,24,35,0,13,11,9,0,0,0,0,0,4,63,30,101,30
runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.Apple,4.3.1,metapackage,,,,,19584,19584,,,,,,,,,,,,,,,,,,,,,,
xunit.core,2.9.3,metapackage,,,,,33553,33553,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Test.Sdk,18.9.0,metapackage,,,,,40379,40379,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System.IO.Compression,4.3.2,metapackage,,,,,29794,29794,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System.Security.Cryptography.Apple,4.3.1,metapackage,,,,,16967,16967,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System.Security.Cryptography,4.3.4,metapackage,,,,,29901,29901,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100,8.0.30,metapackage,,,,,55995,55995,,,,,,,,,,,,,,,,,,,,,,
xunit,2.9.3,metapackage,,,,,31659,31659,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100,8.0.30,metapackage,,,,,52515,52515,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.macOS.Manifest-8.0.100,15.0.8319,metapackage,,,,,32107,32107,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.net6.Manifest-8.0.100,8.0.30,metapackage,,,,,35582,35582,,,,,,,,,,,,,,,,,,,,,,
xunit.runner.visualstudio,4.0.0,ok,build,,build/net472/xunit.abstractions.dll,21928,77163,1390337,73,33,78,0,0,0,111,0,0,0,0,114,114,0,0,73,73,0,0,74,114,74
Microsoft.NET.Workload.Emscripten.Current.Manifest-8.0.100,8.0.30,metapackage,,,,,35932,35932,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Extensions.ApiDescription.Server,10.0.11,ok,tools,,tools/Newtonsoft.Json.dll,722552,342910,5242841,144,749,705,8,169,72,1462,1115,101,453,204,665,33,55,0,9,24,48,2204,494,4208,494
Microsoft.NET.Workload.Emscripten.net7.Manifest-8.0.100,8.0.30,metapackage,,,,,35898,35898,,,,,,,,,,,,,,,,,,,,,,
System.Composition,10.0.11,metapackage,,,,,46406,46406,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-8.0.100,8.0.30,metapackage,,,,,52338,52338,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Data.SqlClient.SNI.runtime,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.iOS.Manifest-8.0.100,18.0.8319,metapackage,,,,,32223,32223,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Maui.Manifest-8.0.100,8.0.100,metapackage,,,,,40711,40711,,,,,,,,,,,,,,,,,,,,,,
coverlet.collector,10.0.1,ok,build,,build/net8.0/Mono.Cecil.dll,372824,234243,4888920,178,305,834,1,116,4,1140,707,81,163,35,552,91,217,0,23,36,130,1952,351,3152,351
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100,18.0.8319,metapackage,,,,,32137,32137,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Android.Manifest-8.0.100,34.0.154,metapackage,,,,,31179,31179,,,,,,,,,,,,,,,,,,,,,,
xunit.analyzers,2.0.0,ok,analyzers,,analyzers/dotnet/cs/xunit.analyzers.dll,376072,235313,333279,150,310,454,0,101,0,764,355,72,377,319,349,92,118,0,9,38,25,980,357,1789,357
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100,18.0.8319,metapackage,,,,,32101,32101,,,,,,,,,,,,,,,,,,,,,,
System.Private.Uri,4.3.2,metapackage,,,,,26095,26095,,,,,,,,,,,,,,,,,,,,,,
runtime.win-x86.runtime.native.System.Data.SqlClient.sni,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime.native.System.Net.Security,4.3.1,metapackage,,,,,29784,29784,,,,,,,,,,,,,,,,,,,,,,
runtime.win-x64.runtime.native.System.Data.SqlClient.sni,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime.win-arm64.runtime.native.System.Data.SqlClient.sni,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NETCore.DotNetHostResolver,8.0.30,metapackage,,,,,47362,47362,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NETCore.DotNetHostPolicy,8.0.30,metapackage,,,,,47397,47397,,,,,,,,,,,,,,,,,,,,,,
NUnit3TestAdapter,6.3.0,ok,build,,build/net462/nunit.engine.dll,75264,100657,581248,36,97,48,2,30,2,147,127,12,10,6,98,4,67,0,3,6,7,195,58,353,58
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.400,16.4.60,metapackage,,,,,27408,27408,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.iOS.Manifest-6.0.400,16.4.60,metapackage,,,,,27448,27448,,,,,,,,,,,,,,,,,,,,,,
MSTest.TestAdapter,4.4.0,ok,buildtransitive,,buildTransitive/net462/MSTest.TestAdapter.dll,152416,133312,1994070,4,7,147,0,0,0,154,217,10,134,7,0,0,0,0,0,3,4,559,177,697,177
NuGet.CommandLine,7.9.0,metapackage,,,,,65558,5142151,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.macOS.Manifest-6.0.400,13.3.60,metapackage,,,,,27360,27360,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Android.Manifest-6.0.400,32.0.509,metapackage,,,,,33904,33904,,,,,,,,,,,,,,,,,,,,,,
