package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
Microsoft.NETCore.Platforms,7.0.4,metapackage,,,,,49157.0,49157.0,,,,,,,,,,,,,,,,,,,,,,
System.Threading.Tasks.Extensions,4.6.3,ok,,netstandard2.0,lib/netstandard2.0/System.Threading.Tasks.Extensions.dll,27936.0,81498.0,74604.0,15.0,49.0,17.0,0.0,6.0,4.0,66.0,,,,,,,,,,,,,,111.0,27.0
System.Runtime.CompilerServices.Unsafe,6.1.2,ok,,netstandard2.0,lib/netstandard2.0/System.Runtime.CompilerServices.Unsafe.dll,19256.0,76999.0,75106.0,1.0,42.0,0.0,0.0,0.0,0.0,42.0,,,,,,,,,,,,,,47.0,6.0
Microsoft.Extensions.Configuration.Binder,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Extensions.Configuration.Binder.dll,49488.0,90486.0,387004.0,6.0,14.0,44.0,0.0,1.0,0.0,58.0,,,,,,,,,,,,,,161.0,43.0
Microsoft.Extensions.DependencyInjection.Abstractions,10.0.11,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Extensions.DependencyInjection.Abstractions.dll,66344.0,95790.0,283734.0,28.0,182.0,60.0,0.0,14.0,0.0,242.0,,,,,,,,,,,,,,359.0,57.0
Microsoft.Extensions.Options,10.0.11,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Extensions.Options.dll,70440.0,99420.0,491484.0,50.0,106.0,136.0,1.0,34.0,0.0,243.0,,,,,,,,,,,,,,403.0,99.0
Microsoft.Extensions.Logging.Abstractions,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Extensions.Logging.Abstractions.dll,69968.0,99623.0,807800.0,28.0,82.0,90.0,0.0,14.0,3.0,172.0,,,,,,,,,,,,,,448.0,104.0
Microsoft.Extensions.Configuration.Abstractions,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Extensions.Configuration.Abstractions.dll,32040.0,83182.0,144901.0,16.0,27.0,29.0,0.0,2.0,0.0,56.0,,,,,,,,,,,,,,117.0,43.0
Microsoft.Extensions.FileProviders.Abstractions,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Extensions.FileProviders.Abstractions.dll,26920.0,80657.0,126766.0,11.0,13.0,34.0,0.0,3.0,0.0,47.0,,,,,,,,,,,,,,104.0,36.0
Microsoft.Extensions.Primitives,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Extensions.Primitives.dll,51024.0,91652.0,206833.0,16.0,71.0,53.0,0.0,11.0,23.0,124.0,,,,,,,,,,,,,,305.0,58.0
Microsoft.Extensions.DependencyInjection,10.0.11,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Extensions.DependencyInjection.dll,100136.0,112518.0,349298.0,9.0,13.0,127.0,0.0,3.0,0.0,140.0,,,,,,,,,,,,,,491.0,92.0
Microsoft.Extensions.Configuration,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Extensions.Configuration.dll,47912.0,90481.0,186788.0,19.0,44.0,69.0,0.0,13.0,0.0,113.0,,,,,,,,,,,,,,270.0,59.0
Microsoft.Extensions.Logging,10.0.11,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Extensions.Logging.dll,53544.0,93253.0,227956.0,12.0,33.0,57.0,0.0,9.0,0.0,90.0,,,,,,,,,,,,,,262.0,74.0
System.Memory,4.6.3,ok,,netstandard2.0,lib/netstandard2.0/System.Memory.dll,145176.0,127565.0,192935.0,29.0,283.0,69.0,0.0,21.0,17.0,352.0,,,,,,,,,,,,,,708.0,78.0
System.Diagnostics.DiagnosticSource,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/System.Diagnostics.DiagnosticSource.dll,209704.0,158629.0,601345.0,53.0,220.0,274.0,1.0,43.0,8.0,495.0,,,,,,,,,,,,,,1346.0,219.0
Newtonsoft.Json,13.0.4,ok,,netstandard2.0,lib/netstandard2.0/Newtonsoft.Json.dll,717736.0,337950.0,2484726.0,143.0,751.0,722.0,8.0,168.0,72.0,1481.0,,,,,,,,,,,,,,4222.0,507.0
System.Buffers,4.6.1,ok,,netstandard2.0,lib/netstandard2.0/System.Buffers.dll,23832.0,79791.0,67724.0,1.0,4.0,5.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,42.0,13.0
Microsoft.NETCore.Targets,5.0.0,metapackage,,,,,35893.0,35893.0,,,,,,,,,,,,,,,,,,,,,,
System.Security.Cryptography.Cng,5.0.0,ok,,netstandard2.1,ref/netstandard2.1/System.Security.Cryptography.Cng.dll,29576.0,80745.0,957764.0,29.0,111.0,89.0,0.0,40.0,10.0,200.0,,,,,,,,,,,,,,282.0,38.0
Microsoft.Extensions.Hosting.Abstractions,10.0.11,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Extensions.Hosting.Abstractions.dll,58704.0,91412.0,231993.0,25.0,45.0,38.0,0.0,5.0,0.0,83.0,,,,,,,,,,,,,,160.0,51.0
System.Text.Encodings.Web,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/System.Text.Encodings.Web.dll,87336.0,104864.0,410701.0,15.0,31.0,211.0,0.0,8.0,0.0,242.0,,,,,,,,,,,,,,544.0,79.0
System.Text.Json,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/System.Text.Json.dll,767784.0,340542.0,2222777.0,96.0,525.0,1001.0,0.0,67.0,66.0,1526.0,,,,,,,,,,,,,,4566.0,441.0
Microsoft.Bcl.AsyncInterfaces,10.0.11,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Bcl.AsyncInterfaces.dll,20264.0,77770.0,99110.0,4.0,3.0,9.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,33.0,14.0
Microsoft.CSharp,4.7.0,ok,,netstandard2.0,ref/netstandard2.0/Microsoft.CSharp.dll,16488.0,75226.0,627100.0,6.0,12.0,0.0,0.0,8.0,0.0,12.0,,,,,,,,,,,,,,21.0,7.0
System.Security.Principal.Windows,5.0.0,ok,,netstandard2.0,ref/netstandard2.0/System.Security.Principal.Windows.dll,28552.0,80545.0,535022.0,12.0,46.0,37.0,0.0,20.0,6.0,83.0,,,,,,,,,,,,,,136.0,32.0
System.Runtime,4.3.1,ok,,netstandard1.5,ref/netstandard1.5/System.Runtime.dll,120664.0,113091.0,7272877.0,275.0,1050.0,302.0,0.0,353.0,126.0,1352.0,,,,,,,,,,,,,,2221.0,276.0
System.Security.Cryptography.ProtectedData,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/System.Security.Cryptography.ProtectedData.dll,42792.0,88459.0,153874.0,6.0,5.0,21.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,100.0,48.0
Microsoft.IdentityModel.Logging,8.22.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.IdentityModel.Logging.dll,39200.0,85175.0,197620.0,6.0,47.0,27.0,0.0,6.0,0.0,74.0,,,,,,,,,,,,,,127.0,18.0
System.Reflection.TypeExtensions,4.7.0,ok,,netstandard2.0,ref/netstandard2.0/System.Reflection.TypeExtensions.dll,17480.0,75463.0,249287.0,7.0,53.0,0.0,0.0,0.0,0.0,53.0,,,,,,,,,,,,,,53.0,8.0
System.Security.AccessControl,6.0.1,ok,,netstandard2.0,lib/netstandard2.0/System.Security.AccessControl.dll,60176.0,91224.0,235270.0,46.0,140.0,155.0,0.0,57.0,2.0,295.0,,,,,,,,,,,,,,428.0,71.0
System.Configuration.ConfigurationManager,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/System.Configuration.ConfigurationManager.dll,430928.0,231242.0,986559.0,167.0,452.0,926.0,8.0,177.0,0.0,1386.0,,,,,,,,,,,,,,2677.0,306.0
Microsoft.IdentityModel.Tokens,8.22.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.IdentityModel.Tokens.dll,404248.0,198442.0,1384366.0,149.0,312.0,428.0,0.0,239.0,12.0,740.0,,,,,,,,,,,,,,1881.0,301.0
System.IO,4.3.0,ok,,netstandard1.5,ref/netstandard1.5/System.IO.dll,30528.0,81761.0,703652.0,14.0,202.0,31.0,0.0,41.0,0.0,233.0,,,,,,,,,,,,,,282.0,15.0
System.Reflection.Emit.Lightweight,4.7.0,ok,,netstandard2.0,ref/netstandard2.0/System.Reflection.Emit.Lightweight.dll,17992.0,75917.0,155693.0,1.0,13.0,10.0,0.0,8.0,0.0,23.0,,,,,,,,,,,,,,37.0,6.0
System.Text.Encoding,4.3.0,ok,,netstandard1.3,ref/netstandard1.3/System.Text.Encoding.dll,26992.0,80577.0,327281.0,14.0,73.0,36.0,0.0,23.0,0.0,109.0,,,,,,,,,,,,,,134.0,15.0
System.Runtime.Extensions,4.3.1,ok,,netstandard1.5,ref/netstandard1.5/System.Runtime.Extensions.dll,38280.0,84711.0,1069513.0,13.0,413.0,28.0,1.0,16.0,2.0,442.0,,,,,,,,,,,,,,473.0,14.0
System.Reflection,4.3.0,ok,,netstandard1.5,ref/netstandard1.5/System.Reflection.dll,41312.0,86437.0,700821.0,34.0,190.0,174.0,0.0,24.0,4.0,364.0,,,,,,,,,,,,,,426.0,35.0
System.Reflection.Emit,4.7.0,ok,,netstandard2.0,ref/netstandard2.0/System.Reflection.Emit.dll,35400.0,82703.0,406832.0,11.0,298.0,115.0,0.0,0.0,0.0,413.0,,,,,,,,,,,,,,430.0,16.0
System.Collections.Immutable,10.0.11,ok,,netstandard2.0,lib/netstandard2.0/System.Collections.Immutable.dll,252752.0,172894.0,794891.0,49.0,648.0,435.0,0.0,0.0,4.0,1083.0,,,,,,,,,,,,,,2224.0,228.0
System.Threading.Tasks,4.3.0,ok,,netstandard1.3,ref/netstandard1.3/System.Threading.Tasks.dll,43384.0,85879.0,840017.0,33.0,280.0,49.0,1.0,61.0,4.0,330.0,,,,,,,,,,,,,,396.0,34.0
System.Reflection.Primitives,4.3.0,ok,,netstandard1.0,ref/netstandard1.0/System.Reflection.Primitives.dll,30104.0,82530.0,281679.0,16.0,5.0,8.0,0.0,0.0,2.0,13.0,,,,,,,,,,,,,,16.0,17.0
System.Globalization,4.3.0,ok,,netstandard1.3,ref/netstandard1.3/System.Globalization.dll,35184.0,83980.0,589136.0,14.0,115.0,97.0,0.0,13.0,0.0,212.0,,,,,,,,,,,,,,281.0,15.0
System.Resources.ResourceManager,4.3.0,ok,,netstandard1.0,ref/netstandard1.0/System.Resources.ResourceManager.dll,22432.0,78820.0,85908.0,4.0,2.0,2.0,0.0,7.0,0.0,4.0,,,,,,,,,,,,,,11.0,5.0
System.Threading,4.3.0,ok,,netstandard1.3,ref/netstandard1.3/System.Threading.dll,32096.0,82787.0,708088.0,31.0,176.0,38.0,0.0,54.0,0.0,214.0,,,,,,,,,,,,,,271.0,32.0
System.IdentityModel.Tokens.Jwt,8.22.0,ok,,netstandard2.0,lib/netstandard2.0/System.IdentityModel.Tokens.Jwt.dll,90952.0,104678.0,392311.0,9.0,41.0,85.0,0.0,22.0,0.0,126.0,,,,,,,,,,,,,,265.0,22.0
