package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
Microsoft.Graph,6.5.0,ok,,netstandard2.1,lib/netstandard2.1/Microsoft.Graph.dll,46134072,10247478,53404732,43940,64625,64318,0,54416,0,128943,,,,,,,,,,,,,,290141,76317
Silk.NET.Direct3D11,2.23.0,ok,lib,netstandard2.1,lib/netstandard2.1/Silk.NET.Direct3D11.dll,16864016,2252533,10385629,549,68508,159,0,326,212,68667,184.0,2.0,3.0,43062.0,3.0,0.0,1.0,0.0,0.0,94.0,548.0,5768.0,561.0,69417,561
SteamKit2,3.4.0,ok,lib,net10.0,lib/net10.0/SteamKit2.dll,6891008,2173267,5905099,6797,36807,22081,15,5909,26,58903,6310.0,32.0,263.0,84.0,648.0,82.0,203.0,0.0,16.0,35.0,958.0,40448.0,7005.0,90892,7005
Elastic.Clients.Elasticsearch,9.5.1,ok,,netstandard2.1,lib/netstandard2.1/Elastic.Clients.Elasticsearch.dll,14597120,5196184,35988296,8887,37597,19372,0,12723,4458,56969,,,,,,,,,,,,,,114604,11399
microsoft.winui,3.0.0-preview4.210210.4,ok,lib,net5.0-windows10.0.18362.0,lib/net5.0-windows10.0.18362.0/Microsoft.WinUI.dll,11337104,2573159,52111395,2829,21688,27077,1205,1500,2244,49970,42775.0,1803.0,3839.0,19802.0,5622.0,707.0,1547.0,0.0,106.0,183.0,2326.0,19019.0,10141.0,94136,10141
Silk.NET.Direct3D.Compilers,2.23.0,ok,lib,netstandard2.1,lib/netstandard2.1/Silk.NET.Direct3D.Compilers.dll,15895824,2026105,8913912,72,45612,39,0,36,40,45651,59.0,4.0,2.0,24187.0,6.0,0.0,2.0,0.0,0.0,31.0,70.0,239.0,82.0,45806,82
AWSSDK,2.3.55.2,ok,,net45,lib/net45/AWSSDK.dll,8474624,2263950,21377985,11969,17398,18532,15,16383,527,35945,,,,,,,,,,,,,,87959,12375
Twilio,8.0.0,ok,,netstandard2.0,lib/netstandard2.0/Twilio.dll,9628160,2405021,10270277,3683,18588,13946,0,3164,573,32534,,,,,,,,,,,,,,63192,9650
Nuke.Common,10.1.0,ok,,net10.0,lib/net10.0/Nuke.Common.dll,12288792,2977675,9285473,1347,22129,6441,0,796,140,28570,,,,,,,,,,,,,,71735,21988
DocumentFormat.OpenXml,3.5.1,ok,,netstandard2.0,lib/netstandard2.0/DocumentFormat.OpenXml.dll,7986656,1994573,15375355,5075,6830,20283,0,11905,1164,27113,,,,,,,,,,,,,,83164,8035
DirectNStandard,1.18.0,ok,lib,netstandard2.0,lib/netstandard2.0/DirectNStandard.dll,5412864,1638523,1745156,10357,21858,3880,2,108,90,25740,413.0,28.0,86.0,2705.0,19225.0,18880.0,92.0,0.0,1662.0,1763.0,8669.0,77751.0,10551.0,30447,10551
NEST,7.17.5,ok,,netstandard2.0,lib/netstandard2.0/Nest.dll,5051392,1608724,4710953,4362,8092,15641,6,3825,228,23739,,,,,,,,,,,,,,50085,6576
