repository,ranking,status,direct_deps,direct_in_ecosystem
2dust/v2rayN,stars,ok,34,28
shadowsocks/shadowsocks-windows,stars,ok,60,57
jellyfin/jellyfin,stars,ok,101,78
PowerShell/PowerShell,stars,ok,90,80
files-community/Files,stars,ok,64,53
ShareX/ShareX,stars,ok,26,20
huiyadanli/RevokeMsgPatcher,stars,ok,4,1
dotnet/aspnetcore,stars,ok,405,162
DevToys-app/DevToys,stars,ok,93,54
AvaloniaUI/Avalonia,stars,ok,103,68
microsoft/calculator,stars,ok,22,15
iOfficeAI/OfficeCLI,stars,unavailable:FetchError,0,0
dnSpy/dnSpy,stars,ok,16,12
microsoft/semantic-kernel,stars,ok,465,165
NickeManarin/ScreenToGif,stars,ok,16,15
BeyondDimension/SteamTools,stars,ok,230,220
icsharpcode/ILSpy,stars,ok,86,73
Devolutions/UniGetUI,stars,ok,41,32
mxgmn/WaveFunctionCollapse,stars,ok,1,1
QL-Win/QuickLook,stars,ok,58,53
dotnet-architecture/eShopOnContainers,stars,ok,0,0
k1tbyte/Wand-Enhancer,stars,ok,34,7
dotnet/maui,stars,ok,226,198
CodeHubApp/CodeHub,stars,ok,44,44
QuantConnect/Lean,stars,ok,34,33
thangchung/awesome-dotnet-core,stars,ok,0,0
BCUninstaller/Bulk-Crap-Uninstaller,stars,ok,15,11
dotnet/roslyn,stars,ok,360,342
jasontaylordev/CleanArchitecture,stars,unavailable:FetchError,0,0
peass-ng/PEASS-ng,stars,ok,84,71
bitwarden/server,stars,ok,486,108
BluePointLilac/ContextMenuManager,stars,unavailable:FetchError,0,0
Unity-Technologies/ml-agents,stars,ok,38,1
rocksdanister/lively,stars,ok,151,151
TGSAN/CMWTAT_Digital_Edition,stars,ok,6,6
ppy/osu,stars,ok,53,39
ardalis/CleanArchitecture,stars,ok,111,93
DapperLib/Dapper,stars,ok,43,40
hellzerg/optimizer,stars,ok,0,0
dotnet/runtime,stars,ok,300,145
netchx/netch,stars,ok,37,24
OpenRA/OpenRA,stars,ok,24,20
MaterialDesignInXAML/MaterialDesignInXamlToolkit,stars,ok,37,30
Tyrrrz/YoutubeDownloader,stars,ok,30,25
nilaoda/N_m3u8DL-CLI,stars,ok,11,11
Jackett/Jackett,stars,ok,53,45
Perfare/AssetStudio,stars,ok,13,10
Flow-Launcher/Flow.Launcher,stars,ok,64,52
Sonarr/Sonarr,stars,ok,338,81
babalae/better-genshin-impact,stars,ok,93,76
Tichau/FileConverter,stars,ok,10,10
seerge/g-helper,stars,ok,16,7
duplicati/duplicati,stars,ok,136,113
dotnet/efcore,stars,ok,63,57
abpframework/abp,stars,ok,927,274
MonoGame/MonoGame,stars,ok,71,54
Radarr/Radarr,stars,ok,221,89
winsw/winsw,stars,ok,43,37
d2phap/ImageGlass,stars,ok,78,43
App-vNext/Polly,stars,ok,264,239
QuestPDF/QuestPDF,stars,ok,22,15
SubtitleEdit/subtitleedit,stars,ok,48,31
kgrzybek/modular-monolith-with-ddd,stars,ok,7,5
nilaoda/BBDown,stars,ok,0,0
JosefNemec/Playnite,stars,ok,50,50
CoplayDev/unity-mcp,stars,ok,88,0
JustArchiNET/ArchiSteamFarm,stars,ok,36,22
MiniMax-AI/skills,stars,unavailable:FetchError,0,0
dotnet/AspNetCore.Docs,stars,ok,695,565
Unity-Technologies/UnityCsReference,stars,ok,9,9
memstechtips/Winhance,stars,ok,35,34
dotnet/csharplang,stars,ok,0,0
wmjordan/PDFPatcher,stars,ok,2,2
OdysseusYuan/LKY_OfficeTools,stars,ok,0,0
microsoft/garnet,stars,ok,108,27
aspnetboilerplate/aspnetboilerplate,stars,ok,167,165
Tyrrrz/DiscordChatExporter,stars,ok,43,36
LuckyPennySoftware/MediatR,stars,ok,42,35
lucasg/Dependencies,stars,ok,2,2
xupefei/Locale-Emulator,stars,ok,0,0
Kareadita/Kavita,stars,ok,292,72
spectreconsole/spectre.console,stars,ok,21,17
lostindark/DriverStoreExplorer,stars,ok,22,12
chocolatey/choco,stars,ok,106,94
dotnet/BenchmarkDotNet,stars,ok,70,54
mono/mono,stars,ok,3,1
File-New-Project/EarTrumpet,stars,ok,15,5
JamesNK/Newtonsoft.Json,stars,ok,16,13
tui-cs/Terminal.Gui,stars,ok,60,39
Cysharp/UniTask,stars,ok,27,12
coding-horror/basic-computer-games,stars,ok,146,10
mRemoteNG/mRemoteNG,stars,ok,89,82
YSGStudyHards/DotNetGuide,stars,unavailable:FetchError,0,0
dotnet/orleans,stars,ok,418,224
dotnet/eShop,stars,ok,85,76
MathewSachin/Captura,stars,ok,26,26
dotnet-architecture/eShopOnWeb,stars,ok,0,0
StockSharp/StockSharp,stars,ok,40,36
MudBlazor/MudBlazor,stars,ok,72,45
dodyg/practical-aspnetcore,stars,ok,125,124
k1tbyte/Wand-Enhancer,forks,ok,34,7
dotnet/AspNetCore.Docs,forks,ok,695,565
dockersamples/example-voting-app,forks,ok,15,3
shadowsocks/shadowsocks-windows,forks,ok,60,57
2dust/v2rayN,forks,ok,34,28
dotnet/aspnetcore,forks,ok,405,162
dotnet-architecture/eShopOnContainers,forks,ok,0,0
PowerShell/PowerShell,forks,ok,90,80
digitalinnovationone/trilha-net-fundamentos-desafio,forks,ok,0,0
