repository,ranking,package,version,ecosystem
2dust/v2rayN,stars,IPNetwork2,>= 0,nuget
2dust/v2rayN,stars,AvaloniaUI.DiagnosticsSupport,>= 0,nuget
2dust/v2rayN,stars,QRCoder,>= 0,nuget
2dust/v2rayN,stars,Semi.Avalonia.DataGrid,>= 0,nuget
2dust/v2rayN,stars,MaterialDesignThemes,>= 0,nuget
2dust/v2rayN,stars,Downloader,>= 0,nuget
2dust/v2rayN,stars,WebDav.Client,>= 0,nuget
2dust/v2rayN,stars,ReactiveUI.SourceGenerators,>= 0,nuget
2dust/v2rayN,stars,Avalonia.Desktop,>= 0,nuget
2dust/v2rayN,stars,Avalonia.AvaloniaEdit,>= 0,nuget
2dust/v2rayN,stars,YamlDotNet,>= 0,nuget
2dust/v2rayN,stars,CliWrap,>= 0,nuget
2dust/v2rayN,stars,NLog,>= 0,nuget
2dust/v2rayN,stars,Avalonia.Controls.DataGrid,>= 0,nuget
2dust/v2rayN,stars,H.NotifyIcon.Wpf,>= 0,nuget
2dust/v2rayN,stars,ReactiveUI,>= 0,nuget
2dust/v2rayN,stars,ZXing.Net.Bindings.SkiaSharp,>= 0,nuget
2dust/v2rayN,stars,Repobot.SQLite.Unofficial,>= 0,nuget
2dust/v2rayN,stars,Semi.Avalonia.AvaloniaEdit,>= 0,nuget
2dust/v2rayN,stars,ReactiveUI.WPF,>= 0,nuget
2dust/v2rayN,stars,DialogHost.Avalonia,>= 0,nuget
2dust/v2rayN,stars,TaskScheduler,>= 0,nuget
2dust/v2rayN,stars,sqlite-net-e,>= 0,nuget
2dust/v2rayN,stars,TUnit.Assertions.Should,>= 0,nuget
2dust/v2rayN,stars,TUnit,>= 0,nuget
2dust/v2rayN,stars,SkiaSharp.NativeAssets.Linux,>= 0,nuget
2dust/v2rayN,stars,Semi.Avalonia,>= 0,nuget
2dust/v2rayN,stars,ReactiveUI.Avalonia,>= 0,nuget
shadowsocks/shadowsocks-windows,stars,xunit.runner.visualstudio,2.5.0,nuget
shadowsocks/shadowsocks-windows,stars,ReactiveUI.Fody,19.5.41,nuget
shadowsocks/shadowsocks-windows,stars,Pharmacist.Common,2.0.5,nuget
shadowsocks/shadowsocks-windows,stars,System.Runtime,4.3.1,nuget
shadowsocks/shadowsocks-windows,stars,ZXing.Net,0.16.6,nuget
shadowsocks/shadowsocks-windows,stars,Google.Protobuf,3.27.2,nuget
shadowsocks/shadowsocks-windows,stars,xunit,2.9.2,nuget
shadowsocks/shadowsocks-windows,stars,System.Security.Cryptography.X509Certificates,4.3.2,nuget
shadowsocks/shadowsocks-windows,stars,ZXing.Net.Bindings.Windows.Compatibility,0.16.12,nuget
shadowsocks/shadowsocks-windows,stars,NLog,4.7.6,nuget
shadowsocks/shadowsocks-windows,stars,System.Memory,4.5.4,nuget
shadowsocks/shadowsocks-windows,stars,System.Net.Http,4.3.4,nuget
