package,version,documentation,xml_doc_file,readme,obtainable_by_download,download_url,size_kb
7-Zip.NativeAssets.Win32,25.1.0,not in the package,,,No,,0.0
A2A,1.0.0-preview2,in the package,lib/net10.0/A2A.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/a2a/1.0.0-preview2/a2a.1.0.0-preview2.nupkg,155.6
A2A.AspNetCore,1.0.0-preview2,in the package,lib/net10.0/A2A.AspNetCore.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/a2a.aspnetcore/1.0.0-preview2/a2a.aspnetcore.1.0.0-preview2.nupkg,8.3
AGUI.Abstractions,0.0.6,in the package,lib/net10.0/AGUI.Abstractions.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/agui.abstractions/0.0.6/agui.abstractions.0.0.6.nupkg,80.7
AGUI.Client,0.0.6,in the package,lib/net10.0/AGUI.Client.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/agui.client/0.0.6/agui.client.0.0.6.nupkg,13.9
AGUI.Formatting,0.0.6,in the package,lib/net10.0/AGUI.Formatting.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/agui.formatting/0.0.6/agui.formatting.0.0.6.nupkg,4.3
AGUI.Server,0.0.6,in the package,lib/net10.0/AGUI.Server.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/agui.server/0.0.6/agui.server.0.0.6.nupkg,23.2
AWS.Bedrock.MEAI,1.0.0,in the package,lib/net472/AWS.Bedrock.MEAI.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/aws.bedrock.meai/1.0.0/aws.bedrock.meai.1.0.0.nupkg,34.9
AWSSDK,2.3.55.2,not in the package,,,No,,0.0
AWSSDK.BedrockAgent,4.0.101.1,in the package,lib/net472/AWSSDK.BedrockAgent.xml,,Yes,https://api.nuget.org/v3-flatcontainer/awssdk.bedrockagent/4.0.101.1/awssdk.bedrockagent.4.0.101.1.nupkg,2149.3
