package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
Microsoft.Extensions.DependencyInjection.Abstractions,10.0.11,12493950814,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyInjection.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection.Abstractions,
Microsoft.Extensions.Logging.Abstractions,10.0.11,12022217678,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Logging.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Logging.Abstractions,
Microsoft.Extensions.Primitives,10.0.11,11914509581,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Primitives.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Primitives,
Microsoft.Extensions.Options,10.0.11,10789620694,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Options.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Options,
Microsoft.NETCore.Platforms,7.0.4,9994246659,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NETCore.Platforms,
System.Diagnostics.DiagnosticSource,10.0.11,9990574796,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Diagnostics.DiagnosticSource.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Diagnostics.DiagnosticSource,
Microsoft.Extensions.Configuration.Abstractions,10.0.11,9347055818,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Abstractions,
Newtonsoft.Json,13.0.4,9039911147,hand-written site; readme; xml docs; homepage,2,https://www.newtonsoft.com/json,,README.md,,,lib/net20/Newtonsoft.Json.xml,https://github.com/jamesnk/newtonsoft.json,,,,https://www.newtonsoft.com/json,,https://www.nuget.org/packages/Newtonsoft.Json,
Microsoft.Extensions.DependencyInjection,10.0.11,7718816604,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyInjection.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection,
Microsoft.Extensions.Logging,10.0.11,7559206517,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Logging.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Logging,
Microsoft.Extensions.Configuration,10.0.11,6842061867,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration,
Microsoft.Extensions.Configuration.Binder,10.0.11,6657565856,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.Binder.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Binder,
Microsoft.Extensions.FileProviders.Abstractions,10.0.11,6453878994,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.FileProviders.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.FileProviders.Abstractions,
System.Text.Json,10.0.11,6259852603,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Text.Json.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Json,
System.Text.Encodings.Web,10.0.11,6069101170,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Text.Encodings.Web.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Encodings.Web,
Microsoft.Extensions.Hosting.Abstractions,10.0.11,5274088619,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Hosting.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Hosting.Abstractions,
System.Security.Cryptography.ProtectedData,10.0.11,5071769367,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Security.Cryptography.ProtectedData.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Security.Cryptography.ProtectedData,
System.Runtime,4.3.1,4767287329,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Runtime.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Runtime,
Microsoft.Bcl.AsyncInterfaces,10.0.11,4572466627,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net462/Microsoft.Bcl.AsyncInterfaces.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Bcl.AsyncInterfaces,
System.Configuration.ConfigurationManager,10.0.11,4393529930,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Configuration.ConfigurationManager.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Configuration.ConfigurationManager,
System.Security.AccessControl,6.0.1,4340157553,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net6.0/System.Security.AccessControl.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/System.Security.AccessControl,
System.Collections.Immutable,10.0.11,4179828415,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Collections.Immutable.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Collections.Immutable,
System.IO,4.3.0,4033918018,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.IO.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.IO,
System.Text.Encoding,4.3.0,4014387650,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Text.Encoding.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Encoding,
System.Reflection,4.3.0,3967371942,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Reflection.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Reflection,
System.Runtime.Extensions,4.3.1,3965758827,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Runtime.Extensions.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Runtime.Extensions,
