package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
xunit.extensibility.core,2.9.3,1233317998.0,readme; xml docs,0,,,_content/README.md,,,lib/net452/xunit.core.xml,https://github.com/xunit/xunit,,,,,,https://www.nuget.org/packages/xunit.extensibility.core,
xunit.extensibility.execution,2.9.3,1147208099.0,readme; xml docs,0,,,_content/README.md,,,lib/net452/xunit.execution.desktop.xml,https://github.com/xunit/xunit,,,,,,https://www.nuget.org/packages/xunit.extensibility.execution,
xunit.core,2.9.3,1066302378.0,readme,0,,,_content/README.md,,,,https://github.com/xunit/xunit,,,,,,https://www.nuget.org/packages/xunit.core,
xunit.assert,2.9.3,1041804177.0,readme; xml docs,0,,,_content/README.md,,,lib/netstandard1.1/xunit.assert.xml,https://github.com/xunit/xunit,,,,,,https://www.nuget.org/packages/xunit.assert,
xunit.runner.visualstudio,4.0.0,1036404162.0,readme,0,,,_content/README.md,,,,https://github.com/xunit/visualstudio.xunit,,,,,,https://www.nuget.org/packages/xunit.runner.visualstudio,
xunit,2.9.3,1018725772.0,readme,0,,,_content/README.md,,,,https://github.com/xunit/xunit,,,,,,https://www.nuget.org/packages/xunit,
xunit.analyzers,2.0.0,1004114416.0,readme,0,,,_content/README.md,,,,https://github.com/xunit/xunit.analyzers,,,,,,https://www.nuget.org/packages/xunit.analyzers,
SQLitePCLRaw.core,3.0.5,470974467.0,readme,0,,,README.md,,,,https://github.com/ericsink/sqlitepcl.raw,,,,,,https://www.nuget.org/packages/SQLitePCLRaw.core,
Microsoft.NET.Sdk.iOS.Manifest-6.0.400,16.4.60,398931176.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.iOS.Manifest-6.0.400,
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.400,16.4.60,398905171.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.400,
Microsoft.NET.Sdk.macOS.Manifest-6.0.400,13.3.60,398825409.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.macOS.Manifest-6.0.400,
Microsoft.NET.Sdk.Android.Manifest-6.0.400,32.0.509,398759185.0,,0,,,,,,,https://github.com/xamarin/xamarin-android,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.Android.Manifest-6.0.400,
Microsoft.NET.Sdk.Maui.Manifest-6.0.400,6.0.553,398596428.0,,0,,,,,,,https://github.com/dotnet/maui,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.Maui.Manifest-6.0.400,
Microsoft.NET.Sdk.tvOS.Manifest-6.0.400,16.4.60,398523639.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.tvOS.Manifest-6.0.400,
SSH.NET,2026.0.0,323820674.0,readme; xml docs,0,,,README.md,,,lib/net10.0/Renci.SshNet.xml,https://github.com/sshnet/ssh.net,,,,,,https://www.nuget.org/packages/SSH.NET,
SQLitePCLRaw.bundle_e_sqlite3,3.0.5,302413591.0,readme,0,,,README.md,,,,https://github.com/ericsink/sqlitepcl.raw,,,,,,https://www.nuget.org/packages/SQLitePCLRaw.bundle_e_sqlite3,
MediatR.Contracts,2.0.1,300978297.0,xml docs,0,,,,,,lib/netstandard2.0/MediatR.Contracts.xml,https://github.com/jbogard/mediatr,,,,,,https://www.nuget.org/packages/MediatR.Contracts,
SQLitePCLRaw.provider.e_sqlite3,3.0.5,246838647.0,,0,,,,,,,https://github.com/ericsink/sqlitepcl.raw,,,,,,https://www.nuget.org/packages/SQLitePCLRaw.provider.e_sqlite3,
NetTopologySuite,2.6.0,232112064.0,xml docs,0,,,,,,lib/netstandard2.0/NetTopologySuite.xml,https://github.com/nettopologysuite/nettopologysuite,,,,,,https://www.nuget.org/packages/NetTopologySuite,
Libuv,1.10.0,211751299.0,,0,,,,,,,,,,,,,https://www.nuget.org/packages/Libuv,
Microsoft.NET.Sdk.iOS.Manifest-7.0.100,16.4.7142,196287656.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.iOS.Manifest-7.0.100,
Microsoft.NET.Sdk.macOS.Manifest-7.0.100,13.3.7142,195092188.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.macOS.Manifest-7.0.100,
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100,16.4.7142,195058211.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100,
Microsoft.NET.Sdk.Maui.Manifest-7.0.100,7.0.101,194926542.0,,0,,,,,,,https://github.com/dotnet/maui,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.Maui.Manifest-7.0.100,
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100,16.4.7142,194849430.0,,0,,,,,,,https://github.com/xamarin/xamarin-macios,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.tvOS.Manifest-7.0.100,
Microsoft.NET.Sdk.Android.Manifest-7.0.100,33.0.95,194770454.0,,0,,,,,,,https://github.com/xamarin/xamarin-android,,,,,,https://www.nuget.org/packages/Microsoft.NET.Sdk.Android.Manifest-7.0.100,
Microsoft.DotNet.InternalAbstractions,1.0.0,190177082.0,,0,,,,,,,,,,,,,https://www.nuget.org/packages/Microsoft.DotNet.InternalAbstractions,
System.ComponentModel.Composition,2010.2.11.1,188709201.0,xml docs,0,,,,,,lib/net35/System.ComponentModel.Composition.xml,https://github.com/dotnet/dotnet,,,,,,https://www.nuget.org/packages/System.ComponentModel.Composition,
Serilog.Exceptions,8.4.0,185766807.0,readme; xml docs,0,,,README.md,,,lib/net461/Serilog.Exceptions.xml,https://github.com/rehansaeed/serilog.exceptions,,,,,,https://www.nuget.org/packages/Serilog.Exceptions,
Microsoft.AspNet.Web.Optimization,1.1.3,171085372.0,xml docs,0,,,,,,lib/net40/system.web.optimization.xml,,,,,,,https://www.nuget.org/packages/Microsoft.AspNet.Web.Optimization,
MediatR.Extensions.Microsoft.DependencyInjection,11.1.0,168119652.0,,0,,,,,,,https://github.com/jbogard/mediatr.extensions.microsoft.dependencyinjection,,,,,,https://www.nuget.org/packages/MediatR.Extensions.Microsoft.DependencyInjection,
Std.UriTemplate,2.0.12,111313752.0,readme,0,,,Readme.md,,,,https://github.com/std-uritemplate/std-uritemplate,,,,,,https://www.nuget.org/packages/Std.UriTemplate,
Sfa.Core.ServiceModel,4.0.2,97705984.0,,0,,,,,,,https://github.com/skillsfundingagency/core,,,,,,https://www.nuget.org/packages/Sfa.Core.ServiceModel,
SQLitePCLRaw.provider.dynamic_cdecl,3.0.5,95109284.0,,0,,,,,,,https://github.com/ericsink/sqlitepcl.raw,,,,,,https://www.nuget.org/packages/SQLitePCLRaw.provider.dynamic_cdecl,
SQLitePCLRaw.bundle_green,2.1.11,90923176.0,xml docs,0,,,,,,lib/net6.0-android31.0/SQLitePCLRaw.batteries_v2.xml,https://github.com/ericsink/sqlitepcl.raw,,,,,,https://www.nuget.org/packages/SQLitePCLRaw.bundle_green,
GraphQL-Parser,9.5.1,90476088.0,readme; xml docs,0,,,README.md,,,lib/net6.0/GraphQLParser.xml,https://github.com/graphql-dotnet/parser,,,,,,https://www.nuget.org/packages/GraphQL-Parser,
GraphQL,8.8.5,89312418.0,readme; xml docs,0,,,README.md,,,lib/net5.0/GraphQL.xml,https://github.com/graphql-dotnet/graphql-dotnet,,,,,,https://www.nuget.org/packages/GraphQL,
Xamarin.Forms,5.0.0.2662,85882880.0,xml docs,0,,,,,,lib/MonoAndroid13.0/Xamarin.Forms.Xaml.xml,https://github.com/xamarin/xamarin.forms,,,,,,https://www.nuget.org/packages/Xamarin.Forms,
LaunchDarkly.Logging,2.0.0,83412535.0,xml docs,0,,,,,,lib/net462/LaunchDarkly.Logging.xml,,,,,,,https://www.nuget.org/packages/LaunchDarkly.Logging,
