section,metric,value,note
availability,packages,3352,
availability,documentation inside the package,2500,74.6%
availability,nothing in the package,852,25.4% -- an external site is the only source
availability,,,
availability,total download size (MB),1067,
availability,,,
availability,HOW TO FETCH,GET https://api.nuget.org/v3-flatcontainer/<id>/<version>/<id>.<version>.nupkg -- the XML doc file sits beside the assembly; a ranged read fetches only it,
sources,CSHARP,,
sources,  packages,3352.0,
sources,  hand-written site,1229.0,36.7%
sources,  readme,1182.0,35.3%
sources,  xml docs,2182.0,65.1%
sources,  homepage,2606.0,77.7%
sources,  no link of any kind,746.0,
