package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct,documentation_location,xml_doc_file,readme,obtainable_by_download,download_url,size_kb,handwritten_site_status,github_docs_folder_status,github_wiki_status,github_pages_status,homepage_status,has_working_link
Microsoft.Extensions.DependencyInjection.Abstractions,10.0.11,12493950814.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyInjection.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection.Abstractions,,in the package,lib/net10.0/Microsoft.Extensions.DependencyInjection.Abstractions.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.dependencyinjection.abstractions/10.0.11/microsoft.extensions.dependencyinjection.abstractions.10.0.11.nupkg,180.1,redirected,,,,redirected,Yes
Microsoft.Extensions.Logging.Abstractions,10.0.11,12022217678.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Logging.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Logging.Abstractions,,in the package,lib/net10.0/Microsoft.Extensions.Logging.Abstractions.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.logging.abstractions/10.0.11/microsoft.extensions.logging.abstractions.10.0.11.nupkg,86.6,redirected,,,,redirected,Yes
Microsoft.Extensions.Primitives,10.0.11,11914509581.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Primitives.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Primitives,,in the package,lib/net10.0/Microsoft.Extensions.Primitives.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.primitives/10.0.11/microsoft.extensions.primitives.10.0.11.nupkg,80.3,redirected,,,,redirected,Yes
Microsoft.Extensions.Options,10.0.11,10789620694.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Options.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Options,,in the package,lib/net10.0/Microsoft.Extensions.Options.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.options/10.0.11/microsoft.extensions.options.10.0.11.nupkg,123.1,redirected,,,,redirected,Yes
Microsoft.NETCore.Platforms,7.0.4,9994246659.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NETCore.Platforms,,not in the package,,,No,,0.0,redirected,,,,redirected,Yes
System.Diagnostics.DiagnosticSource,10.0.11,9990574796.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Diagnostics.DiagnosticSource.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Diagnostics.DiagnosticSource,,in the package,lib/net10.0/System.Diagnostics.DiagnosticSource.xml,,Yes,https://api.nuget.org/v3-flatcontainer/system.diagnostics.diagnosticsource/10.0.11/system.diagnostics.diagnosticsource.10.0.11.nupkg,177.1,redirected,,,,redirected,Yes
Microsoft.Extensions.Configuration.Abstractions,10.0.11,9347055818.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Abstractions,,in the package,lib/net10.0/Microsoft.Extensions.Configuration.Abstractions.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.configuration.abstractions/10.0.11/microsoft.extensions.configuration.abstractions.10.0.11.nupkg,19.9,redirected,,,,redirected,Yes
Newtonsoft.Json,13.0.4,9039911147.0,hand-written site; readme; xml docs; homepage,2,https://www.newtonsoft.com/json,,README.md,,,lib/net20/Newtonsoft.Json.xml,https://github.com/jamesnk/newtonsoft.json,,,,https://www.newtonsoft.com/json,,https://www.nuget.org/packages/Newtonsoft.Json,,in the package,lib/net20/Newtonsoft.Json.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/newtonsoft.json/13.0.4/newtonsoft.json.13.0.4.nupkg,614.0,ok,,,,ok,Yes
System.Runtime.CompilerServices.Unsafe,6.1.2,8439658732.0,xml docs; homepage,1,,,,,,lib/net462/System.Runtime.CompilerServices.Unsafe.xml,https://github.com/dotnet/maintenance-packages,,,,https://github.com/dotnet/maintenance-packages,,https://www.nuget.org/packages/System.Runtime.CompilerServices.Unsafe,,in the package,lib/net462/System.Runtime.CompilerServices.Unsafe.xml,,Yes,https://api.nuget.org/v3-flatcontainer/system.runtime.compilerservices.unsafe/6.1.2/system.runtime.compilerservices.unsafe.6.1.2.nupkg,21.3,,,,,ok,Yes
Microsoft.Extensions.DependencyInjection,10.0.11,7718816604.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyInjection.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection,,in the package,lib/net10.0/Microsoft.Extensions.DependencyInjection.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.dependencyinjection/10.0.11/microsoft.extensions.dependencyinjection.10.0.11.nupkg,18.1,redirected,,,,redirected,Yes
Microsoft.Extensions.Logging,10.0.11,7559206517.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Logging.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Logging,,in the package,lib/net10.0/Microsoft.Extensions.Logging.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.logging/10.0.11/microsoft.extensions.logging.10.0.11.nupkg,33.3,redirected,,,,redirected,Yes
Microsoft.Extensions.Configuration,10.0.11,6842061867.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration,,in the package,lib/net10.0/Microsoft.Extensions.Configuration.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.configuration/10.0.11/microsoft.extensions.configuration.10.0.11.nupkg,32.6,redirected,,,,redirected,Yes
System.Threading.Tasks.Extensions,4.6.3,6731249292.0,xml docs; homepage,1,,,,,,lib/net462/System.Threading.Tasks.Extensions.xml,https://github.com/dotnet/maintenance-packages,,,,https://github.com/dotnet/maintenance-packages,,https://www.nuget.org/packages/System.Threading.Tasks.Extensions,,in the package,lib/net462/System.Threading.Tasks.Extensions.xml,,Yes,https://api.nuget.org/v3-flatcontainer/system.threading.tasks.extensions/4.6.3/system.threading.tasks.extensions.4.6.3.nupkg,41.9,,,,,ok,Yes
Microsoft.Extensions.Configuration.Binder,10.0.11,6657565856.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.Binder.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Binder,,in the package,lib/net10.0/Microsoft.Extensions.Configuration.Binder.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.configuration.binder/10.0.11/microsoft.extensions.configuration.binder.10.0.11.nupkg,14.2,redirected,,,,redirected,Yes
Microsoft.Extensions.FileProviders.Abstractions,10.0.11,6453878994.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.FileProviders.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.FileProviders.Abstractions,,in the package,lib/net10.0/Microsoft.Extensions.FileProviders.Abstractions.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.fileproviders.abstractions/10.0.11/microsoft.extensions.fileproviders.abstractions.10.0.11.nupkg,10.5,redirected,,,,redirected,Yes
System.Memory,4.6.3,6303101504.0,xml docs; homepage,1,,,,,,lib/net462/System.Memory.xml,https://github.com/dotnet/maintenance-packages,,,,https://github.com/dotnet/maintenance-packages,,https://www.nuget.org/packages/System.Memory,,in the package,lib/net462/System.Memory.xml,,Yes,https://api.nuget.org/v3-flatcontainer/system.memory/4.6.3/system.memory.4.6.3.nupkg,203.2,,,,,ok,Yes
System.Text.Json,10.0.11,6259852603.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Text.Json.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Json,,in the package,lib/net10.0/System.Text.Json.xml,,Yes,https://api.nuget.org/v3-flatcontainer/system.text.json/10.0.11/system.text.json.10.0.11.nupkg,585.6,redirected,,,,redirected,Yes
