package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
Microsoft.Extensions.DependencyInjection,10.0.11,ok,lib/net10.0/Microsoft.Extensions.DependencyInjection.xml,18520,,6,6,349298,65558
Microsoft.Extensions.Configuration.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.Abstractions.xml,20356,,5,5,144901,65558
Microsoft.Extensions.Logging,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.xml,34103,,6,6,227956,65558
Microsoft.NETCore.Targets,5.0.0,ok,,0,,0,0,35893,35893
Microsoft.Extensions.Options,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Options.xml,126094,,6,6,491484,65558
Microsoft.NETCore.Platforms,7.0.4,ok,,0,,0,0,49157,49157
Microsoft.Extensions.Primitives,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Primitives.xml,82197,,5,5,206833,65558
Microsoft.Extensions.Configuration.Binder,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.Binder.xml,14581,,5,5,387004,65558
Newtonsoft.Json,13.0.4,ok,lib/net20/Newtonsoft.Json.xml,628784,README.md,8,8,2484726,65558
Microsoft.Extensions.Hosting.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Hosting.Abstractions.xml,46348,,6,6,231993,65558
Microsoft.Extensions.DependencyInjection.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.DependencyInjection.Abstractions.xml,184443,,6,6,283734,65558
System.Runtime.CompilerServices.Unsafe,6.1.2,ok,lib/net462/System.Runtime.CompilerServices.Unsafe.xml,21820,,3,3,75106,65558
System.Diagnostics.DiagnosticSource,10.0.11,ok,lib/net10.0/System.Diagnostics.DiagnosticSource.xml,181376,,5,5,601345,65558
System.Buffers,4.6.1,ok,lib/net462/System.Buffers.xml,11058,,2,2,67724,65558
System.Threading.Tasks.Extensions,4.6.3,ok,lib/net462/System.Threading.Tasks.Extensions.xml,42928,,2,2,74604,65558
Microsoft.Extensions.Configuration,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.xml,33406,,5,5,186788,65558
Microsoft.Extensions.FileProviders.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.FileProviders.Abstractions.xml,10792,,5,5,126766,65558
Microsoft.Extensions.Logging.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.Abstractions.xml,88665,,5,5,807800,65558
System.Security.Cryptography.Cng,5.0.0,ok,lib/net461/System.Security.Cryptography.Cng.xml,146267,,23,14,957764,65558
Microsoft.Bcl.AsyncInterfaces,10.0.11,ok,lib/net462/Microsoft.Bcl.AsyncInterfaces.xml,31652,,3,3,99110,65558
System.Memory,4.6.3,ok,lib/net462/System.Memory.xml,208053,,2,2,192935,65558
Microsoft.CSharp,4.7.0,ok,lib/netstandard2.0/Microsoft.CSharp.xml,18050,,6,22,627100,65558
System.Security.Principal.Windows,5.0.0,ok,lib/net461/System.Security.Principal.Windows.xml,90968,,9,15,535022,65558
System.Text.Encoding,4.3.0,ok,ref/netcore50/System.Text.Encoding.xml,96336,,3,30,327281,65558
Microsoft.IdentityModel.Tokens,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Tokens.xml,653441,README.md,7,7,1384366,65558
System.IO,4.3.0,ok,ref/netcore50/System.IO.xml,189058,,6,40,703652,65558
System.Text.Json,10.0.11,ok,lib/net10.0/System.Text.Json.xml,599660,,5,5,2222777,65558
