package,downloads,registry_name,in_stars,in_forks,in_downloads_90pct,sources
microsoft.extensions.dependencyinjection.abstractions,12493950814.0,Microsoft.Extensions.DependencyInjection.Abstractions,True,True,True,stars+forks+downloads
microsoft.extensions.logging.abstractions,12022217678.0,Microsoft.Extensions.Logging.Abstractions,True,True,True,stars+forks+downloads
microsoft.extensions.primitives,11914509581.0,Microsoft.Extensions.Primitives,True,True,True,stars+forks+downloads
microsoft.extensions.options,10789620694.0,Microsoft.Extensions.Options,True,True,True,stars+forks+downloads
microsoft.netcore.platforms,9994246659.0,Microsoft.NETCore.Platforms,True,True,True,stars+forks+downloads
system.diagnostics.diagnosticsource,9990574796.0,System.Diagnostics.DiagnosticSource,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.abstractions,9347055818.0,Microsoft.Extensions.Configuration.Abstractions,True,True,True,stars+forks+downloads
newtonsoft.json,9039911147.0,Newtonsoft.Json,True,True,True,stars+forks+downloads
system.runtime.compilerservices.unsafe,8439658732.0,System.Runtime.CompilerServices.Unsafe,True,True,True,stars+forks+downloads
microsoft.extensions.dependencyinjection,7718816604.0,Microsoft.Extensions.DependencyInjection,True,True,True,stars+forks+downloads
microsoft.extensions.logging,7559206517.0,Microsoft.Extensions.Logging,True,True,True,stars+forks+downloads
microsoft.extensions.configuration,6842061867.0,Microsoft.Extensions.Configuration,True,True,True,stars+forks+downloads
system.threading.tasks.extensions,6731249292.0,System.Threading.Tasks.Extensions,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.binder,6657565856.0,Microsoft.Extensions.Configuration.Binder,True,True,True,stars+forks+downloads
microsoft.extensions.fileproviders.abstractions,6453878994.0,Microsoft.Extensions.FileProviders.Abstractions,True,True,True,stars+forks+downloads
system.memory,6303101504.0,System.Memory,True,True,True,stars+forks+downloads
system.text.json,6259852603.0,System.Text.Json,True,True,True,stars+forks+downloads
system.text.encodings.web,6069101170.0,System.Text.Encodings.Web,True,True,True,stars+forks+downloads
system.buffers,5991057763.0,System.Buffers,True,True,True,stars+forks+downloads
microsoft.csharp,5711679517.0,Microsoft.CSharp,True,True,True,stars+forks+downloads
microsoft.extensions.hosting.abstractions,5274088619.0,Microsoft.Extensions.Hosting.Abstractions,True,True,True,stars+forks+downloads
system.security.cryptography.protecteddata,5071769367.0,System.Security.Cryptography.ProtectedData,True,True,True,stars+forks+downloads
microsoft.netcore.targets,5050957012.0,Microsoft.NETCore.Targets,True,False,True,stars+downloads
system.security.cryptography.cng,4841890492.0,System.Security.Cryptography.Cng,True,True,True,stars+forks+downloads
system.security.principal.windows,4816120074.0,System.Security.Principal.Windows,True,True,True,stars+forks+downloads
system.runtime,4767287329.0,System.Runtime,True,True,True,stars+forks+downloads
microsoft.bcl.asyncinterfaces,4572466627.0,Microsoft.Bcl.AsyncInterfaces,True,True,True,stars+forks+downloads
system.configuration.configurationmanager,4393529930.0,System.Configuration.ConfigurationManager,True,True,True,stars+forks+downloads
system.security.accesscontrol,4340157553.0,System.Security.AccessControl,True,True,True,stars+forks+downloads
microsoft.identitymodel.tokens,4282138082.0,Microsoft.IdentityModel.Tokens,True,True,True,stars+forks+downloads
system.reflection.typeextensions,4203727898.0,System.Reflection.TypeExtensions,True,True,True,stars+forks+downloads
microsoft.identitymodel.logging,4193398299.0,Microsoft.IdentityModel.Logging,False,True,True,forks+downloads
system.collections.immutable,4179828415.0,System.Collections.Immutable,True,True,True,stars+forks+downloads
azure.core,4179177472.0,Azure.Core,True,True,True,stars+forks+downloads
system.io,4033918018.0,System.IO,True,True,True,stars+forks+downloads
system.text.encoding,4014387650.0,System.Text.Encoding,True,True,True,stars+forks+downloads
system.reflection.emit,4013707525.0,System.Reflection.Emit,True,True,True,stars+forks+downloads
system.reflection.emit.lightweight,3987000705.0,System.Reflection.Emit.Lightweight,True,True,True,stars+forks+downloads
system.reflection,3967371942.0,System.Reflection,True,True,True,stars+forks+downloads
system.runtime.extensions,3965758827.0,System.Runtime.Extensions,True,True,True,stars+forks+downloads
system.threading.tasks,3947553189.0,System.Threading.Tasks,True,True,True,stars+forks+downloads
system.reflection.primitives,3918512364.0,System.Reflection.Primitives,True,True,True,stars+forks+downloads
system.resources.resourcemanager,3903420606.0,System.Resources.ResourceManager,True,True,True,stars+forks+downloads
system.globalization,3901225857.0,System.Globalization,True,True,True,stars+forks+downloads
system.identitymodel.tokens.jwt,3898279911.0,System.IdentityModel.Tokens.Jwt,True,True,True,stars+forks+downloads
system.threading,3877522964.0,System.Threading,True,True,True,stars+forks+downloads
system.collections,3869206276.0,System.Collections,True,True,True,stars+forks+downloads
microsoft.extensions.filesystemglobbing,3854893816.0,Microsoft.Extensions.FileSystemGlobbing,True,True,True,stars+forks+downloads
system.diagnostics.debug,3850512843.0,System.Diagnostics.Debug,True,True,True,stars+forks+downloads
microsoft.identitymodel.jsonwebtokens,3813969141.0,Microsoft.IdentityModel.JsonWebTokens,True,True,True,stars+forks+downloads
microsoft.extensions.fileproviders.physical,3769514709.0,Microsoft.Extensions.FileProviders.Physical,True,True,True,stars+forks+downloads
system.linq,3765062709.0,System.Linq,True,True,True,stars+forks+downloads
microsoft.extensions.caching.memory,3741880931.0,Microsoft.Extensions.Caching.Memory,True,True,True,stars+forks+downloads
microsoft.extensions.caching.abstractions,3721895851.0,Microsoft.Extensions.Caching.Abstractions,True,True,True,stars+forks+downloads
system.runtime.interopservices,3670955694.0,System.Runtime.InteropServices,True,True,True,stars+forks+downloads
microsoft.win32.registry,3667881997.0,Microsoft.Win32.Registry,True,True,True,stars+forks+downloads
netstandard.library,3649844578.0,NETStandard.Library,True,True,True,stars+forks+downloads
system.linq.expressions,3648869132.0,System.Linq.Expressions,True,True,True,stars+forks+downloads
system.reflection.emit.ilgeneration,3635974923.0,System.Reflection.Emit.ILGeneration,True,True,True,stars+forks+downloads
system.text.encoding.codepages,3607685878.0,System.Text.Encoding.CodePages,True,True,True,stars+forks+downloads
system.text.regularexpressions,3588203288.0,System.Text.RegularExpressions,True,True,True,stars+forks+downloads
system.runtime.handles,3582876813.0,System.Runtime.Handles,True,True,True,stars+forks+downloads
microsoft.extensions.options.configurationextensions,3571406518.0,Microsoft.Extensions.Options.ConfigurationExtensions,True,True,True,stars+forks+downloads
system.reflection.extensions,3569612252.0,System.Reflection.Extensions,True,True,True,stars+forks+downloads
system.net.http,3564779224.0,System.Net.Http,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.fileextensions,3527045221.0,Microsoft.Extensions.Configuration.FileExtensions,True,True,True,stars+forks+downloads
system.io.filesystem,3491526730.0,System.IO.FileSystem,True,True,True,stars+forks+downloads
microsoft.extensions.dependencymodel,3484947486.0,Microsoft.Extensions.DependencyModel,True,True,True,stars+forks+downloads
system.io.filesystem.primitives,3482418253.0,System.IO.FileSystem.Primitives,True,True,True,stars+forks+downloads
system.reflection.metadata,3482157430.0,System.Reflection.Metadata,True,True,True,stars+forks+downloads
system.objectmodel,3479871945.0,System.ObjectModel,True,True,True,stars+forks+downloads
system.componentmodel.annotations,3363450107.0,System.ComponentModel.Annotations,True,True,True,stars+forks+downloads
system.text.encoding.extensions,3289263151.0,System.Text.Encoding.Extensions,True,True,True,stars+forks+downloads
system.xml.readerwriter,3243106538.0,System.Xml.ReaderWriter,True,True,True,stars+forks+downloads
system.security.permissions,3205243295.0,System.Security.Permissions,True,True,True,stars+forks+downloads
runtime.native.system,3187108702.0,runtime.native.System,True,False,True,stars+downloads
serilog,3164125986.0,Serilog,True,True,True,stars+forks+downloads
system.runtime.interopservices.runtimeinformation,3052817013.0,System.Runtime.InteropServices.RuntimeInformation,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.json,3039313600.0,Microsoft.Extensions.Configuration.Json,True,True,True,stars+forks+downloads
system.xml.xdocument,3038317563.0,System.Xml.XDocument,True,True,True,stars+forks+downloads
system.diagnostics.tools,3031995936.0,System.Diagnostics.Tools,True,True,True,stars+forks+downloads
system.security.cryptography.algorithms,3003894862.0,System.Security.Cryptography.Algorithms,True,True,True,stars+forks+downloads
microsoft.identitymodel.abstractions,3001618967.0,Microsoft.IdentityModel.Abstractions,True,False,True,stars+downloads
system.diagnostics.tracing,2977065209.0,System.Diagnostics.Tracing,True,True,True,stars+forks+downloads
microsoft.identitymodel.protocols.openidconnect,2973968103.0,Microsoft.IdentityModel.Protocols.OpenIdConnect,True,True,True,stars+forks+downloads
system.collections.concurrent,2960923724.0,System.Collections.Concurrent,True,True,True,stars+forks+downloads
system.security.cryptography.x509certificates,2942587113.0,System.Security.Cryptography.X509Certificates,True,True,True,stars+forks+downloads
system.appcontext,2906525225.0,System.AppContext,True,True,True,stars+forks+downloads
microsoft.identitymodel.protocols,2903112266.0,Microsoft.IdentityModel.Protocols,False,False,True,downloads
system.security.cryptography.primitives,2864386308.0,System.Security.Cryptography.Primitives,True,True,True,stars+forks+downloads
system.io.pipelines,2847067242.0,System.IO.Pipelines,True,True,True,stars+forks+downloads
runtime.native.system.security.cryptography.openssl,2845420867.0,runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
microsoft.extensions.objectpool,2844415404.0,Microsoft.Extensions.ObjectPool,True,True,True,stars+forks+downloads
system.security.cryptography.encoding,2834518995.0,System.Security.Cryptography.Encoding,True,True,True,stars+forks+downloads
system.net.primitives,2820492551.0,System.Net.Primitives,True,True,True,stars+forks+downloads
system.drawing.common,2807606591.0,System.Drawing.Common,True,True,True,stars+forks+downloads
system.runtime.numerics,2790355930.0,System.Runtime.Numerics,True,True,True,stars+forks+downloads
microsoft.aspnetcore.http.features,2784314058.0,Microsoft.AspNetCore.Http.Features,True,True,True,stars+forks+downloads
microsoft.identity.client,2732355934.0,Microsoft.Identity.Client,True,True,True,stars+forks+downloads
runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl,2725855453.0,runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,False,False,True,downloads
runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl,2725854184.0,runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,False,False,True,downloads
runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl,2725200355.0,runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl,2725111068.0,runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl,2725106031.0,runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,False,False,True,downloads
runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl,2724961125.0,runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl,2724775383.0,runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,False,False,True,downloads
runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl,2723795305.0,runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
system.dynamic.runtime,2723259080.0,System.Dynamic.Runtime,True,True,True,stars+forks+downloads
runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl,2723026256.0,runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl,2722588478.0,runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
system.globalization.calendars,2672810798.0,System.Globalization.Calendars,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.environmentvariables,2648779126.0,Microsoft.Extensions.Configuration.EnvironmentVariables,True,True,True,stars+forks+downloads
system.security.cryptography.openssl,2629678854.0,System.Security.Cryptography.OpenSsl,True,False,True,stars+downloads
microsoft.win32.primitives,2609520751.0,Microsoft.Win32.Primitives,True,True,True,stars+forks+downloads
microsoft.win32.systemevents,2580375805.0,Microsoft.Win32.SystemEvents,True,False,True,stars+downloads
system.threading.timer,2568574700.0,System.Threading.Timer,True,True,True,stars+forks+downloads
system.diagnostics.eventlog,2566772822.0,System.Diagnostics.EventLog,True,True,True,stars+forks+downloads
runtime.native.system.net.http,2566035841.0,runtime.native.System.Net.Http,True,False,True,stars+downloads
system.globalization.extensions,2565849704.0,System.Globalization.Extensions,False,False,True,downloads
system.security.cryptography.csp,2561592914.0,System.Security.Cryptography.Csp,True,True,True,stars+forks+downloads
microsoft.aspnetcore.http.abstractions,2561314642.0,Microsoft.AspNetCore.Http.Abstractions,True,True,True,stars+forks+downloads
system.numerics.vectors,2530692102.0,System.Numerics.Vectors,True,True,True,stars+forks+downloads
microsoft.extensions.http,2512940188.0,Microsoft.Extensions.Http,True,True,True,stars+forks+downloads
system.console,2486416790.0,System.Console,True,True,True,stars+forks+downloads
microsoft.extensions.logging.configuration,2467065706.0,Microsoft.Extensions.Logging.Configuration,True,True,True,stars+forks+downloads
microsoft.entityframeworkcore,2443406932.0,Microsoft.EntityFrameworkCore,True,True,True,stars+forks+downloads
microsoft.net.http.headers,2440305113.0,Microsoft.Net.Http.Headers,True,True,True,stars+forks+downloads
system.io.compression,2433577399.0,System.IO.Compression,True,True,True,stars+forks+downloads
system.net.sockets,2389318359.0,System.Net.Sockets,True,True,True,stars+forks+downloads
microsoft.entityframeworkcore.abstractions,2328895601.0,Microsoft.EntityFrameworkCore.Abstractions,True,True,True,stars+forks+downloads
microsoft.entityframeworkcore.relational,2328854590.0,Microsoft.EntityFrameworkCore.Relational,True,True,True,stars+forks+downloads
system.runtime.serialization.primitives,2320086602.0,System.Runtime.Serialization.Primitives,True,True,True,stars+forks+downloads
system.io.compression.zipfile,2304153435.0,System.IO.Compression.ZipFile,True,True,True,stars+forks+downloads
microsoft.aspnetcore.http,2298112355.0,Microsoft.AspNetCore.Http,True,True,True,stars+forks+downloads
system.security.cryptography.pkcs,2270835903.0,System.Security.Cryptography.Pkcs,True,True,True,stars+forks+downloads
runtime.native.system.io.compression,2261272582.0,runtime.native.System.IO.Compression,True,False,True,stars+downloads
microsoft.entityframeworkcore.analyzers,2214075750.0,Microsoft.EntityFrameworkCore.Analyzers,False,False,True,downloads
system.windows.extensions,2186296111.0,System.Windows.Extensions,True,False,True,stars+downloads
microsoft.aspnetcore.webutilities,2162029594.0,Microsoft.AspNetCore.WebUtilities,True,True,True,stars+forks+downloads
system.componentmodel,2101237751.0,System.ComponentModel,True,True,True,stars+forks+downloads
microsoft.aspnetcore.hosting.abstractions,2043998528.0,Microsoft.AspNetCore.Hosting.Abstractions,True,True,True,stars+forks+downloads
microsoft.aspnetcore.hosting.server.abstractions,2031231073.0,Microsoft.AspNetCore.Hosting.Server.Abstractions,True,True,True,stars+forks+downloads
awssdk.core,1987604373.0,AWSSDK.Core,True,True,True,stars+forks+downloads
microsoft.testplatform.objectmodel,1977520914.0,Microsoft.TestPlatform.ObjectModel,True,True,True,stars+forks+downloads
microsoft.aspnetcore.http.extensions,1938984187.0,Microsoft.AspNetCore.Http.Extensions,True,True,True,stars+forks+downloads
azure.identity,1931558283.0,Azure.Identity,True,True,True,stars+forks+downloads
system.collections.nongeneric,1922209574.0,System.Collections.NonGeneric,False,True,True,forks+downloads
runtime.native.system.security.cryptography.apple,1917009403.0,runtime.native.System.Security.Cryptography.Apple,False,False,True,downloads
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.apple,1912546980.0,runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.Apple,False,False,True,downloads
system.memory.data,1897237345.0,System.Memory.Data,True,True,True,stars+forks+downloads
microsoft.codeanalysis.common,1876890420.0,Microsoft.CodeAnalysis.Common,True,True,True,stars+forks+downloads
microsoft.net.test.sdk,1815864107.0,Microsoft.NET.Test.Sdk,True,True,True,stars+forks+downloads
system.xml.xmldocument,1812669948.0,System.Xml.XmlDocument,True,True,True,stars+forks+downloads
microsoft.codecoverage,1787111981.0,Microsoft.CodeCoverage,True,True,True,stars+forks+downloads
microsoft.codeanalysis.csharp,1772531317.0,Microsoft.CodeAnalysis.CSharp,True,True,True,stars+forks+downloads
