registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,xml_doc_file,has_xml_docs,error
nuget,Microsoft.Extensions.DependencyInjection.Abstractions,12493950814.0,10.0.12,175,86,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection.Abstractions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.DependencyInjection.Abstractions.xml,Yes,
nuget,Microsoft.Extensions.Logging.Abstractions,12022217678.0,10.0.12,184,95,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Logging.Abstractions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Logging.Abstractions.xml,Yes,
nuget,Microsoft.Extensions.Primitives,11914509581.0,10.0.12,175,86,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Primitives,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Primitives.xml,Yes,
nuget,Microsoft.Extensions.Options,10789620694.0,10.0.12,180,91,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Options,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Options.xml,Yes,
nuget,Microsoft.NETCore.Platforms,9994246659.0,7.0.4,134,66,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.NETCore.Platforms,https://dot.net/,,No,,No,
nuget,System.Diagnostics.DiagnosticSource,9990574796.0,10.0.12,144,54,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Diagnostics.DiagnosticSource,https://dot.net/,,No,lib/net10.0/System.Diagnostics.DiagnosticSource.xml,Yes,
nuget,Microsoft.Extensions.Configuration.Abstractions,9347055818.0,10.0.12,177,88,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Abstractions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Configuration.Abstractions.xml,Yes,
nuget,Newtonsoft.Json,9039911147.0,13.0.4,84,53,,,https://github.com/jamesnk/newtonsoft.json,https://www.nuget.org/packages/Newtonsoft.Json,https://www.newtonsoft.com/json,README.md,Yes,lib/net20/Newtonsoft.Json.xml,Yes,
nuget,System.Runtime.CompilerServices.Unsafe,8439658732.0,6.1.2,61,15,,,https://github.com/dotnet/maintenance-packages,https://www.nuget.org/packages/System.Runtime.CompilerServices.Unsafe,https://github.com/dotnet/maintenance-packages,,No,lib/net462/System.Runtime.CompilerServices.Unsafe.xml,Yes,
nuget,Microsoft.Extensions.DependencyInjection,7718816604.0,10.0.12,178,89,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.DependencyInjection.xml,Yes,
nuget,Microsoft.Extensions.Logging,7559206517.0,10.0.12,178,89,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Logging,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Logging.xml,Yes,
nuget,Microsoft.Extensions.Configuration,6842061867.0,10.0.12,178,89,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Configuration,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Configuration.xml,Yes,
nuget,System.Threading.Tasks.Extensions,6731249292.0,4.6.3,21,12,,,https://github.com/dotnet/maintenance-packages,https://www.nuget.org/packages/System.Threading.Tasks.Extensions,https://github.com/dotnet/maintenance-packages,,No,lib/net462/System.Threading.Tasks.Extensions.xml,Yes,
nuget,Microsoft.Extensions.Configuration.Binder,6657565856.0,10.0.12,185,96,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Binder,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Configuration.Binder.xml,Yes,
nuget,Microsoft.Extensions.FileProviders.Abstractions,6453878994.0,10.0.12,174,85,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.FileProviders.Abstractions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.FileProviders.Abstractions.xml,Yes,
nuget,System.Memory,6303101504.0,4.6.3,16,10,,,https://github.com/dotnet/maintenance-packages,https://www.nuget.org/packages/System.Memory,https://github.com/dotnet/maintenance-packages,,No,lib/net462/System.Memory.xml,Yes,
nuget,System.Text.Json,6259852603.0,10.0.12,181,105,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Text.Json,https://dot.net/,,No,lib/net10.0/System.Text.Json.xml,Yes,
nuget,System.Text.Encodings.Web,6069101170.0,10.0.12,140,51,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Text.Encodings.Web,https://dot.net/,,No,lib/net10.0/System.Text.Encodings.Web.xml,Yes,
nuget,System.Buffers,5991057763.0,4.6.1,15,7,,,https://github.com/dotnet/maintenance-packages,https://www.nuget.org/packages/System.Buffers,https://github.com/dotnet/maintenance-packages,,No,lib/net462/System.Buffers.xml,Yes,
nuget,Microsoft.CSharp,5711679517.0,4.7.0,40,9,,,https://github.com/dotnet/corefx,https://www.nuget.org/packages/Microsoft.CSharp,https://github.com/dotnet/corefx,,No,lib/netstandard2.0/Microsoft.CSharp.xml,Yes,
nuget,Microsoft.Extensions.Hosting.Abstractions,5274088619.0,10.0.12,171,84,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Hosting.Abstractions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Hosting.Abstractions.xml,Yes,
nuget,System.Security.Cryptography.ProtectedData,5071769367.0,10.0.12,133,45,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Security.Cryptography.ProtectedData,https://dot.net/,,No,lib/net10.0/System.Security.Cryptography.ProtectedData.xml,Yes,
nuget,Microsoft.NETCore.Targets,5050957012.0,5.0.0,59,18,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.NETCore.Targets,https://github.com/dotnet/runtime,,No,,No,
nuget,System.Security.Cryptography.Cng,4841890492.0,5.0.0,47,9,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/System.Security.Cryptography.Cng,https://github.com/dotnet/runtime,,No,lib/net461/System.Security.Cryptography.Cng.xml,Yes,
nuget,System.Security.Principal.Windows,4816120074.0,5.0.0,57,9,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/System.Security.Principal.Windows,https://github.com/dotnet/runtime,,No,lib/net461/System.Security.Principal.Windows.xml,Yes,
nuget,System.Runtime,4767287329.0,4.3.1,23,8,,,,https://www.nuget.org/packages/System.Runtime,https://dot.net/,,No,ref/netcore50/System.Runtime.xml,Yes,
nuget,Microsoft.Bcl.AsyncInterfaces,4572466627.0,10.0.12,109,41,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Bcl.AsyncInterfaces,https://dot.net/,,No,lib/net462/Microsoft.Bcl.AsyncInterfaces.xml,Yes,
nuget,System.Configuration.ConfigurationManager,4393529930.0,10.0.12,132,46,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Configuration.ConfigurationManager,https://dot.net/,,No,lib/net10.0/System.Configuration.ConfigurationManager.xml,Yes,
nuget,System.Security.AccessControl,4340157553.0,6.0.1,59,10,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/System.Security.AccessControl,https://dot.net/,,No,lib/net6.0/System.Security.AccessControl.xml,Yes,
nuget,Microsoft.IdentityModel.Tokens,4282138082.0,8.22.0,139,125,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/Microsoft.IdentityModel.Tokens,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/Microsoft.IdentityModel.Tokens.xml,Yes,
nuget,System.Reflection.TypeExtensions,4203727898.0,4.7.0,39,8,,,https://github.com/dotnet/corefx,https://www.nuget.org/packages/System.Reflection.TypeExtensions,https://github.com/dotnet/corefx,,No,lib/net461/System.Reflection.TypeExtensions.xml,Yes,
nuget,Microsoft.IdentityModel.Logging,4193398299.0,8.22.0,145,125,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/Microsoft.IdentityModel.Logging,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/Microsoft.IdentityModel.Logging.xml,Yes,
nuget,System.Collections.Immutable,4179828415.0,10.0.12,144,49,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Collections.Immutable,https://dot.net/,,No,lib/net10.0/System.Collections.Immutable.xml,Yes,
nuget,Azure.Core,4179177472.0,1.62.0,82,77,,,https://github.com/azure/azure-sdk-for-net,https://www.nuget.org/packages/Azure.Core,https://github.com/Azure/azure-sdk-for-net/blob/Azure.Core_1.62.0/sdk/core/Azure.Core/README.md,README.md,Yes,lib/net10.0/Azure.Core.xml,Yes,
nuget,System.IO,4033918018.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.IO,https://dot.net/,,No,ref/netcore50/System.IO.xml,Yes,
nuget,System.Text.Encoding,4014387650.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Text.Encoding,https://dot.net/,,No,ref/netcore50/System.Text.Encoding.xml,Yes,
nuget,System.Reflection.Emit,4013707525.0,4.7.0,31,5,,,https://github.com/dotnet/corefx,https://www.nuget.org/packages/System.Reflection.Emit,https://github.com/dotnet/corefx,,No,lib/netstandard1.1/System.Reflection.Emit.xml,Yes,
nuget,System.Reflection.Emit.Lightweight,3987000705.0,4.7.0,31,5,,,https://github.com/dotnet/corefx,https://www.nuget.org/packages/System.Reflection.Emit.Lightweight,https://github.com/dotnet/corefx,,No,lib/netstandard1.0/System.Reflection.Emit.Lightweight.xml,Yes,
nuget,System.Reflection,3967371942.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Reflection,https://dot.net/,,No,ref/netcore50/System.Reflection.xml,Yes,
nuget,System.Runtime.Extensions,3965758827.0,4.3.1,20,7,,,,https://www.nuget.org/packages/System.Runtime.Extensions,https://dot.net/,,No,ref/netcore50/System.Runtime.Extensions.xml,Yes,
nuget,System.Threading.Tasks,3947553189.0,4.3.0,30,13,,,,https://www.nuget.org/packages/System.Threading.Tasks,https://dot.net/,,No,ref/netcore50/System.Threading.Tasks.xml,Yes,
nuget,System.Reflection.Primitives,3918512364.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Reflection.Primitives,https://dot.net/,,No,ref/netcore50/System.Reflection.Primitives.xml,Yes,
nuget,System.Resources.ResourceManager,3903420606.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Resources.ResourceManager,https://dot.net/,,No,ref/netcore50/System.Resources.ResourceManager.xml,Yes,
nuget,System.Globalization,3901225857.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Globalization,https://dot.net/,,No,ref/netcore50/System.Globalization.xml,Yes,
nuget,System.IdentityModel.Tokens.Jwt,3898279911.0,8.22.0,159,138,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/System.IdentityModel.Tokens.Jwt,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/System.IdentityModel.Tokens.Jwt.xml,Yes,
nuget,System.Threading,3877522964.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Threading,https://dot.net/,,No,ref/netcore50/System.Threading.xml,Yes,
nuget,System.Collections,3869206276.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Collections,https://dot.net/,,No,ref/netcore50/System.Collections.xml,Yes,
nuget,Microsoft.Extensions.FileSystemGlobbing,3854893816.0,10.0.12,173,84,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.FileSystemGlobbing,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.FileSystemGlobbing.xml,Yes,
nuget,System.Diagnostics.Debug,3850512843.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Diagnostics.Debug,https://dot.net/,,No,ref/netcore50/System.Diagnostics.Debug.xml,Yes,
nuget,Microsoft.IdentityModel.JsonWebTokens,3813969141.0,8.22.0,123,114,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/Microsoft.IdentityModel.JsonWebTokens,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/Microsoft.IdentityModel.JsonWebTokens.xml,Yes,
nuget,Microsoft.Extensions.FileProviders.Physical,3769514709.0,10.0.12,174,85,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.FileProviders.Physical,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.FileProviders.Physical.xml,Yes,
nuget,System.Linq,3765062709.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Linq,https://dot.net/,,No,ref/netcore50/System.Linq.xml,Yes,
nuget,Microsoft.Extensions.Caching.Memory,3741880931.0,10.0.12,182,93,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Caching.Memory,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Caching.Memory.xml,Yes,
nuget,Microsoft.Extensions.Caching.Abstractions,3721895851.0,10.0.12,179,90,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Caching.Abstractions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Caching.Abstractions.xml,Yes,
nuget,System.Runtime.InteropServices,3670955694.0,4.3.0,20,5,,,,https://www.nuget.org/packages/System.Runtime.InteropServices,https://dot.net/,,No,ref/netcore50/System.Runtime.InteropServices.xml,Yes,
nuget,Microsoft.Win32.Registry,3667881997.0,5.0.0,55,7,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Win32.Registry,https://github.com/dotnet/runtime,,No,lib/net461/Microsoft.Win32.Registry.xml,Yes,
nuget,NETStandard.Library,3649844578.0,2.0.3,10,6,,,,https://www.nuget.org/packages/NETStandard.Library,https://dot.net/,,No,,No,
nuget,System.Linq.Expressions,3648869132.0,4.3.0,18,5,,,,https://www.nuget.org/packages/System.Linq.Expressions,https://dot.net/,,No,ref/netcore50/System.Linq.Expressions.xml,Yes,
nuget,System.Reflection.Emit.ILGeneration,3635974923.0,4.7.0,31,5,,,https://github.com/dotnet/corefx,https://www.nuget.org/packages/System.Reflection.Emit.ILGeneration,https://github.com/dotnet/corefx,,No,lib/netstandard1.0/System.Reflection.Emit.ILGeneration.xml,Yes,
nuget,System.Text.Encoding.CodePages,3607685878.0,10.0.12,146,48,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Text.Encoding.CodePages,https://dot.net/,,No,lib/net10.0/System.Text.Encoding.CodePages.xml,Yes,
nuget,System.Text.RegularExpressions,3588203288.0,4.3.1,19,6,,,,https://www.nuget.org/packages/System.Text.RegularExpressions,https://dot.net/,,No,ref/netcore50/System.Text.RegularExpressions.xml,Yes,
nuget,System.Runtime.Handles,3582876813.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Runtime.Handles,https://dot.net/,,No,ref/netstandard1.3/System.Runtime.Handles.xml,Yes,
nuget,Microsoft.Extensions.Options.ConfigurationExtensions,3571406518.0,10.0.12,177,88,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Options.ConfigurationExtensions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Options.ConfigurationExtensions.xml,Yes,
nuget,System.Reflection.Extensions,3569612252.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Reflection.Extensions,https://dot.net/,,No,ref/netcore50/System.Reflection.Extensions.xml,Yes,
nuget,System.Net.Http,3564779224.0,4.3.4,25,14,,,,https://www.nuget.org/packages/System.Net.Http,https://dot.net/,,No,,No,
nuget,Microsoft.Extensions.Configuration.FileExtensions,3527045221.0,10.0.12,178,89,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.FileExtensions,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Configuration.FileExtensions.xml,Yes,
nuget,System.IO.FileSystem,3491526730.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.IO.FileSystem,https://dot.net/,,No,ref/netstandard1.3/System.IO.FileSystem.xml,Yes,
nuget,Microsoft.Extensions.DependencyModel,3484947486.0,10.0.12,152,64,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.DependencyModel,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.DependencyModel.xml,Yes,
nuget,System.IO.FileSystem.Primitives,3482418253.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.IO.FileSystem.Primitives,https://dot.net/,,No,ref/netstandard1.3/System.IO.FileSystem.Primitives.xml,Yes,
nuget,System.Reflection.Metadata,3482157430.0,10.0.12,160,55,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.Reflection.Metadata,https://dot.net/,,No,lib/net10.0/System.Reflection.Metadata.xml,Yes,
nuget,System.ObjectModel,3479871945.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.ObjectModel,https://dot.net/,,No,ref/netcore50/System.ObjectModel.xml,Yes,
nuget,System.ComponentModel.Annotations,3363450107.0,5.0.0,57,10,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/System.ComponentModel.Annotations,https://github.com/dotnet/runtime,,No,lib/netstandard2.1/System.ComponentModel.Annotations.xml,Yes,
