rank,repository,stars,forks,dependency_status,dependency_count
1,2dust/v2rayN,115289,15826,available,34
2,shadowsocks/shadowsocks-windows,59567,16187,available,60
3,jellyfin/jellyfin,56485,5395,available,101
4,PowerShell/PowerShell,55245,8443,available,90
5,files-community/Files,44864,2856,available,64
6,ShareX/ShareX,39427,3910,available,26
7,huiyadanli/RevokeMsgPatcher,38660,4063,available,4
8,dotnet/aspnetcore,38416,10953,available,1454
9,DevToys-app/DevToys,31914,1747,available,93
10,AvaloniaUI/Avalonia,31438,2803,available,103
11,microsoft/calculator,31027,5785,available,22
12,iOfficeAI/OfficeCLI,29762,2027,unavailable:FetchError,0
13,dnSpy/dnSpy,29693,5630,available,16
14,microsoft/semantic-kernel,28526,4753,available,2119
15,NickeManarin/ScreenToGif,27588,2353,available,16
16,BeyondDimension/SteamTools,26712,1700,available,230
17,icsharpcode/ILSpy,26000,3698,available,86
18,Devolutions/UniGetUI,25958,917,available,41
19,mxgmn/WaveFunctionCollapse,25304,1351,available,1
20,QL-Win/QuickLook,24585,1293,available,58
21,dotnet-architecture/eShopOnContainers,24322,10074,available,0
22,k1tbyte/Wand-Enhancer,24144,61118,available,501
23,dotnet/maui,23315,1969,available,225
24,CodeHubApp/CodeHub,22572,609,available,44
25,QuantConnect/Lean,21462,5212,available,34
26,thangchung/awesome-dotnet-core,21371,2951,available,0
27,BCUninstaller/Bulk-Crap-Uninstaller,21079,922,available,15
28,dotnet/roslyn,20640,4308,available,353
29,jasontaylordev/CleanArchitecture,20523,4276,unavailable:FetchError,0
30,peass-ng/PEASS-ng,20420,3394,available,84
31,bitwarden/server,19991,1753,available,906
32,BluePointLilac/ContextMenuManager,19950,871,unavailable:FetchError,0
33,Unity-Technologies/ml-agents,19655,4485,available,38
34,rocksdanister/lively,19531,1342,available,151
35,TGSAN/CMWTAT_Digital_Edition,19403,2176,available,6
36,ppy/osu,18973,2800,available,53
37,ardalis/CleanArchitecture,18445,3075,available,111
38,DapperLib/Dapper,18375,3666,available,43
39,hellzerg/optimizer,18296,1200,available,0
40,dotnet/runtime,18246,5571,available,738
41,netchx/netch,17694,2838,available,37
42,OpenRA/OpenRA,17321,3029,available,24
43,MaterialDesignInXAML/MaterialDesignInXamlToolkit,16249,3496,available,37
44,Tyrrrz/YoutubeDownloader,16079,2045,available,30
45,nilaoda/N_m3u8DL-CLI,16075,2283,available,11
46,Jackett/Jackett,15990,1554,available,53
47,Perfare/AssetStudio,15597,2957,available,13
48,Flow-Launcher/Flow.Launcher,15501,643,available,64
49,Sonarr/Sonarr,15352,1921,available,2033
50,babalae/better-genshin-impact,15318,1113,available,93
51,Tichau/FileConverter,15142,917,available,10
52,seerge/g-helper,15005,576,available,16
53,duplicati/duplicati,14962,1070,available,311
54,dotnet/efcore,14786,3409,available,63
55,abpframework/abp,14420,3717,available,5937
56,MonoGame/MonoGame,14381,3106,available,71
57,Radarr/Radarr,14271,1221,available,1093
58,winsw/winsw,14267,1694,available,65
59,d2phap/ImageGlass,14245,743,available,424
60,App-vNext/Polly,14235,1289,available,396
61,QuestPDF/QuestPDF,14170,769,available,22
62,SubtitleEdit/subtitleedit,14041,1292,available,48
63,kgrzybek/modular-monolith-with-ddd,13996,2189,available,7
64,nilaoda/BBDown,13892,1727,available,0
65,JosefNemec/Playnite,13879,678,available,50
66,CoplayDev/unity-mcp,13853,1464,available,1335
67,JustArchiNET/ArchiSteamFarm,13664,1115,available,36
68,MiniMax-AI/skills,13505,1158,unavailable:FetchError,0
69,dotnet/AspNetCore.Docs,13135,24607,available,910
70,Unity-Technologies/UnityCsReference,12975,2557,available,8
71,memstechtips/Winhance,12827,628,available,35
72,dotnet/csharplang,12696,1079,available,0
73,wmjordan/PDFPatcher,12647,1577,available,2
74,OdysseusYuan/LKY_OfficeTools,12603,1210,available,0
75,microsoft/garnet,12011,697,available,1412
76,aspnetboilerplate/aspnetboilerplate,12002,3817,available,167
77,Tyrrrz/DiscordChatExporter,11927,1013,available,43
78,LuckyPennySoftware/MediatR,11857,2182,available,42
79,lucasg/Dependencies,11806,944,available,2
80,xupefei/Locale-Emulator,11691,836,available,0
81,Kareadita/Kavita,11605,659,available,769
82,spectreconsole/spectre.console,11604,672,available,21
83,lostindark/DriverStoreExplorer,11554,553,available,22
84,chocolatey/choco,11498,961,available,106
85,dotnet/BenchmarkDotNet,11487,1065,available,77
86,mono/mono,11465,3803,available,3
87,File-New-Project/EarTrumpet,11336,600,available,15
88,JamesNK/Newtonsoft.Json,11317,3296,available,16
89,tui-cs/Terminal.Gui,11197,784,available,60
90,Cysharp/UniTask,11162,1012,available,27
91,coding-horror/basic-computer-games,11097,1348,available,236
92,mRemoteNG/mRemoteNG,11084,1612,available,88
93,YSGStudyHards/DotNetGuide,10868,1502,unavailable:FetchError,0
94,dotnet/orleans,10856,2132,available,1281
95,dotnet/eShop,10830,3812,available,88
96,MathewSachin/Captura,10814,1976,available,26
97,dotnet-architecture/eShopOnWeb,10689,6022,available,0
98,StockSharp/StockSharp,10686,2260,available,40
99,MudBlazor/MudBlazor,10574,1673,available,72
100,dodyg/practical-aspnetcore,10408,1412,available,142
