package,version,bytes,xml_bytes,bytes_read,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
Mongo2Go,5.0.0,260334867,16750,65558,260.335,44,39,11454734148,11.4547
BetterGI.Assets.Map,1.0.22,217524505,0,135608,217.525,14,14,3045343070,3.0453
Microsoft.Playwright,1.62.0,211404073,1469771,65558,211.404,103,74,21774619519,21.7746
SciSharp.TensorFlow.Redist,2.16.0,191095089,0,65558,191.095,23,22,4395187047,4.3952
chromiumembeddedframework.runtime.win-x64,151.3.24,180927575,0,65558,180.928,126,126,22796874450,22.7969
BetterGI.Assets.Model,1.0.33,168343838,0,65558,168.344,26,26,4376939788,4.3769
chromiumembeddedframework.runtime.win-x86,151.3.24,157211121,0,65558,157.211,126,126,19808601246,19.8086
Microsoft.ML.OnnxRuntime,1.29.0,155008437,0,65558,155.008,71,63,11005599027,11.0056
EO.WebBrowser,26.2.42,149283086,423277,65558,149.283,286,286,42694962596,42.695
VideoLAN.LibVLC.Windows,3.0.23.1,134279001,0,212262,134.279,26,22,3491254026,3.4913
ppy.osu.Game.Resources,2026.909.0,114293682,617227,65558,114.294,231,231,26401840542,26.4018
Microsoft.ML.OnnxRuntimeGenAI,0.15.2,109338998,0,65558,109.339,46,34,5029593908,5.0296
Microsoft.WindowsPackageManager.InProcCom,1.29.290,101007822,0,65558,101.008,62,39,6262484964,6.2625
Magick.NET-Q16-AnyCPU,14.17.1,99912821,1052664,65558,99.913,221,221,22080733441,22.0807
Magick.NET-Q8-AnyCPU,14.17.1,99507589,1048083,65558,99.508,221,221,21991177169,21.9912
Xamarin.UITest,4.4.2,97770665,406173,65558,97.771,632,108,61791060280,61.7911
Openur.FFprobeStatic,9.0.1.492,95727359,0,65558,95.727,19,19,1818819821,1.8188
SkiaSharp.NativeAssets.Win32,4.151.2,81286500,0,65558,81.286,92,25,7478358000,7.4784
MongoSandbox8.runtime.linux-x64,2.0.0,77001185,0,65558,77.001,3,3,231003555,0.231
MonoGame.Tool.Dxc,1.9.2607.1,72974006,0,65558,72.974,9,9,656766054,0.6568
Sentry,6.10.0,68984168,696733,65558,68.984,256,170,17659947008,17.6599
MongoSandbox8.runtime.osx-arm64,2.0.0,68778499,0,65558,68.778,1,1,68778499,0.0688
SkiaSharp.NativeAssets.Linux,4.151.2,60545652,0,65558,60.546,139,36,8415845628,8.4158
SkiaSharp.NativeAssets.Linux.NoDependencies,4.151.2,60424235,0,65558,60.424,137,35,8278120195,8.2781
Microsoft.TypeScript.MSBuild,7.0.1,57283265,0,65558,57.283,177,126,10139137905,10.1391
Microsoft.Graph,6.6.0,54211668,93843780,65558,54.212,266,234,14420303688,14.4203
Microsoft.CognitiveServices.Speech,1.51.2,53913241,475588,65558,53.913,69,67,3720013629,3.72
Realm,20.1.0,53540733,433776,65558,53.541,110,100,5889480630,5.8895
StockSharp.Samples.HistoryData,5.0.3,53019550,0,65558,53.02,5,5,265097750,0.2651
microsoft.winui,3.0.0-preview4.210210.4,52111395,3398547,65558,52.111,6,0,312668370,0.3127
GDAL.Native,3.12.1,51923774,0,65558,51.924,46,45,2388493604,2.3885
Microsoft.Windows.AI.MachineLearning,2.3.42,51521056,17187,65558,51.521,17,8,875857952,0.8759
Microsoft.TestPlatform,18.9.0,50330059,0,148078,50.33,151,66,7599838909,7.5998
MongoDB.Libmongocrypt,1.12.0,48459864,0,65558,48.46,29,21,1405336056,1.4053
MongoSandbox8.runtime.win-x64,2.0.0,48372276,0,65558,48.372,3,3,145116828,0.1451
QuestPDF,2026.8.0,47096320,327786,65558,47.096,204,152,9607649280,9.6076
CSharpier.MsBuild,1.3.0,46863648,0,65558,46.864,72,72,3374182656,3.3742
Aspire.Hosting.Orchestration.linux-x64,13.5.3,46417172,0,65558,46.417,59,48,2738613148,2.7386
Magick.NET-Q16-HDRI-OpenMP-x64,14.17.1,43143079,1052673,65558,43.143,118,118,5090883322,5.0909
librdkafka.redist,2.15.0,43047350,0,65558,43.047,214,56,9212132900,9.2121
MonoGame.Tool.FFmpeg,7.0.0.11,42246385,0,65558,42.246,5,5,211231925,0.2112
MonoGame.Tool.FFprobe,7.0.0.11,41869153,0,65558,41.869,5,5,209345765,0.2093
Microsoft.NETCore.App.Runtime.linux-x64,10.0.11,40081770,0,65558,40.082,247,175,9900197190,9.9002
Microsoft.NETCore.App.Runtime.win-x64,10.0.11,39895464,0,65558,39.895,247,175,9854179608,9.8542
OpenCvSharp4.runtime.win,4.13.0.20260627,39861764,0,65558,39.862,58,58,2311982312,2.312
Microsoft.NETCore.App.Runtime.win-arm64,10.0.11,39735601,0,65558,39.736,247,175,9814693447,9.8147
SQLitePCLRaw.lib.e_sqlite3,3.53.3,39311643,0,65558,39.312,59,24,2319386937,2.3194
Microsoft.WindowsDesktop.App.Runtime.win-x64,10.0.11,39172023,0,65558,39.172,245,175,9597145635,9.5971
chromiumembeddedframework.runtime,151.3.24,39104319,0,65558,39.104,126,126,4927144194,4.9271
Microsoft.NETCore.App.Runtime.osx-x64,10.0.11,39033975,0,65558,39.034,247,175,9641391825,9.6414
Selenium.WebDriver.ChromeDriver,152.0.7977.8200,38069046,0,65558,38.069,502,276,19110661092,19.1107
Microsoft.NETCore.App.Runtime.linux-arm64,10.0.11,37568158,0,65558,37.568,247,175,9279335026,9.2793
Microsoft.NETCore.App.Runtime.linux-arm,10.0.12,37290967,0,65558,37.291,247,175,9210868849,9.2109
Microsoft.NETCore.App.Runtime.win-x86,10.0.11,36692760,0,65558,36.693,247,175,9063111720,9.0631
Microsoft.NETCore.App.Runtime.osx-arm64,10.0.11,36677792,0,65558,36.678,175,120,6418613600,6.4186
Magick.NET-Q16-HDRI-arm64,14.17.1,36051398,1052668,65558,36.051,66,66,2379392268,2.3794
Elastic.Clients.Elasticsearch,9.5.2,36000079,15149865,65558,36.0,163,139,5868012877,5.868
bblanchon.PDFiumV8.Win32,155.0.8044,35797528,0,65558,35.798,173,173,6192972344,6.193
Microsoft.WindowsDesktop.App.Runtime.win-arm64,10.0.12,35329143,0,65558,35.329,197,138,6959841171,6.9598
GitVersion.MsBuild,6.8.2,35120224,0,65558,35.12,54,44,1896492096,1.8965
GitVersion.Tool,6.8.2,34825403,0,65558,34.825,481,65,16751018843,16.751
Cake.Tool,6.2.0,34691662,0,65558,34.692,40,35,1387666480,1.3877
Microsoft.CodeAnalysis.Metrics,5.6.0,33734065,0,65558,33.734,82,18,2766193330,2.7662
Veldrid.SPIRV,1.0.15,33450342,25612,65558,33.45,20,16,669006840,0.669
Devolutions.Pinget.Cli.Rust,0.11.0,31867212,0,65558,31.867,12,12,382406544,0.3824
CefSharp.Common.NETCore,151.3.240,31804706,0,65558,31.805,136,123,4325440016,4.3254
NewRelic.Agent,10.54.0,31009476,0,65558,31.009,134,134,4155269784,4.1553
Microsoft.Toolkit.Win32.UI.XamlApplication,6.1.3,30239185,0,65558,30.239,19,6,574544515,0.5745
Repobot.SQLite.Unofficial,3.53.4.1,30072245,0,65558,30.072,193,192,5803943285,5.8039
Microsoft.VSSDK.BuildTools,18.9.820,29878539,0,65558,29.879,495,295,14789876805,14.7899
sqlitepcl.raw_basic,0.8.6,29434356,0,65558,29.434,31,12,912465036,0.9125
Microsoft.ML.OnnxRuntimeGenAI.Cuda,0.15.2,29077943,0,65558,29.078,46,34,1337585378,1.3376
OpenCvSharp4_.runtime.ubuntu.20.04-x64,4.10.0.20240616,28812047,0,65558,28.812,6,6,172872282,0.1729
SourceGear.sqlite3,3.53.4,27531833,0,65558,27.532,7,7,192722831,0.1927
SQLite,3.53.4,27531643,0,65558,27.532,7,5,192721501,0.1927
Microsoft.CodeAnalysis.Test.Resources.Proprietary,1.2.0,26562292,0,65558,26.562,25,1,664057300,0.6641
Microsoft.NETCore.App.Runtime.NativeAOT.linux-x64,10.0.12,26334943,0,65558,26.335,60,34,1580096580,1.5801
AssimpNetter,6.0.5,25372583,0,65558,25.373,9,9,228353247,0.2284
Magick.NET-Q16-HDRI-OpenMP-arm64,14.17.1,24938975,1052675,65558,24.939,66,66,1645972350,1.646
KubernetesClient,19.0.2,24045655,19682946,65558,24.046,289,223,6949194295,6.9492
SourceBrowser,1.0.47,23921553,0,65558,23.922,30,30,717646590,0.7176
Grpc.Tools,2.83.0,23904464,0,65558,23.904,207,121,4948224048,4.9482
QuickLook.LAVFilters,0.81.0,23689243,0,65558,23.689,7,4,165824701,0.1658
uplink.NET.Mac,2.13.3484,22832429,0,65558,22.832,61,46,1392778169,1.3928
Xamarin.TestCloud.Agent,0.23.2,22819922,0,65558,22.82,45,41,1026896490,1.0269
Microsoft.Windows.SDK.BuildTools,10.0.28000.2705,22297017,0,65558,22.297,114,29,2541859938,2.5419
Microsoft.Net.Compilers.Toolset,5.9.0,21936368,0,65558,21.936,112,35,2456873216,2.4569
AWSSDK,2.3.55.2,21377985,0,65558,21.378,248,241,5301740280,5.3017
CefSharp.Common,151.3.240,21303883,1859659,65558,21.304,224,172,4772069792,4.7721
Tools.InnoSetup,7.1.0,21287807,0,65558,21.288,25,25,532195175,0.5322
Microsoft.NETFramework.ReferenceAssemblies.net472,1.0.3,20790130,0,65558,20.79,6,4,124740780,0.1247
MaterialDesignThemes,5.3.2,20462196,123957,65558,20.462,1253,113,25639131588,25.6391
Microsoft.UI.Xaml,2.8.7,20314649,426330,65558,20.315,108,35,2193982092,2.194
Microsoft.NETFramework.ReferenceAssemblies.net461,1.0.3,20140575,0,65558,20.141,6,4,120843450,0.1208
Microsoft.NETFramework.ReferenceAssemblies.net45,1.0.3,19820444,0,65558,19.82,6,4,118922664,0.1189
Microsoft.Native.Quic.MsQuic.OpenSSL,2.6.1,19218633,0,65558,19.219,181,39,3478572573,3.4786
Microsoft.AppCenter.Crashes,5.0.7,19160722,17468,65558,19.161,60,50,1149643320,1.1496
Syncfusion.Maui.Toolkit,1.0.11,18818072,5661505,65558,18.818,12,12,225816864,0.2258
uplink.NET.Linux,2.14.3772,18663471,0,65558,18.663,111,102,2071645281,2.0716
C1.Win.Ribbon,10.0.20261.813,18619103,731792,65558,18.619,80,79,1489528240,1.4895
Docnet.Core,2.6.0,18429655,17413,65558,18.43,22,14,405452410,0.4055
Grpc.Core,2.46.6,17751214,114457,65558,17.751,147,87,2609428458,2.6094
Microsoft.AppCenter,5.0.7,17710855,19637,65558,17.711,60,50,1062651300,1.0627
WPF-UI,4.3.0,17220682,954293,65558,17.221,129,30,2221467978,2.2215
Selenium.WebDriver,4.48.0,17152852,8561293,65558,17.153,172,156,2950290544,2.9503
NPOI,2.8.0,16812563,194527,65558,16.813,38,29,638877394,0.6389
EPPlus,8.7.0,16805621,3720193,65558,16.806,179,160,3008206159,3.0082
PdfPig,0.1.16,16710625,79030,65558,16.711,333,25,5564638125,5.5646
Xamarin.SDWebImage,4.4.7,16253940,0,65558,16.254,7,6,113777580,0.1138
HarfBuzzSharp.NativeAssets.Linux,14.2.1.102,15992742,0,65558,15.993,135,34,2159020170,2.159
NHibernate,5.7.0,15729989,3455240,65558,15.73,101,94,1588728889,1.5887
Microsoft.Azure.Functions.Worker.Sdk,2.1.0,15715999,0,65558,15.716,64,38,1005823936,1.0058
WPF-UI.Violeta,4.3.0.12,15705074,0,65558,15.705,70,70,1099355180,1.0994
CocosSharp.PCL.Shared,1.6.2,15464929,141726,65558,15.465,14,14,216509006,0.2165
DocumentFormat.OpenXml,3.5.1,15375355,14312150,65558,15.375,47,36,722641685,0.7226
OpenRA-SDL2-CS,1.0.44,15156026,0,65558,15.156,56,42,848737456,0.8487
Microsoft.MixedReality.Toolkit.Foundation,2.3.0,14962339,0,252431,14.962,4,4,59849356,0.0598
Aspire.Dashboard.Sdk.linux-x64,13.5.3,14349061,0,65558,14.349,57,48,817896477,0.8179
Lib.Harmony,2.4.2,14346195,299018,65558,14.346,43,33,616886385,0.6169
Xamarin.Forms,5.0.0.2662,14146935,43813,65558,14.147,339,184,4795810965,4.7958
ScreenRecorderLib,7.0.1,14102365,0,65558,14.102,70,70,987165550,0.9872
linq2db,6.4.0,14077297,2794788,65558,14.077,159,122,2238290223,2.2383
runtime.linux-x64.Microsoft.DotNet.ILCompiler,10.0.11,13838568,0,65558,13.839,128,85,1771336704,1.7713
Basic.Reference.Assemblies.Net461,1.8.11,13297504,0,65558,13.298,32,32,425520128,0.4255
Cake.Git,5.0.1,13070055,70094,65558,13.07,32,32,418241760,0.4182
Microsoft.AspNetCore.App.Runtime.linux-x64,10.0.11,12928716,0,65558,12.929,247,175,3193392852,3.1934
Microsoft.AspNetCore.App.Runtime.osx-x64,10.0.11,12928377,0,65558,12.928,247,175,3193309119,3.1933
Vanara.PInvoke.Kernel32,5.0.7,12825415,8067812,65558,12.825,129,127,1654478535,1.6545
Meziantou.Analyzer,3.0.228,12807440,0,65558,12.807,818,817,10476485920,10.4765
Microsoft.AspNetCore.App.Runtime.linux-arm,10.0.12,12791258,0,65558,12.791,247,175,3159440726,3.1594
Microsoft.AspNetCore.App.Runtime.win-x64,10.0.11,12760129,0,65558,12.76,248,175,3164511992,3.1645
Xamarin.Google.Crypto.Tink.Android,1.23.0,12545195,159,65558,12.545,49,49,614714555,0.6147
Microsoft.Net.Sdk.Compilers.Toolset,10.0.401,12476230,0,65558,12.476,94,71,1172765620,1.1728
Microsoft.ML.OnnxRuntime.DirectML,1.24.4,12458649,0,65558,12.459,45,41,560639205,0.5606
Microsoft.AspNetCore.App.Runtime.linux-arm64,10.0.11,12388285,0,65558,12.388,247,175,3059906395,3.0599
Microsoft.AspNetCore.App.Runtime.osx-arm64,10.0.11,12388038,0,65558,12.388,173,120,2143130574,2.1431
Microsoft.AspNetCore.App.Runtime.win-arm64,10.0.11,12386757,0,65558,12.387,228,166,2824180596,2.8242
Stripe.net,52.4.1,12374334,6315445,65558,12.374,945,756,11693745630,11.6937
FreeTypeSharp,3.1.0,12274342,10670,65558,12.274,25,13,306858550,0.3069
Microsoft.Sbom.Targets,4.1.5,12235436,0,65558,12.235,13,13,159060668,0.1591
Microsoft.CodeAnalysis.CSharp,5.9.0,12210215,3483801,65558,12.21,173,59,2112367195,2.1124
Microsoft.AspNetCore.App.Runtime.win-x86,10.0.11,12205072,0,65558,12.205,248,175,3026857856,3.0269
GitVersionTask,5.5.1,12114607,0,65558,12.115,496,54,6008845072,6.0088
SpecFlow.Tools.MsBuild.Generation,3.9.74,11920290,0,65558,11.92,94,46,1120507260,1.1205
AssimpNet,4.1.0,11882091,574421,65558,11.882,9,4,106938819,0.1069
Basic.Reference.Assemblies.Net40,1.8.11,11878993,0,65558,11.879,18,18,213821874,0.2138
Microsoft.Net.Compilers,4.2.0,11877288,0,65558,11.877,132,41,1567802016,1.5678
MonoGame.Tool.Basisu,2.0.2.3,11741120,0,65558,11.741,6,6,70446720,0.0704
Accord.Math,3.8.0,11405142,5840400,65558,11.405,49,20,558851958,0.5589
Stub.System.Data.SQLite.Core.NetFramework,1.0.119,11285683,1243721,65558,11.286,11,11,124142513,0.1241
Microsoft.CodeCoverage,18.9.0,11261098,0,65558,11.261,139,65,1565292622,1.5653
Microsoft.ClearScript.V8.Native.win-x64,7.5.1.1,11032767,0,65558,11.033,34,32,375114078,0.3751
KGySoft.CoreLibraries,10.5.1,10777612,3693745,65558,10.778,49,30,528102988,0.5281
Inkore.UI.WPF.Modern,0.10.2.1,10767423,221898,65558,10.767,43,42,462999189,0.463
ZXing.Net,0.16.11,10442206,737227,65558,10.442,29,29,302823974,0.3028
Silk.NET.Direct3D11,2.23.0,10385629,23680936,65558,10.386,28,26,290797612,0.2908
MassTransit,9.2.1,10302057,1020234,65558,10.302,1579,181,16266948003,16.2669
uplink.NET.Win,2.14.3772,10300357,0,65558,10.3,115,103,1184541055,1.1845
Twilio,8.0.0,10270277,7659217,65558,10.27,395,335,4056759415,4.0568
Avalonia,12.1.2,10143223,133,65558,10.143,160,107,1622915680,1.6229
