gem,version,released,status,gem_bytes,rb_files,native_files,functions,functions_ruby,functions_native,functions_public,functions_private,functions_protected,functions_module_function,native_languages,lines_code,lines_total,parse_errors,added,removed,net,running_total,drift
jmespath,1.6.2,2022-11-25,ok,20992.0,30.0,0.0,199.0,200.0,0.0,148.0,47.0,4.0,0.0,,2039.0,2505.0,0.0,199.0,0.0,199.0,199.0,0.0
aws-sigv4,1.12.1,2025-06-10,ok,19456.0,7.0,0.0,80.0,80.0,0.0,46.0,34.0,0.0,0.0,,599.0,1139.0,0.0,80.0,0.0,80.0,80.0,0.0
i18n,1.15.2,2026-06-19,ok,47616.0,34.0,0.0,312.0,320.0,0.0,235.0,16.0,61.0,0.0,,2323.0,3707.0,0.0,312.0,0.0,312.0,312.0,0.0
aws-partitions,1.1283.0,2026-09-01,ok,83968.0,7.0,0.0,80.0,80.0,0.0,56.0,24.0,0.0,0.0,,964.0,1394.0,0.0,80.0,0.0,80.0,80.0,0.0
bundler,4.0.20,2026-09-02,ok,467968.0,147.0,0.0,2244.0,2247.0,0.0,1626.0,575.0,43.0,43.0,,16395.0,22241.0,0.0,2244.0,0.0,2244.0,2244.0,0.0
rake,13.4.2,2026-04-16,ok,86528.0,44.0,0.0,443.0,444.0,0.0,409.0,32.0,2.0,4.0,,2950.0,4662.0,0.0,443.0,0.0,443.0,443.0,0.0
aws-sdk-core,3.254.1,2026-08-06,ok,427520.0,285.0,0.0,2242.0,2250.0,0.0,1505.0,737.0,0.0,0.0,,19554.0,36961.0,0.0,2242.0,0.0,2242.0,2242.0,0.0
activesupport,8.1.3,2026-03-24,ok,269312.0,289.0,0.0,2495.0,2597.0,0.0,2046.0,445.0,4.0,5.0,,16634.0,31756.0,0.0,2495.0,0.0,2495.0,2495.0,0.0
aws-eventstream,1.4.0,2025-06-02,ok,13312.0,7.0,0.0,33.0,33.0,0.0,20.0,13.0,0.0,0.0,,283.0,539.0,0.0,33.0,0.0,33.0,33.0,0.0
tzinfo,2.0.6,2023-01-28,ok,79360.0,49.0,0.0,442.0,452.0,0.0,348.0,63.0,31.0,0.0,,2700.0,7056.0,0.0,442.0,0.0,442.0,442.0,0.0
