gem,version,released,status,gem_bytes,rb_files,native_files,functions,functions_ruby,functions_native,functions_public,functions_private,functions_protected,functions_module_function,native_languages,lines_code,lines_total,parse_errors,added,removed,net,running_total,drift
google-api-client,0.53.0,2021-01-18,ok,7762432,1237,0,186722,186770,0,186413,0,309,0,,626578,1504904,0,186722,0,186722,186722,0
datadog_api_client,2.59.1,2026-09-03,ok,4175872,9075,0,108987,108988,0,108985,2,0,0,,707822,1236225,0,108987,0,108987,108987,0
plaid,51.0.0,2026-09-01,ok,1229312,2192,0,51871,52144,0,51871,0,0,0,,362901,555475,0,51871,0,51871,51871,0
stripe,19.6.1,2026-09-01,ok,2054656,1049,0,47156,47157,0,47102,43,11,7,,105190,154998,0,47156,0,47156,47156,0
fastly,17.1.0,2026-08-18,ok,816128,1084,0,28801,29134,0,28796,5,0,0,,204203,313691,0,28801,0,28801,28801,0
twilio-ruby,7.11.1,2026-08-24,ok,1426944,757,0,28610,30105,0,28599,7,4,0,,187121,341960,0,28610,0,28610,28610,0
google-apis-compute_v1,0.154.0,2026-08-30,ok,635904,6,0,16702,16718,0,16701,0,1,0,,57057,162451,0,16702,0,16702,16702,0
algolia,3.43.0,2026-08-18,ok,529920,888,0,16203,16203,0,16088,115,0,0,,132937,190861,0,16203,0,16203,16203,0
brakeman,8.0.6,2026-08-12,ok,1630208,551,0,11635,11735,0,10800,775,60,0,,191665,239755,0,11635,0,11635,11635,0
puppet,8.10.0,2024-10-22,ok,1533952,1016,0,11104,11813,0,10022,814,268,86,,105665,163667,0,11104,0,11104,11104,0
parser,3.3.12.0,2026-07-16,ok,911872,76,0,8884,9098,0,8677,131,76,0,,197111,226659,1,8884,0,8884,8884,0
fastlane,2.239.0,2026-09-04,ok,1192448,789,0,8562,8626,0,8249,308,5,0,,73976,98065,1,8562,0,8562,8562,0
rubocop,1.90.0,2026-08-24,ok,834560,942,0,8255,8432,0,3059,5191,5,69,,61609,111322,2,8255,0,8255,8255,0
activemerchant,1.137.0,2024-08-02,ok,797696,290,0,7149,7150,0,2511,4621,17,0,,63821,81918,0,7149,0,7149,7149,0
chef,19.3.15,2026-05-22,ok,916480,798,0,7010,7055,0,5918,988,104,2,,71867,116446,1,7010,0,7010,7010,0
ruby_parser,3.22.0,2025-12-21,ok,827392,23,0,6598,6611,0,6598,0,0,0,,140633,163470,0,6598,0,6598,6598,0
activerecord,8.1.3,2026-03-24,ok,568832,397,0,6280,6369,0,4511,1734,35,0,,40176,68089,0,6280,0,6280,6280,0
google-cloud-compute-v1,3.9.1,2026-08-05,ok,2044928,710,0,6227,6227,0,6227,0,0,0,,116401,357630,0,6227,0,6227,6227,0
prism,1.9.0,2026-01-27,ok,650240,42,48,5704,5694,21,5545,159,0,0,c,31765,50018,0,5704,0,5704,5704,0
metasm,1.0.6,2026-05-20,ok,808448,201,0,5547,5697,0,5512,35,0,0,,58611,73829,3,5547,0,5547,5547,0
sequel,5.108.0,2026-09-01,ok,672256,308,0,5452,5551,0,3314,2105,33,0,,42161,75834,0,5452,0,5452,5452,0
datadog,2.42.0,2026-08-31,ok,948224,966,62,5308,5193,141,4293,936,79,597,c,52964,81607,0,5308,0,5308,5308,0
syntax_tree,6.3.0,2025-07-17,ok,221696,49,0,4987,5144,0,4588,399,0,0,,27978,40501,0,4987,0,4987,4987,0
rubygems-update,4.0.20,2026-09-02,ok,966144,329,0,4751,4777,0,3783,917,51,47,,37613,57359,0,4751,0,4751,4751,0
spree_core,5.6.1,2026-07-28,ok,1325056,952,0,4416,4464,0,3202,1144,70,16,,37687,54540,1,4416,0,4416,4416,0
aws-sdk-v1,1.67.0,2017-04-03,ok,763904,507,0,3952,3961,0,3011,231,710,0,,28309,70473,0,3952,0,3952,3952,0
newrelic_rpm,10.7.1,2026-08-20,ok,516096,503,0,3904,3961,0,3334,533,37,82,,32090,45296,0,3904,0,3904,3904,0
ddtrace,1.23.3,2024-07-01,ok,549376,715,34,3648,3593,74,3006,567,75,451,c,34274,50550,0,3648,0,3648,3648,0
line-bot-api,2.10.0,2026-07-07,ok,193024,362,0,3631,3631,0,3595,36,0,0,,20166,34711,0,3631,0,3631,3631,0
fog-aws,3.33.3,2026-08-28,ok,438784,1306,0,3573,3575,0,3383,180,10,0,,59935,81722,0,3573,0,3573,3573,0
inspec-core,7.2.1,2026-09-02,ok,457216,374,0,3385,3416,0,2688,697,0,0,,30501,42472,0,3385,0,3385,3385,0
google-apis-bigquery_v2,0.107.0,2026-08-23,ok,156160,6,0,3244,3244,0,3243,0,1,0,,8582,20067,0,3244,0,3244,3244,0
graphql,2.6.10,2026-08-27,ok,416256,377,0,3186,3206,0,2707,420,59,18,,31115,41685,0,3186,0,3186,3186,0
google-apis-androidpublisher_v3,0.108.0,2026-09-06,ok,129024,6,0,3117,3117,0,3116,0,1,0,,11357,24629,0,3117,0,3117,3117,0
google-apis-container_v1beta1,0.107.0,2026-08-30,ok,133632,6,0,3086,3086,0,3085,0,1,0,,9034,20325,0,3086,0,3086,3086,0
mongo,2.25.0,2026-07-22,ok,429568,479,0,2970,2975,0,2169,798,3,24,,28109,64761,0,2970,0,2970,2970,0
google-apis-container_v1,0.120.0,2026-09-06,ok,126464,6,0,2883,2883,0,2882,0,1,0,,8441,19099,0,2883,0,2883,2883,0
hexapdf,1.10.0,2026-08-21,ok,2942464,261,0,2826,2859,0,2363,426,37,19,,26649,59586,0,2826,0,2826,2826,0
fog-openstack,1.1.5,2025-03-18,ok,233472,1186,0,2661,2671,0,2601,60,0,0,,36639,42629,0,2661,0,2661,2661,0
fluentd,1.19.3,2026-06-25,ok,585216,226,0,2613,2660,0,2368,245,0,0,,28159,38688,0,2613,0,2613,2613,0
soap4r-ruby1.9,2.0.5,2012-03-29,ok,442368,162,0,2557,2595,0,2064,484,9,8,,19170,24730,0,2557,0,2557,2557,0
google-apis-sheets_v4,0.48.0,2026-06-21,ok,107008,6,0,2505,2505,0,2504,0,1,0,,7382,17521,0,2505,0,2505,2505,0
activesupport,8.1.3,2026-03-24,ok,269312,289,0,2495,2597,0,2046,445,4,5,,16634,31756,0,2495,0,2495,2495,0
mongoid,9.1.0,2026-05-12,ok,840192,377,0,2487,2530,0,1821,631,35,35,,18058,41528,0,2487,0,2487,2487,0
actionpack,8.1.3,2026-03-24,ok,261632,156,0,2393,2422,0,1818,564,11,0,,15615,28288,0,2393,0,2393,2393,0
selenium-devtools,0.152.0,2026-08-27,ok,98816,177,0,2351,2351,0,2349,2,0,0,,13348,19592,0,2351,0,2351,2351,0
rdoc,8.0.0,2026-06-26,ok,734720,110,0,2317,2389,0,2206,110,1,3,,33868,48550,1,2317,0,2317,2317,0
yard,0.9.45,2026-07-14,ok,792576,234,0,2306,2387,0,1756,493,57,14,,21019,31589,0,2306,0,2306,2306,0
braintree,4.40.0,2026-08-05,ok,288768,195,0,2296,2296,0,2282,14,0,0,,11160,13112,0,2296,0,2296,2296,0
twitter_cldr,6.14.0,2025-02-21,ok,12976640,256,0,2262,2271,0,1277,874,111,0,,16255,22782,0,2262,0,2262,2262,0
bundler,4.0.20,2026-09-02,ok,467968,147,0,2244,2247,0,1626,575,43,43,,16395,22241,0,2244,0,2244,2244,0
nexpose,7.3.0,2021-04-02,ok,125440,71,0,2243,2296,0,2221,22,0,28,,8924,14054,0,2243,0,2243,2243,0
aws-sdk-core,3.254.1,2026-08-06,ok,427520,285,0,2242,2250,0,1505,737,0,0,,19554,36961,0,2242,0,2242,2242,0
rbs,4.2.0,2026-08-23,ok,1294336,102,39,2241,2222,21,2127,114,0,3,c,18509,22686,0,2241,0,2241,2241,0
discordrb,3.8.0,2026-06-19,ok,215040,90,0,2159,2163,0,2040,118,1,176,,11932,20841,0,2159,0,2159,2159,0
language_server-protocol,3.17.0.1,2022-09-03,ok,78336,357,0,2143,2143,0,2142,1,0,0,,10737,18622,0,2143,0,2143,2143,0
openproject-primer_view_components,0.91.1,2026-07-31,ok,1089536,456,0,2103,2112,0,1815,288,0,0,,21740,34657,0,2103,0,2103,2103,0
facter,4.10.0,2024-10-22,ok,172032,943,0,2100,2101,0,1328,772,0,16,,23483,31819,0,2100,0,2100,2100,0
google-apis-sqladmin_v1beta4,0.105.0,2026-09-06,ok,86016,6,0,2018,2018,0,2017,0,1,0,,6004,13581,0,2018,0,2018,2018,0
solargraph,0.60.4,2026-08-30,ok,275968,247,0,1999,1999,0,1454,484,61,51,,16928,26661,0,1999,0,1999,1999,0
fog,2.3.0,2022-10-03,ok,481280,761,0,1943,1950,0,1753,190,0,0,,28559,37776,0,1943,0,1943,1943,0
dependabot-common,0.395.0,2026-09-07,ok,150528,107,0,1863,1863,0,1076,771,16,0,,17886,22861,0,1863,0,1863,1863,0
selenium-webdriver,4.48.0,2026-08-27,ok,8539136,198,0,1852,1872,0,1540,304,8,30,,12622,23776,0,1852,0,1852,1852,0
datadog-ci,1.38.1,2026-09-07,ok,163328,246,14,1852,1846,6,1500,348,4,23,c,14452,20624,0,1852,0,1852,1852,0
caxlsx,4.5.0,2026-06-09,ok,333312,149,0,1843,1971,0,1749,94,0,0,,8529,17128,0,1843,0,1843,1843,0
sass,3.7.4,2019-04-04,ok,208896,133,0,1834,1837,0,1199,439,196,0,,13788,24199,0,1834,0,1834,1834,0
google-cloud-dialogflow-v2,1.17.1,2026-08-05,ok,668160,280,0,1828,1828,0,1828,0,0,0,,32913,96781,0,1828,0,1828,1828,0
aws-sdk-ec2,1.644.0,2026-09-04,ok,1800704,40,0,1817,1836,0,1775,42,0,0,,54706,222649,0,1817,0,1817,1817,0
cocoapods,1.17.0,2026-07-06,ok,299008,147,0,1816,1820,0,1283,529,4,0,,14667,26033,0,1816,0,1816,1816,0
karafka,2.6.1,2026-08-24,ok,410112,475,0,1801,1802,0,1493,306,2,0,,20963,45098,1,1801,0,1801,1801,0
herb,0.10.3,2026-08-01,ok,817152,48,144,1762,1754,8,1512,234,16,12,c,19867,24536,0,1762,0,1762,1762,0
scout_apm,6.3.0,2026-08-25,ok,331264,177,2,1687,1704,3,1579,108,0,0,c,10874,15387,0,1687,0,1687,1687,0
shoulda-matchers,8.0.1,2026-06-12,ok,92672,133,0,1683,1683,0,859,511,313,0,,10048,18485,0,1683,0,1683,1683,0
moodle2cc,0.2.47,2025-10-02,ok,64512,179,0,1633,1635,0,1487,146,0,0,,6852,8047,0,1633,0,1633,1633,0
shopify_api,16.3.0,2026-08-04,ok,760320,1394,0,1629,23728,0,1584,40,5,0,,188187,217204,0,1629,0,1629,1629,0
railties,8.1.3,2026-03-24,ok,202752,152,0,1572,1592,0,1091,462,19,0,,10489,15335,0,1572,0,1572,1572,0
axlsx,2.0.1,2013-09-12,ok,373760,130,0,1570,1687,0,1504,66,0,0,,6069,13384,1,1570,0,1570,1570,0
dnsruby,1.74.0,2026-07-04,ok,265216,93,0,1542,1580,0,1539,2,1,24,,12083,19227,1,1542,0,1542,1542,0
httpx,1.8.3,2026-08-26,ok,224768,118,0,1522,1546,0,1115,406,1,76,,13300,19123,0,1522,0,1522,1522,0
playwright-ruby-client,1.62.0,2026-08-01,ok,421376,118,0,1515,1759,0,1282,233,0,5,,11647,20277,0,1515,0,1515,1515,0
ruby_llm,1.16.0,2026-06-09,ok,197632,137,0,1490,1498,0,1071,412,7,412,,11432,14520,2,1490,0,1490,1490,0
aarch64,3.0.0,2026-03-09,ok,135680,272,0,1486,1487,0,1037,449,0,0,,16232,20379,0,1486,0,1486,1486,0
geocoder,1.8.6,2025-09-21,ok,94208,162,0,1474,1476,0,1087,383,4,0,,8350,11691,2,1474,0,1474,1474,0
fog-rackspace,0.1.6,2018-07-31,ok,230400,476,0,1468,1470,0,1348,119,1,0,,17168,23734,0,1468,0,1468,1468,0
ruby_smb,3.3.22,2026-07-31,ok,417280,457,0,1454,1469,0,1378,76,0,0,,20861,29948,0,1454,0,1454,1454,0
google-cloud-bigquery,1.64.0,2026-05-11,ok,218112,46,0,1444,1464,0,1322,3,119,0,,8032,32767,0,1444,0,1444,1444,0
aws-sdk-s3,1.229.0,2026-08-06,ok,603648,126,0,1440,1450,0,1088,352,0,0,,20379,83141,0,1440,0,1440,1440,0
faker,3.8.0,2026-04-16,ok,1359872,253,0,1430,1443,0,1308,119,3,0,,8280,22651,0,1430,0,1430,1430,0
google-apis-drive_v3,0.87.0,2026-09-06,ok,68096,6,0,1419,1419,0,1418,0,1,0,,3810,9433,0,1419,0,1419,1419,0
simplecov,1.2.0,2026-09-04,ok,212992,190,0,1415,1415,0,1088,323,4,0,,9641,15173,0,1415,0,1415,1415,0
rgeo,3.1.0,2026-01-20,ok,120832,74,24,1342,1206,150,1231,111,0,11,c,7928,13923,0,1342,0,1342,1342,0
capybara,3.40.0,2024-01-27,ok,384000,123,0,1305,1313,0,943,332,30,8,,8766,14821,0,1305,0,1305,1305,0
pry,0.16.0,2025-12-27,ok,155136,135,0,1271,1287,0,991,276,4,9,,9385,14946,2,1271,0,1271,1271,0
cucumber,11.1.1,2026-06-25,ok,84992,131,0,1255,1261,0,861,384,10,6,,7691,10551,0,1255,0,1255,1255,0
xmpp4r,0.5.6,2014-02-14,ok,187904,123,0,1249,1271,0,1199,50,0,0,,9123,15517,0,1249,0,1249,1249,0
google-apis-monitoring_v3,0.85.0,2026-06-14,ok,87552,6,0,1245,1245,0,1244,0,1,0,,4195,10794,0,1245,0,1245,1245,0
launchdarkly-server-sdk,8.15.1,2026-08-28,ok,150528,98,0,1236,1236,0,1069,163,4,0,,9654,18533,0,1236,0,1236,1236,0
rspec-core,3.13.6,2025-10-19,ok,167936,73,0,1236,1269,0,963,269,4,7,,8019,14265,0,1236,0,1236,1236,0
ruby-lsp,0.26.11,2026-08-20,ok,151552,100,0,1215,1215,0,911,304,0,0,,12609,18813,0,1215,0,1215,1215,0
passenger,6.2.0,2026-08-18,ok,7342080,129,3788,1215,1236,11,707,464,44,0,c+cpp,34490,42367,0,1215,0,1215,1215,0
aws-sdk-rds,1.321.0,2026-08-27,ok,690176,39,0,1209,1233,0,1172,37,0,0,,17376,99454,0,1209,0,1209,1209,0
ffaker,2.25.0,2025-09-01,ok,486400,205,0,1203,1226,0,1102,101,0,22,,6621,9315,0,1203,0,1203,1203,0
evernote-thrift,1.25.2,2015-11-06,ok,86016,49,0,1202,1209,0,1172,26,4,0,,9789,15435,0,1202,0,1202,1202,0
rdf,3.3.4,2025-07-13,ok,160256,63,0,1199,1199,0,1112,33,54,0,,9119,20245,0,1199,0,1199,1199,0
concurrent-ruby,1.3.8,2026-07-19,ok,350720,118,15,1191,1202,0,912,203,76,0,java,7749,16480,0,1191,0,1191,1191,0
mail,2.9.1,2026-07-01,ok,396288,111,0,1187,1189,0,1058,107,22,0,,61613,66419,0,1187,0,1187,1187,0
