gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
Ascii85,1,2.0.1,2.0.1,21.0,21.0,21.0,0.0,17.0,4.0,0.0,21.0,0.0,0.0,2.0,0.0,,224.0,15360.0,0.0,0.0
CFPropertyList,1,4.0.0,4.0.0,142.0,142.0,142.0,0.0,128.0,0.0,14.0,142.0,0.0,0.0,9.0,0.0,,1428.0,18432.0,0.0,0.0
Platform,1,0.4.2,0.4.2,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,50.0,5632.0,0.0,0.0
RedCloth,1,4.3.4,4.3.4,152.0,152.0,149.0,3.0,135.0,17.0,0.0,152.0,0.0,0.0,10.0,4.0,c,783.0,234496.0,0.0,0.0
RubyInline,1,3.14.4,3.14.4,63.0,63.0,63.0,0.0,63.0,0.0,0.0,63.0,0.0,0.0,7.0,0.0,,706.0,32256.0,0.0,0.0
ZenTest,1,4.12.2,4.12.2,48.0,48.0,49.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,7.0,0.0,,728.0,48128.0,0.0,0.0
aarch64,1,3.0.0,3.0.0,1486.0,1486.0,1487.0,0.0,1037.0,449.0,0.0,1486.0,0.0,0.0,272.0,0.0,,16232.0,135680.0,0.0,0.0
aasm,1,6.0.0,6.0.0,382.0,382.0,383.0,0.0,255.0,127.0,0.0,382.0,0.0,0.0,49.0,0.0,,2228.0,46592.0,2.0,0.0
abbrev,1,0.1.2,0.1.2,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,36.0,8704.0,0.0,0.0
abstract,1,1.0.0,1.0.0,160.0,160.0,165.0,0.0,160.0,0.0,0.0,160.0,0.0,0.0,2.0,0.0,,1027.0,12288.0,0.0,0.0
abstract_type,1,0.0.7,0.0.7,7.0,7.0,7.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,,43.0,11776.0,0.0,0.0
academic_benchmarks,1,1.1.3,1.1.3,193.0,193.0,193.0,0.0,161.0,32.0,0.0,193.0,0.0,0.0,21.0,0.0,,806.0,10752.0,0.0,0.0
ace-rails-ap,1,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,33.0,2619392.0,0.0,0.0
acme-client,1,2.0.34,2.0.34,264.0,264.0,265.0,0.0,204.0,60.0,0.0,264.0,0.0,0.0,29.0,0.0,,1499.0,51712.0,0.0,0.0
action_policy,1,0.7.7,0.7.7,355.0,355.0,796.0,0.0,330.0,25.0,0.0,355.0,0.0,0.0,87.0,0.0,,4437.0,57856.0,0.0,0.0
action_text-trix,1,2.1.19,2.1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,14.0,112128.0,0.0,0.0
actioncable,1,8.1.3,8.1.3,421.0,421.0,422.0,0.0,300.0,120.0,1.0,421.0,0.0,0.0,45.0,0.0,,2484.0,47616.0,0.0,0.0
actionmailbox,1,8.1.3,8.1.3,142.0,142.0,142.0,0.0,98.0,44.0,0.0,142.0,0.0,0.0,43.0,0.0,,874.0,22528.0,0.0,0.0
actionmailer,1,8.1.3,8.1.3,162.0,162.0,163.0,0.0,111.0,51.0,0.0,162.0,0.0,0.0,23.0,0.0,,1187.0,33280.0,0.0,0.0
actionpack,1,8.1.3,8.1.3,2393.0,2393.0,2422.0,0.0,1818.0,564.0,11.0,2393.0,0.0,0.0,156.0,0.0,,15615.0,261632.0,0.0,0.0
actionpack-action_caching,1,1.2.2,1.2.2,12.0,12.0,13.0,0.0,9.0,2.0,1.0,12.0,0.0,0.0,4.0,0.0,,137.0,16384.0,0.0,0.0
actionpack-cloudflare,1,1.1.0,1.1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,,31.0,9728.0,0.0,0.0
actionpack-page_caching,1,1.2.4,1.2.4,25.0,25.0,25.0,0.0,10.0,15.0,0.0,25.0,0.0,0.0,4.0,0.0,,225.0,16896.0,0.0,0.0
actionpack-xml_parser,1,2.0.1,2.0.1,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,,32.0,6144.0,0.0,0.0
actiontext,1,8.1.3,8.1.3,203.0,203.0,206.0,0.0,154.0,49.0,0.0,203.0,0.0,0.0,33.0,0.0,,1276.0,41984.0,0.0,0.0
actionview,1,8.1.3,8.1.3,1172.0,1172.0,1186.0,0.0,871.0,301.0,0.0,1172.0,0.0,0.0,122.0,0.0,,8826.0,192000.0,0.0,0.0
actionview_precompiler,1,0.4.0,0.4.0,164.0,164.0,166.0,0.0,139.0,25.0,0.0,164.0,0.0,0.0,18.0,0.0,,1049.0,14336.0,0.0,0.0
active_attr,1,0.17.2,0.17.2,78.0,78.0,78.0,0.0,60.0,15.0,3.0,78.0,0.0,0.0,32.0,0.0,,683.0,39424.0,0.0,0.0
active_decorator,1,1.5.1,1.5.1,33.0,33.0,33.0,0.0,26.0,7.0,0.0,33.0,0.0,0.0,20.0,0.0,,402.0,13312.0,3.0,0.0
active_hash,1,4.1.0,4.1.0,176.0,176.0,179.0,0.0,163.0,13.0,0.0,176.0,0.0,0.0,15.0,0.0,,1091.0,27648.0,0.0,0.0
active_link_to,1,1.0.5,1.0.5,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,85.0,10240.0,0.0,0.0
active_material,1,2.1.5,2.1.5,3.0,3.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,,54.0,24576.0,0.0,0.0
active_model_otp,1,2.3.4,2.3.4,21.0,21.0,21.0,0.0,15.0,6.0,0.0,21.0,0.0,0.0,3.0,0.0,,168.0,14336.0,0.0,0.0
active_model_serializers,1,0.10.16,0.10.16,345.0,345.0,351.0,0.0,267.0,52.0,26.0,345.0,0.0,0.0,59.0,0.0,,2438.0,61952.0,0.0,0.0
active_record_doctor,1,2.0.1,2.0.1,173.0,173.0,173.0,0.0,62.0,111.0,0.0,173.0,0.0,0.0,33.0,0.0,,1885.0,30720.0,0.0,0.0
active_record_extended,1,3.5.0,3.5.0,211.0,211.0,218.0,0.0,156.0,50.0,5.0,211.0,0.0,0.0,22.0,0.0,,1332.0,28672.0,0.0,0.0
active_record_query_trace,1,1.9,1.9,40.0,40.0,40.0,0.0,25.0,15.0,0.0,40.0,0.0,0.0,2.0,0.0,,181.0,7168.0,0.0,0.0
active_record_union,1,1.4.0,1.4.0,5.0,5.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,,62.0,14848.0,0.0,0.0
active_storage_validations,1,4.1.1,4.1.1,510.0,510.0,510.0,0.0,175.0,287.0,48.0,510.0,0.0,0.0,63.0,0.0,,3528.0,61440.0,0.0,0.0
active_utils,1,3.6.1,3.6.1,96.0,96.0,96.0,0.0,77.0,19.0,0.0,96.0,0.0,0.0,11.0,0.0,,810.0,136704.0,0.0,0.0
activeadmin,1,3.5.2,3.5.2,1053.0,1053.0,1054.0,0.0,744.0,168.0,141.0,1053.0,0.0,0.0,168.0,0.0,,6760.0,263168.0,0.0,0.0
activeadmin_addons,1,1.10.2,1.10.2,208.0,208.0,209.0,0.0,148.0,48.0,12.0,208.0,0.0,0.0,43.0,0.0,,1369.0,245248.0,0.0,0.0
activejob,1,8.1.3,8.1.3,352.0,352.0,352.0,0.0,256.0,96.0,0.0,352.0,0.0,0.0,54.0,0.0,,2642.0,43520.0,0.0,0.0
activemerchant,1,1.137.0,1.137.0,7149.0,7149.0,7150.0,0.0,2511.0,4621.0,17.0,7149.0,0.0,0.0,290.0,0.0,,63821.0,797696.0,0.0,0.0
activemodel,1,8.1.3,8.1.3,673.0,673.0,682.0,0.0,516.0,152.0,5.0,673.0,0.0,0.0,73.0,0.0,,3974.0,71168.0,0.0,0.0
activemodel-serializers-xml,1,1.0.3,1.0.3,21.0,21.0,21.0,0.0,15.0,5.0,1.0,21.0,0.0,0.0,5.0,0.0,,204.0,11776.0,0.0,0.0
activerecord,1,8.1.3,8.1.3,6280.0,6280.0,6369.0,0.0,4511.0,1734.0,35.0,6280.0,0.0,0.0,397.0,0.0,,40176.0,568832.0,0.0,0.0
activerecord-compatible_legacy_migration,1,0.1.4,0.1.4,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,,39.0,10752.0,0.0,0.0
activerecord-deprecated_finders,1,1.0.4,1.0.4,55.0,55.0,55.0,0.0,53.0,1.0,1.0,55.0,0.0,0.0,7.0,0.0,,542.0,10752.0,0.0,0.0
activerecord-explain-analyze,1,0.1.0,0.1.0,5.0,5.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,,69.0,8192.0,0.0,0.0
activerecord-import,1,2.3.0,2.3.0,105.0,105.0,106.0,0.0,93.0,12.0,0.0,105.0,0.0,0.0,31.0,0.0,,1451.0,38400.0,0.0,0.0
activerecord-jdbc-adapter,1,72.1,72.1,710.0,710.0,719.0,0.0,523.0,163.0,24.0,710.0,0.0,0.0,92.0,35.0,java,5727.0,364032.0,0.0,0.0
activerecord-jdbcmysql-adapter,1,72.1,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,3.0,6144.0,0.0,0.0
activerecord-jdbcpostgresql-adapter,1,72.1,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,3.0,6144.0,0.0,0.0
activerecord-jdbcsqlite3-adapter,1,72.1,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,3.0,6144.0,0.0,0.0
activerecord-multi-tenant,1,2.4.0,2.4.0,224.0,224.0,311.0,0.0,191.0,32.0,1.0,224.0,0.0,0.0,15.0,0.0,,1076.0,128000.0,0.0,0.0
activerecord-mysql-index-hint,1,0.0.4,0.0.4,4.0,4.0,4.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,,25.0,8192.0,0.0,0.0
