repository,ranking,status,direct_deps,direct_in_ecosystem
rails/rails,stars,ok,338,283
maybe-finance/maybe,stars,ok,9,0
jekyll/jekyll,stars,ok,79,67
mastodon/mastodon,stars,ok,531,343
huginn/huginn,stars,ok,312,274
Homebrew/brew,stars,ok,174,137
discourse/discourse,stars,ok,698,325
fastlane/fastlane,stars,ok,240,227
freeCodeCamp/devdocs,stars,unavailable:FetchError,0,0
rapid7/metasploit-framework,stars,ok,394,374
kilimchoi/engineering-blogs,stars,ok,9,6
chatwoot/chatwoot,stars,ok,527,381
bayandin/awesome-awesomeness,stars,ok,0,0
hashicorp/vagrant,stars,ok,37,34
matteocrippa/awesome-swift,stars,ok,5,0
gitlabhq/gitlabhq,stars,ok,1656,1266
heartcombo/devise,stars,ok,105,102
ruby/ruby,stars,ok,336,44
forem/forem,stars,ok,555,411
Homebrew/homebrew-cask,stars,ok,14,0
lewagon/setup,stars,ok,42,40
docusealco/docuseal,stars,ok,293,209
postalserver/postal,stars,ok,169,162
opf/openproject,stars,ok,866,467
spree/spree,stars,ok,312,62
Homebrew/homebrew-core,stars,ok,25,0
CocoaPods/CocoaPods,stars,ok,130,122
mame/quine-relay,stars,ok,1,0
basecamp/kamal,stars,ok,90,82
neutraltone/awesome-stock-resources,stars,ok,6,2
gollum/gollum,stars,ok,48,29
tmuxinator/tmuxinator,stars,ok,13,10
github-linguist/linguist,stars,ok,562,205
diaspora/diaspora,stars,ok,309,284
fluent/fluentd,stars,ok,48,41
sidekiq/sidekiq,stars,ok,28,25
capistrano/capistrano,stars,ok,95,92
rubocop/rubocop,stars,ok,29,24
sinatra/sinatra,stars,ok,47,41
ubicloud/ubicloud,stars,ok,242,217
faker-ruby/faker,stars,ok,49,44
Shopify/liquid,stars,ok,20,17
greatghoul/remote-working,stars,ok,0,0
jordansissel/fpm,stars,ok,18,13
DeathKing/Learning-SICP,stars,ok,0,0
Freika/dawarich,stars,ok,277,242
teamcapybara/capybara,stars,ok,40,38
ruby-grape/grape,stars,ok,30,25
wpscanteam/wpscan,stars,ok,61,52
activeadmin/activeadmin,stars,ok,265,188
we-promise/sure,stars,ok,1045,299
antiwork/gumroad,stars,ok,601,410
thoughtbot/guides,stars,ok,15,0
resque/resque,stars,ok,25,20
freeCodeCamp/how-to-contribute-to-open-source,stars,unavailable:FetchError,0,0
imathis/octopress,stars,ok,13,13
thoughtbot/paperclip,stars,ok,32,32
thoughtbot/bourbon,stars,ok,10,0
ankane/pghero,stars,ok,11,8
javan/whenever,stars,ok,7,5
carrierwaveuploader/carrierwave,stars,ok,28,26
community/community,stars,unavailable:FetchError,0,0
kaminari/kaminari,stars,ok,30,28
varvet/pundit,stars,ok,19,12
chef/chef,stars,ok,351,334
heartcombo/simple_form,stars,ok,57,55
thoughtbot/factory_bot,stars,ok,87,82
basecamp/fizzy,stars,ok,180,171
omniauth/omniauth,stars,ok,24,19
railsadminteam/rails_admin,stars,ok,78,51
puppetlabs/puppet,stars,ok,51,44
puma/puma,stars,ok,35,29
github/scientist,stars,ok,4,2
github-changelog-generator/github-changelog-generator,stars,ok,24,22
realm/jazzy,stars,ok,116,108
flyerhzm/bullet,stars,ok,17,14
presidentbeef/brakeman,stars,ok,366,354
middleman/middleman,stars,ok,165,153
paper-trail-gem/paper_trail,stars,ok,27,24
skwp/dotfiles,stars,ok,1,0
chyingp/nodejs-learning-guide,stars,ok,41,1
BetterErrors/better_errors,stars,ok,18,12
pry/pry,stars,ok,13,11
midudev/autoskills,stars,ok,70,0
urbanadventurer/WhatWeb,stars,ok,13,13
instructure/canvas-lms,stars,ok,941,426
sj26/mailcatcher,stars,ok,29,16
bkeepers/dotenv,stars,ok,13,10
ankane/searchkick,stars,ok,38,32
kkuchta/css-only-chat,stars,ok,12,12
busyloop/lolcat,stars,ok,4,4
ankane/chartkick,stars,ok,14,2
alexreisner/geocoder,stars,ok,27,25
guard/guard,stars,ok,30,28
hanami/hanami,stars,ok,45,35
norman/friendly_id,stars,ok,20,17
ryanb/cancan,stars,ok,13,13
ddollar/foreman,stars,ok,12,10
felixonmars/dnsmasq-china-list,stars,ok,8,5
vcr/vcr,stars,ok,36,34
leereilly/swot,forks,ok,0,0
rails/rails,forks,ok,338,283
rapid7/metasploit-framework,forks,ok,394,374
github/explore,forks,ok,134,122
Homebrew/homebrew-core,forks,ok,25,0
Homebrew/homebrew-cask,forks,ok,14,0
Homebrew/brew,forks,ok,174,137
jekyll/jekyll,forks,ok,79,67
discourse/discourse,forks,ok,698,325
chatwoot/chatwoot,forks,ok,527,381
mastodon/mastodon,forks,ok,531,343
fastlane/fastlane,forks,ok,240,227
gitlabhq/gitlabhq,forks,ok,1656,1266
learn-co-students/first-ide-lab-bootcamp-prep-000,forks,ok,10,10
maybe-finance/maybe,forks,ok,9,0
ruby/ruby,forks,ok,336,44
deadlyvipers/dojo_rules,forks,unavailable:FetchError,0,0
heartcombo/devise,forks,ok,105,102
github-linguist/linguist,forks,ok,562,205
spree/spree,forks,ok,312,62
dependabot/demo,forks,ok,9,2
hashicorp/vagrant,forks,ok,37,34
community/community,forks,unavailable:FetchError,0,0
huginn/huginn,forks,ok,312,274
forem/forem,forks,ok,555,411
citation-style-language/styles,forks,ok,51,42
saasbook/hw-ruby-intro,forks,ok,3,3
bigbluebutton/greenlight,forks,ok,309,189
bayandin/awesome-awesomeness,forks,ok,0,0
opf/openproject,forks,ok,866,467
saasbook/rottenpotatoes-rails-intro,forks,ok,77,77
github/markup,forks,ok,68,63
lighthouse-labs/ar-exercises,forks,ok,12,12
activeadmin/activeadmin,forks,ok,265,188
lukes/ISO-3166-Countries-with-Regional-Codes,forks,ok,13,13
faker-ruby/faker,forks,ok,49,44
learn-co-curriculum/phase-3-running-ruby-code,forks,ok,2,0
matteocrippa/awesome-swift,forks,ok,5,0
rubocop/rubocop,forks,ok,29,24
case451/hw3_rottenpotatoes,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-3-methods,forks,ok,2,0
instructure/canvas-lms,forks,ok,941,426
learn-co-curriculum/phase-4-rails-and-active-record-lab,forks,ok,58,56
learn-co-curriculum/phase-3-ruby-oo-basics-setter-and-getter-methods,forks,ok,2,0
learn-co-curriculum/phase-3-control-flow-conditional-statements,forks,ok,2,0
learn-co-curriculum/phase-3-reading-error-messages,forks,ok,2,0
learn-co-curriculum/phase-4-rails-routing-basics-lab,forks,ok,58,56
diaspora/diaspora,forks,ok,309,284
learn-co-curriculum/phase-3-ruby-oo-self-person-lab,forks,ok,2,0
learn-co-curriculum/phase-3-ruby-oo-basics-instance-variables-lab,forks,ok,2,0
learn-co-curriculum/phase-3-control-flow-loops,forks,ok,2,0
learn-co-curriculum/phase-3-debugging-with-pry,forks,ok,2,0
learn-co-curriculum/phase-3-ruby-oo-basics-putting-the-pieces-together-lab,forks,ok,2,0
learn-co-curriculum/phase-3-ruby-oo-basics-instance-methods-lab,forks,ok,2,0
learn-co-curriculum/phase-3-ruby-oo-class-variables-and-class-methods-lab,forks,ok,2,0
alexch/learn_ruby,forks,ok,2,2
learn-co-curriculum/phase-4-rails-create-read-lab,forks,ok,63,56
hpyhacking/peatio,forks,ok,178,178
learn-co-curriculum/phase-4-rails-and-active-record-readme,forks,ok,58,56
svenfuchs/rails-i18n,forks,ok,70,68
learn-co-curriculum/phase-3-enumerables-lab,forks,ok,2,0
CocoaPods/CocoaPods,forks,ok,130,122
learn-co-curriculum/phase-3-active-record-writing-migrations-lab,forks,ok,32,30
learn-co-curriculum/phase-4-rails-routing-basics-readme,forks,ok,58,56
freeCodeCamp/devdocs,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-3-ruby-oo-basics-attribute-accessors-lab,forks,ok,2,0
learn-co-students/first-ide-lab-js-intro-000,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-3-ruby-oo-basics-object-initialization-lab,forks,ok,2,0
learn-co-curriculum/phase-3-active-record-migrations,forks,ok,32,30
imathis/octopress,forks,ok,13,13
thoughtbot/factory_bot,forks,ok,87,82
learn-co-curriculum/phase-3-active-record-translating-from-orm-to-ar,forks,ok,25,23
chef/chef,forks,ok,351,334
learn-co-curriculum/phase-4-rails-resources-index-show,forks,ok,58,56
learn-co-curriculum/phase-4-cookies-and-sessions-lab,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-3-ruby-oo-self-cash-register-lab,forks,ok,2,0
saasbook/hw-bdd-cucumber,forks,ok,125,125
learn-co-curriculum/phase-4-rails-route-params-lab,forks,ok,58,56
brentley/ecsdemo-frontend,forks,ok,70,65
activemerchant/active_merchant,forks,ok,22,19
sidekiq/sidekiq,forks,ok,28,25
redmine/redmine,forks,ok,62,57
learn-co-curriculum/phase-3-active-record-intro-to-rake,forks,ok,13,11
learn-co-curriculum/phase-3-active-record-associations-tvland-lab,forks,ok,32,30
learn-co-curriculum/phase-3-ruby-oo-inheritance-inheritance-lab,forks,ok,2,0
learn-co-curriculum/phase-4-authenticating-users-lab,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-3-ruby-oo-self-count-sentences-lab,forks,ok,2,0
learn-co-curriculum/phase-3-active-record-crud-operations-lab,forks,ok,32,30
learn-co-curriculum/phase-4-rails-resources-create,forks,ok,58,56
learn-co-curriculum/phase-3-sql-organizing-bears-lab,forks,ok,12,10
thoughtbot/paperclip,forks,ok,32,32
learn-co-curriculum/phase-4-rails-route-params-readme,forks,ok,59,57
learn-co-curriculum/phase-4-displaying-associated-data-lab,forks,unavailable:FetchError,0,0
progit/progit,forks,ok,3,3
learn-co-curriculum/phase-4-active-model-serializer-lab,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-3-active-record-associations-many-to-many,forks,ok,33,31
learn-co-curriculum/phase-4-rails-strong-params,forks,ok,58,56
sclorg/ruby-ex,forks,ok,3,3
learn-co-students/hello-world-ruby-ruby-intro-000,forks,unavailable:FetchError,0,0
learn-co-curriculum/phase-4-active-record-validations-lab,forks,ok,58,56
