repository,ranking,package,version,ecosystem
rails/rails,stars,base64,0.3.0,gem
rails/rails,stars,herb,>= 0.10,gem
rails/rails,stars,uri,>= 0.13.1,gem
rails/rails,stars,ast,2.4.3,gem
rails/rails,stars,terser,1.2.4,gem
rails/rails,stars,rdoc,6.15.0,gem
rails/rails,stars,rack-cache,1.17.0,gem
rails/rails,stars,aws-sdk-core,3.230.0,gem
rails/rails,stars,beaneater,1.1.3,gem
rails/rails,stars,i18n,1.14.8,gem
rails/rails,stars,bcrypt_pbkdf,1.1.1,gem
rails/rails,stars,rack-session,2.1.1,gem
rails/rails,stars,drb,2.2.3,gem
rails/rails,stars,nio4r,~> 2.0,gem
rails/rails,stars,puma,6.5.0,gem
rails/rails,stars,websocket-driver,0.7.7,gem
rails/rails,stars,zeitwerk,~> 2.6,gem
rails/rails,stars,websocket-driver,>= 0.6.1,gem
rails/rails,stars,capybara,~> 2.15,gem
rails/rails,stars,spring-watcher-listen,~> 2.0.0,gem
rails/rails,stars,bootsnap,>= 1.1.0,gem
rails/rails,stars,thor,1.3.2,gem
rails/rails,stars,jsbundling-rails,1.3.1,gem
rails/rails,stars,queue_classic,4.0.0,gem
rails/rails,stars,protobug,0.1.0,gem
rails/rails,stars,globalid,>= 1.4.0,gem
rails/rails,stars,rack-protection,4.1.1,gem
rails/rails,stars,rails-html-sanitizer,1.7.0,gem
rails/rails,stars,bindex,0.8.1,gem
rails/rails,stars,minitest,6.0.6,gem
rails/rails,stars,webmock,3.25.0,gem
rails/rails,stars,timeout,>= 0.4.0,gem
rails/rails,stars,marcel,~> 2.0,gem
rails/rails,stars,public_suffix,6.0.1,gem
rails/rails,stars,aws-sigv4,1.12.1,gem
rails/rails,stars,httpclient,2.9.0,gem
rails/rails,stars,mini_mime,1.1.5,gem
rails/rails,stars,bunny,2.23.0,gem
rails/rails,stars,event_emitter,0.2.6,gem
rails/rails,stars,sprockets,4.2.1,gem
rails/rails,stars,faraday-net_http,3.4.2,gem
rails/rails,stars,resque-scheduler,4.11.0,gem
rails/rails,stars,rubocop-rails-omakase,1.0.0,gem
rails/rails,stars,msgpack,1.7.5,gem
rails/rails,stars,representable,3.2.0,gem
rails/rails,stars,mustermann,3.0.4,gem
rails/rails,stars,builder,3.3.0,gem
rails/rails,stars,io-console,0.8.1,gem
rails/rails,stars,selenium-webdriver,4.32.0,gem
rails/rails,stars,ffi,1.17.1,gem
rails/rails,stars,rouge,4.6.1,gem
rails/rails,stars,sprockets-rails,3.5.2,gem
rails/rails,stars,parser,3.3.12.0,gem
rails/rails,stars,websocket,1.2.11,gem
rails/rails,stars,concurrent-ruby,1.3.8,gem
rails/rails,stars,stimulus-rails,1.3.4,gem
rails/rails,stars,concurrent-ruby,"~> 1.0,>= 1.3.1",gem
rails/rails,stars,multi_json,1.21.2,gem
rails/rails,stars,bcrypt,3.1.20,gem
rails/rails,stars,listen,">= 3.0.5,< 3.2",gem
rails/rails,stars,tzinfo,2.0.6,gem
rails/rails,stars,json,3.0.1,gem
rails/rails,stars,mysql2,0.5.6,gem
rails/rails,stars,net-http,0.9.1,gem
rails/rails,stars,launchy,3.0.1,gem
rails/rails,stars,rbtree,0.4.7,gem
rails/rails,stars,tsort,0.2.0,gem
rails/rails,stars,rubyzip,2.4.1,gem
rails/rails,stars,aws-sdk-s3,1.197.0,gem
rails/rails,stars,bigdecimal,>= 0,gem
rails/rails,stars,google-protobuf,4.29.3,gem
rails/rails,stars,crack,1.0.0,gem
rails/rails,stars,rubocop,1.90.0,gem
rails/rails,stars,uri,1.0.3,gem
rails/rails,stars,rake,13.3.0,gem
rails/rails,stars,set,1.1.2,gem
rails/rails,stars,faraday,2.14.0,gem
rails/rails,stars,protobug_sigstore_protos,0.1.0,gem
rails/rails,stars,erubi,~> 1.11,gem
rails/rails,stars,rails-dom-testing,~> 2.2,gem
rails/rails,stars,rake,~> 13.0,gem
rails/rails,stars,kramdown,2.5.1,gem
rails/rails,stars,net-http,0.6.0,gem
rails/rails,stars,uri,1.0.4,gem
rails/rails,stars,tzinfo-data,>= 0,gem
rails/rails,stars,pg,1.6.3,gem
rails/rails,stars,et-orbi,1.2.11,gem
rails/rails,stars,net-imap,0.5.5,gem
rails/rails,stars,dalli,5.0.6,gem
rails/rails,stars,thruster,0.1.16,gem
rails/rails,stars,dotenv,3.1.7,gem
rails/rails,stars,rubocop-minitest,0.37.1,gem
rails/rails,stars,debug,1.10.0,gem
rails/rails,stars,redis-namespace,1.11.0,gem
rails/rails,stars,ruby-vips,2.3.0,gem
rails/rails,stars,chef-utils,18.6.2,gem
rails/rails,stars,aws-eventstream,1.4.0,gem
rails/rails,stars,prism,1.9.0,gem
rails/rails,stars,hashdiff,1.1.2,gem
rails/rails,stars,base64,>= 0,gem
rails/rails,stars,thor,"~> 1.0,>= 1.2.2",gem
rails/rails,stars,google-apis-storage_v1,0.49.0,gem
rails/rails,stars,w3c_validators,1.3.7,gem
rails/rails,stars,retriable,3.1.2,gem
rails/rails,stars,bootsnap,1.18.4,gem
rails/rails,stars,protobug_well_known_protos,0.1.0,gem
rails/rails,stars,turbo-rails,2.0.11,gem
rails/rails,stars,nio4r,2.7.4,gem
rails/rails,stars,image_processing,2.0.1,gem
rails/rails,stars,rubocop-ast,1.50.0,gem
rails/rails,stars,minitest,5.25.1,gem
rails/rails,stars,backburner,1.7.0,gem
rails/rails,stars,ffi-compiler,1.3.2,gem
rails/rails,stars,herb,0.10.3,gem
rails/rails,stars,serverengine,2.0.7,gem
rails/rails,stars,dante,0.2.0,gem
rails/rails,stars,lint_roller,1.1.0,gem
rails/rails,stars,spring,>= 0,gem
rails/rails,stars,importmap-rails,2.1.0,gem
rails/rails,stars,marcel,2.1.0,gem
rails/rails,stars,google-cloud-env,2.2.1,gem
rails/rails,stars,timeout,0.4.3,gem
rails/rails,stars,tilt,2.6.1,gem
rails/rails,stars,useragent,0.16.11,gem
rails/rails,stars,solid_cable,3.0.5,gem
rails/rails,stars,rb-fsevent,0.11.2,gem
rails/rails,stars,jwt,2.10.1,gem
rails/rails,stars,libxml-ruby,6.0.0,gem
rails/rails,stars,chromedriver-helper,>= 0,gem
rails/rails,stars,mini_magick,5.3.1,gem
rails/rails,stars,tailwindcss-ruby,3.4.17,gem
rails/rails,stars,reline,0.6.1,gem
rails/rails,stars,selenium-webdriver,>= 0,gem
rails/rails,stars,psych,5.2.6,gem
rails/rails,stars,globalid,1.4.0,gem
rails/rails,stars,aws-partitions,1.1150.0,gem
rails/rails,stars,os,1.1.4,gem
rails/rails,stars,json,>= 0,gem
rails/rails,stars,sorted_set,1.0.3,gem
rails/rails,stars,rubocop-rails,2.30.3,gem
rails/rails,stars,prism,~> 1.2,gem
rails/rails,stars,rails-html-sanitizer,~> 1.7,gem
rails/rails,stars,racc,1.8.1,gem
rails/rails,stars,logger,1.7.0,gem
rails/rails,stars,sdoc,2.6.5,gem
rails/rails,stars,minitest-mock,5.27.0,gem
rails/rails,stars,nokogiri,>= 1.8.5,gem
rails/rails,stars,drb,>= 0,gem
rails/rails,stars,unicode-display_width,3.2.0,gem
rails/rails,stars,nokogiri,1.19.1,gem
rails/rails,stars,crass,1.0.6,gem
rails/rails,stars,redcarpet,3.6.1,gem
rails/rails,stars,childprocess,5.1.0,gem
rails/rails,stars,securerandom,0.4.1,gem
rails/rails,stars,trailblazer-option,0.1.2,gem
rails/rails,stars,mixlib-shellout,3.3.4,gem
rails/rails,stars,google-cloud-core,1.7.1,gem
rails/rails,stars,regexp_parser,2.12.0,gem
rails/rails,stars,i18n,">= 1.6,< 2",gem
rails/rails,stars,rake,>= 12.2,gem
rails/rails,stars,action_text-trix,~> 2.1.16,gem
rails/rails,stars,mail,>= 2.8.0,gem
rails/rails,stars,net-sftp,4.0.0,gem
rails/rails,stars,rufus-scheduler,3.9.2,gem
rails/rails,stars,aws-sdk-kms,1.110.0,gem
rails/rails,stars,web-console,>= 3.3.0,gem
rails/rails,stars,rack-test,>= 0.6.3,gem
rails/rails,stars,tomlrb,2.0.3,gem
rails/rails,stars,solid_queue,1.1.2,gem
rails/rails,stars,mail,2.8.1,gem
rails/rails,stars,sneakers,2.11.0,gem
rails/rails,stars,sshkit,1.23.2,gem
rails/rails,stars,ostruct,0.6.1,gem
rails/rails,stars,connection_pool,3.0.2,gem
rails/rails,stars,net-scp,4.0.0,gem
rails/rails,stars,signet,0.19.0,gem
rails/rails,stars,rexml,3.4.0,gem
rails/rails,stars,mono_logger,1.1.2,gem
rails/rails,stars,minitest,>= 5.1,gem
rails/rails,stars,google-cloud-errors,1.4.0,gem
rails/rails,stars,mixlib-cli,2.1.8,gem
rails/rails,stars,xpath,3.2.0,gem
rails/rails,stars,listen,3.9.0,gem
rails/rails,stars,tailwindcss-rails,3.2.0,gem
rails/rails,stars,builder,~> 3.1,gem
rails/rails,stars,rackup,>= 1.0.0,gem
rails/rails,stars,redis-client,0.28.0,gem
rails/rails,stars,google-logging-utils,0.1.0,gem
rails/rails,stars,rack-test,2.2.0,gem
rails/rails,stars,google-cloud-storage,1.54.0,gem
rails/rails,stars,sigdump,0.2.5,gem
rails/rails,stars,loofah,2.25.0,gem
rails/rails,stars,erubi,1.13.1,gem
rails/rails,stars,net-protocol,0.2.2,gem
rails/rails,stars,psych,>= 4,gem
rails/rails,stars,redis,5.4.1,gem
rails/rails,stars,aws-sdk-sns,1.92.0,gem
rails/rails,stars,net-pop,0.1.2,gem
rails/rails,stars,solid_cache,1.0.6,gem
rails/rails,stars,dartsass-rails,0.5.1,gem
rails/rails,stars,rack,3.2.1,gem
rails/rails,stars,protobug_googleapis_field_behavior_protos,0.1.0,gem
rails/rails,stars,cssbundling-rails,1.4.1,gem
rails/rails,stars,ractor-dispatch,>= 0.2.0,gem
rails/rails,stars,propshaft,1.3.1,gem
rails/rails,stars,sass-embedded,1.83.4,gem
rails/rails,stars,google-apis-iamcredentials_v1,0.22.0,gem
rails/rails,stars,stackprof,0.2.28,gem
rails/rails,stars,digest-crc,0.6.5,gem
rails/rails,stars,googleauth,1.12.2,gem
rails/rails,stars,rainbow,3.1.1,gem
rails/rails,stars,mixlib-config,3.0.27,gem
rails/rails,stars,bundler-audit,0.9.3,gem
rails/rails,stars,mdl,0.12.0,gem
rails/rails,stars,ruby2_keywords,0.0.5,gem
rails/rails,stars,mini_portile2,2.8.9,gem
rails/rails,stars,pp,0.6.2,gem
rails/rails,stars,resque,2.7.0,gem
rails/rails,stars,jmespath,1.6.2,gem
rails/rails,stars,rb-inotify,0.11.1,gem
rails/rails,stars,bundler,>= 1.15.0,gem
rails/rails,stars,securerandom,>= 0.3,gem
rails/rails,stars,irb,1.15.2,gem
rails/rails,stars,matrix,0.4.2,gem
rails/rails,stars,zeitwerk,2.7.3,gem
rails/rails,stars,rake,13.2.1,gem
rails/rails,stars,thor,1.4.0,gem
rails/rails,stars,rackup,2.2.1,gem
rails/rails,stars,prettyprint,0.2.0,gem
rails/rails,stars,kamal,2.4.0,gem
rails/rails,stars,web-console,4.2.1,gem
rails/rails,stars,stringio,3.1.7,gem
