package,version,documentation,doc_coverage_pct,obtainable_by_download,download_url,size_kb
Ascii85,2.0.1,in the package,42.1,Yes,https://rubygems.org/downloads/Ascii85-2.0.1.gem,15.0
CFPropertyList,4.0.0,in the package,58.5,Yes,https://rubygems.org/downloads/CFPropertyList-4.0.0.gem,18.0
RedCloth,4.3.4,in the package,19.7,Yes,https://rubygems.org/downloads/RedCloth-4.3.4.gem,229.0
aarch64,3.0.0,in the package,0.3,Yes,https://rubygems.org/downloads/aarch64-3.0.0.gem,132.5
aasm,6.0.0,in the package,14.0,Yes,https://rubygems.org/downloads/aasm-6.0.0.gem,45.5
abbrev,0.1.2,in the package,50.0,Yes,https://rubygems.org/downloads/abbrev-0.1.2.gem,8.5
abstract,1.0.0,in the package,0.7,Yes,https://rubygems.org/downloads/abstract-1.0.0.gem,12.0
abstract_type,0.0.7,in the package,66.7,Yes,https://rubygems.org/downloads/abstract_type-0.0.7.gem,11.5
academic_benchmarks,1.1.3,in the package,5.1,Yes,https://rubygems.org/downloads/academic_benchmarks-1.1.3.gem,10.5
ace-rails-ap,4.5,in the package,,Yes,https://rubygems.org/downloads/ace-rails-ap-4.5.gem,2558.0
acme-client,2.0.34,in the package,12.0,Yes,https://rubygems.org/downloads/acme-client-2.0.34.gem,50.5
action_text-trix,2.1.19,not in the package,,No,,
actioncable,8.1.3,in the package,17.0,Yes,https://rubygems.org/downloads/actioncable-8.1.3.gem,46.5
actionmailbox,8.1.3,in the package,7.8,Yes,https://rubygems.org/downloads/actionmailbox-8.1.3.gem,22.0
actionmailer,8.1.3,in the package,39.9,Yes,https://rubygems.org/downloads/actionmailer-8.1.3.gem,32.5
actionpack,8.1.3,in the package,21.3,Yes,https://rubygems.org/downloads/actionpack-8.1.3.gem,255.5
actionpack-action_caching,1.2.2,in the package,9.1,Yes,https://rubygems.org/downloads/actionpack-action_caching-1.2.2.gem,16.0
actionpack-cloudflare,1.1.0,in the package,0.0,Yes,https://rubygems.org/downloads/actionpack-cloudflare-1.1.0.gem,9.5
actionpack-xml_parser,2.0.1,in the package,0.0,Yes,https://rubygems.org/downloads/actionpack-xml_parser-2.0.1.gem,6.0
actiontext,8.1.3,in the package,8.7,Yes,https://rubygems.org/downloads/actiontext-8.1.3.gem,41.0
actionview,8.1.3,in the package,31.2,Yes,https://rubygems.org/downloads/actionview-8.1.3.gem,187.5
actionview_precompiler,0.4.0,in the package,3.4,Yes,https://rubygems.org/downloads/actionview_precompiler-0.4.0.gem,14.0
active_hash,4.1.0,in the package,2.7,Yes,https://rubygems.org/downloads/active_hash-4.1.0.gem,27.0
active_model_otp,2.3.4,in the package,4.8,Yes,https://rubygems.org/downloads/active_model_otp-2.3.4.gem,14.0
active_model_serializers,0.10.16,in the package,39.9,Yes,https://rubygems.org/downloads/active_model_serializers-0.10.16.gem,60.5
active_record_doctor,2.0.1,in the package,2.6,Yes,https://rubygems.org/downloads/active_record_doctor-2.0.1.gem,30.0
active_record_query_trace,1.9,in the package,33.3,Yes,https://rubygems.org/downloads/active_record_query_trace-1.9.gem,7.0
active_record_union,1.4.0,in the package,0.0,Yes,https://rubygems.org/downloads/active_record_union-1.4.0.gem,14.5
active_storage_validations,4.1.1,in the package,7.4,Yes,https://rubygems.org/downloads/active_storage_validations-4.1.1.gem,60.0
activeadmin,3.5.2,in the package,26.3,Yes,https://rubygems.org/downloads/activeadmin-3.5.2.gem,257.0
activejob,8.1.3,in the package,17.2,Yes,https://rubygems.org/downloads/activejob-8.1.3.gem,42.5
activemerchant,1.137.0,in the package,6.9,Yes,https://rubygems.org/downloads/activemerchant-1.137.0.gem,779.0
activemodel,8.1.3,in the package,23.9,Yes,https://rubygems.org/downloads/activemodel-8.1.3.gem,69.5
activemodel-serializers-xml,1.0.3,in the package,23.5,Yes,https://rubygems.org/downloads/activemodel-serializers-xml-1.0.3.gem,11.5
activerecord,8.1.3,in the package,21.0,Yes,https://rubygems.org/downloads/activerecord-8.1.3.gem,555.5
activerecord-deprecated_finders,1.0.4,in the package,3.7,Yes,https://rubygems.org/downloads/activerecord-deprecated_finders-1.0.4.gem,10.5
activerecord-explain-analyze,0.1.0,in the package,20.0,Yes,https://rubygems.org/downloads/activerecord-explain-analyze-0.1.0.gem,8.0
activerecord-import,2.3.0,in the package,34.8,Yes,https://rubygems.org/downloads/activerecord-import-2.3.0.gem,37.5
activerecord-jdbc-adapter,72.1,not in the package,,No,,
activerecord-jdbcmysql-adapter,72.1,not in the package,,No,,
activerecord-jdbcpostgresql-adapter,72.1,not in the package,,No,,
activerecord-jdbcsqlite3-adapter,72.1,not in the package,,No,,
activerecord-mysql-index-hint,0.0.4,in the package,0.0,Yes,https://rubygems.org/downloads/activerecord-mysql-index-hint-0.0.4.gem,8.0
