gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
stackdriver-core,1.8.0,12041566,100.0,35,35,False,,0,True,True,0,4,https://www.rubydoc.info/gems/stackdriver-core/1.8.0,rubydoc.info,True,https://github.com/googleapis/google-cloud-ruby/tree/master/stackdriver-core,,,,https://github.com/GoogleCloudPlatform/google-cloud-ruby/labels/stackdriver,https://github.com/googleapis/google-cloud-ruby
tty-spinner,0.9.3,160584700,100.0,58,58,True,README.md,14585,True,True,0,3,https://www.rubydoc.info/gems/tty-spinner,rubydoc.info,True,https://ttytoolkit.org,https://github.com/piotrmurach/tty-spinner/blob/master/CHANGELOG.md,,https://github.com/piotrmurach/tty-spinner,https://github.com/piotrmurach/tty-spinner/issues,https://github.com/piotrmurach/tty-spinner
inifile,3.0.0,38692218,100.0,32,32,True,README.md,6657,True,False,0,2,https://www.rubydoc.info/gems/inifile/3.0.0,rubydoc.info,True,http://rubygems.org/gems/inifile,,,https://github.com/twp/inifile,https://github.com/twp/inifile/issues,https://github.com/twp/inifile
datadog_api_client,2.59.1,18997856,99.6,58450,58658,True,README.md,5426,True,True,0,6,https://docs.datadoghq.com/api/,docs.datadoghq.com,False,https://datadoghq.com/,https://github.com/DataDog/datadog-api-client-ruby/blob/master/CHANGELOG.md,,https://github.com/DataDog/datadog-api-client-ruby,https://github.com/DataDog/datadog-api-client-ruby/issues,https://github.com/datadog/datadog-api-client-ruby
mlb,0.11.0,138814,99.1,212,214,True,README.md,13624,True,True,0,3,https://rubydoc.info/gems/mlb/,rubydoc.info,True,https://sferik.github.io/mlb-ruby,https://github.com/sferik/mlb-ruby/blob/master/CHANGELOG.md,,https://github.com/sferik/mlb-ruby,https://github.com/sferik/mlb-ruby/issues,https://github.com/sferik/mlb-ruby
kitchen-vagrant,2.4.1,3663272,98.5,65,66,False,,0,False,True,0,0,https://www.rubydoc.info/gems/kitchen-vagrant/2.4.0,rubydoc.info,True,https://github.com/test-kitchen/kitchen-vagrant/,,https://github.com/opscode/kitchen-vagrant/wiki,https://github.com/opscode/kitchen-vagrant,https://github.com/opscode/kitchen-vagrant/issues,https://github.com/opscode/kitchen-vagrant
google-cloud-artifact_registry-v1,1.14.0,16305674,98.5,266,270,True,README.md,7202,False,True,0,4,https://www.rubydoc.info/gems/google-cloud-artifact_registry-v1/1.14.0,rubydoc.info,True,https://github.com/googleapis/google-cloud-ruby,,,,,https://github.com/googleapis/google-cloud-ruby
docusign_esign,7.0.0,7023972,98.4,9190,9344,True,README.md,4737,True,True,1,2,https://www.rubydoc.info/gems/docusign_esign/7.0.0,rubydoc.info,True,https://github.com/docusign/docusign-esign-ruby-client,,,,,https://github.com/docusign/docusign-esign-ruby-client
axiom-types,0.1.1,128151234,98.3,59,60,True,README.md,1307,False,True,0,2,https://www.rubydoc.info/gems/axiom-types/0.1.1,rubydoc.info,True,https://github.com/dkubb/axiom-types,,,,,https://github.com/dkubb/axiom-types
google-cloud-translate-v3,1.10.1,3950759,98.2,213,217,True,README.md,7102,False,True,0,4,https://www.rubydoc.info/gems/google-cloud-translate-v3/1.10.1,rubydoc.info,True,https://github.com/googleapis/google-cloud-ruby,,,,,https://github.com/googleapis/google-cloud-ruby
