gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
bundler,4.0.20,3670861388,22.6,658.0,2908.0,True,README.md,3168.0,1.0,1.0,0.0,7.0,,,False,https://bundler.io/,https://github.com/ruby/rubygems/blob/master/CHANGELOG-bundler.md,,https://github.com/ruby/rubygems,https://github.com/ruby/rubygems/issues?q=is%3Aopen+is%3Aissue+label%3ABundler,https://github.com/bundler/bundler
aws-sdk-core,3.254.1,1735534533,29.8,537.0,1802.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core,,https://github.com/aws/aws-sdk-ruby
aws-sigv4,1.12.1,1542666286,40.7,24.0,59.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv4/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv4,,https://github.com/aws/aws-sdk-ruby
aws-partitions,1.1283.0,1503401650,46.3,31.0,67.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions,,https://github.com/aws/aws-sdk-ruby
jmespath,1.6.2,1428846385,7.0,13.0,185.0,False,,0.0,0.0,1.0,0.0,1.0,https://www.rubydoc.info/gems/jmespath/1.6.2,rubydoc.info,True,http://github.com/trevorrowe/jmespath.rb,,,,,https://github.com/trevorrowe/jmespath.rb
i18n,1.15.2,1415699447,29.7,85.0,286.0,True,README.md,3924.0,0.0,0.0,0.0,1.0,https://guides.rubyonrails.org/i18n.html,guides.rubyonrails.org,False,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n/releases,,,https://github.com/ruby-i18n/i18n/issues,https://github.com/svenfuchs/i18n
activesupport,8.1.3,1412649969,36.6,771.0,2106.0,True,README.rdoc,1128.0,1.0,0.0,0.0,2.0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activesupport/CHANGELOG.md,,https://github.com/rails/rails/tree/v8.1.3.1/activesupport,https://github.com/rails/rails/issues,https://github.com/rails/rails
rake,13.4.2,1395357068,59.0,190.0,322.0,True,README.rdoc,4969.0,1.0,0.0,12.0,7.0,https://ruby.github.io/rake,ruby.github.io,False,https://github.com/ruby/rake,https://github.com/ruby/rake/releases,,,https://github.com/ruby/rake/issues,https://github.com/ruby/rake
json,3.0.0,1355755833,42.5,31.0,73.0,True,README.md,5392.0,1.0,1.0,0.0,2.0,https://docs.ruby-lang.org/en/master/JSON.html,docs.ruby-lang.org,False,https://github.com/ruby/json,https://github.com/ruby/json/blob/master/CHANGES.md,,,https://github.com/ruby/json/issues,https://github.com/ruby/json
concurrent-ruby,1.3.8,1350894115,57.9,624.0,1078.0,True,README.md,22148.0,1.0,1.0,0.0,3.0,,,False,http://www.concurrent-ruby.com,https://github.com/ruby-concurrency/concurrent-ruby/blob/master/CHANGELOG.md,,https://github.com/ruby-concurrency/concurrent-ruby,,https://github.com/ruby-concurrency/concurrent-ruby
aws-eventstream,1.4.0,1346700829,25.0,7.0,28.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-eventstream/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-eventstream,,https://github.com/aws/aws-sdk-ruby
