gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
aws-sdk-resources,3.271.0,366023383,0,0,4,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-resources/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-resources,,https://github.com/aws/aws-sdk-ruby
coffee-script-source,1.12.2,264795892,0,0,1,False,,0,False,False,0,0,https://www.rubydoc.info/gems/coffee-script-source/1.12.2,rubydoc.info,True,http://coffeescript.org,,,,,
jaro_winkler,1.7.0,137638100,0,0,7,False,,0,False,True,0,1,https://www.rubydoc.info/gems/jaro_winkler/1.7.0,rubydoc.info,True,https://github.com/tonytonyjan/jaro_winkler,https://github.com/tonytonyjan/jaro_winkler/blob/v1.7.0/CHANGELOG.md,,https://github.com/tonytonyjan/jaro_winkler/tree/v1.7.0,https://github.com/tonytonyjan/jaro_winkler/issues,https://github.com/tonytonyjan/jaro_winkler
ssrf_filter,1.5.0,98745580,0,0,8,False,,0,False,False,0,0,,,False,https://github.com/arkadiyt/ssrf_filter,https://github.com/arkadiyt/ssrf_filter/blob/main/CHANGELOG.md,,,,https://github.com/arkadiyt/ssrf_filter
sixarm_ruby_unaccent,1.2.2,91953293,0,0,4,False,,0,False,False,0,0,https://www.rubydoc.info/gems/sixarm_ruby_unaccent/1.2.2,rubydoc.info,True,http://sixarm.com/,,,,,
libdatadog,40.0.0.1.0,81061225,0,0,6,False,,0,False,True,0,0,,,False,https://docs.datadoghq.com/tracing/,,,https://github.com/datadog/libdatadog-rb,,https://github.com/datadog/libdatadog-rb
murmurhash3,0.1.7,58873013,0,0,21,False,,0,False,True,0,0,https://www.rubydoc.info/gems/murmurhash3/0.1.7,rubydoc.info,True,https://github.com/funny-falcon/murmurhash3-ruby,,,,,https://github.com/funny-falcon/murmurhash3-ruby
libyajl2,2.1.0,54577199,0,0,8,False,,0,False,True,0,10,https://www.rubydoc.info/gems/libyajl2/2.1.0,rubydoc.info,True,https://github.com/chef/libyajl2-gem,,,,,https://github.com/chef/libyajl2-gem
wmi-lite,1.0.7,53811100,0,0,16,False,,0,False,True,0,0,https://www.rubydoc.info/gems/wmi-lite/1.0.7,rubydoc.info,True,https://github.com/chef/wmi-lite,,,,,https://github.com/chef/wmi-lite
babel-transpiler,0.7.0,53483099,0,0,6,False,,0,False,True,0,0,https://www.rubydoc.info/gems/babel-transpiler/0.7.0,rubydoc.info,True,https://github.com/babel/ruby-babel-transpiler,,,,,https://github.com/babel/ruby-babel-transpiler
better_html,2.2.0,50271916,0,0,194,False,,0,False,False,0,0,,,False,https://github.com/Shopify/better-html,https://github.com/Shopify/better-html/releases,,https://github.com/Shopify/better-html/tree/v2.2.0,https://github.com/Shopify/better-html/issues,https://github.com/shopify/better-html
rswag-api,2.17.0,50181643,0,0,12,False,,0,False,False,0,0,https://www.rubydoc.info/gems/rswag-api/2.17.0,rubydoc.info,True,https://github.com/rswag/rswag,,,,,https://github.com/rswag/rswag
flipper-active_support_cache_store,1.4.2,49361937,0,0,10,False,,0,False,False,0,0,https://www.flippercloud.io/docs,flippercloud.io,False,https://www.flippercloud.io,https://github.com/flippercloud/flipper/releases/tag/v1.4.2,,https://github.com/flippercloud/flipper,https://github.com/flippercloud/flipper/issues,https://github.com/flippercloud/flipper
polyamorous,2.3.2,38144426,0,0,21,False,,0,False,False,0,0,https://www.rubydoc.info/gems/polyamorous/2.3.2,rubydoc.info,True,https://github.com/activerecord-hackery/ransack/tree/master/polyamorous,,,,,https://github.com/activerecord-hackery/ransack
zip-zip,0.3,36919061,0,0,3,False,,0,False,True,0,1,https://www.rubydoc.info/gems/zip-zip/0.3,rubydoc.info,True,https://github.com/orien/zip-zip,,,,https://github.com/orien/zip-zip/issues,https://github.com/orien/zip-zip
forwardable-extended,2.6.0,30959051,0,0,9,False,,0,False,True,0,0,https://www.rubydoc.info/gems/forwardable-extended/2.6.0,rubydoc.info,True,http://github.com/envygeeks/forwardable-extended,,,,,https://github.com/envygeeks/forwardable-extended
yard-sorbet,0.9.0,28511980,0,0,50,False,,0,False,True,0,0,https://dduugg.github.io/yard-sorbet/,dduugg.github.io,False,https://github.com/dduugg/yard-sorbet,https://github.com/dduugg/yard-sorbet/blob/main/CHANGELOG.md,https://github.com/dduugg/yard-sorbet/wiki,,https://github.com/dduugg/yard-sorbet/issues,https://github.com/dduugg/yard-sorbet
cucumber-ci-environment,15.0.0,28202383,0,0,7,False,,0,False,True,0,0,,,False,https://github.com/cucumber/ci-environment,https://github.com/cucumber/ci-environment/blob/main/CHANGELOG.md,,https://github.com/cucumber/ci-environment/tree/main/ruby,https://github.com/cucumber/ci-environment/issues,https://github.com/cucumber/ci-environment
spoon,0.0.6,26458006,0,0,23,False,,0,False,True,0,0,https://www.rubydoc.info/gems/spoon/0.0.6,rubydoc.info,True,,,,,,
simplecov-json,0.2.3,23780122,0,0,5,False,,0,False,False,0,0,,,False,https://github.com/vicentllongo/simplecov-json,,,,,https://github.com/vicentllongo/simplecov-json
dependabot-common,0.395.0,20516744,0,0,1422,False,,0,False,False,0,6,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-terraform,0.395.0,19996092,0,0,157,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-git_submodules,0.395.0,19930526,0,0,50,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-nuget,0.395.0,19894843,0,0,17,False,,0,False,False,0,1,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-gradle,0.395.0,19849185,0,0,328,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-docker,0.395.0,19834284,0,0,241,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-cargo,0.395.0,19793639,0,0,348,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-elm,0.395.0,19793615,0,0,84,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-maven,0.395.0,19766192,0,0,403,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-composer,0.395.0,19765090,0,0,228,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-hex,0.395.0,19680930,0,0,163,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-go_modules,0.395.0,19673036,0,0,183,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
hashie-forbidden_attributes,0.1.1,18721084,0,0,2,False,,0,False,False,0,1,https://www.rubydoc.info/gems/hashie-forbidden_attributes/0.1.1,rubydoc.info,True,https://github.com/Maxim-Filimonov/hashie-forbidden_attributes,,,,,https://github.com/maxim-filimonov/hashie-forbidden_attributes
dependabot-github_actions,0.395.0,18434517,0,0,287,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
to_bool,2.1.0,18100967,0,0,5,False,,0,False,False,0,0,https://www.rubydoc.info/gems/to_bool/2.1.0,rubydoc.info,True,http://github.com/bricker/to_bool,,,,,https://github.com/bricker/to_bool
