package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
bundler,4.0.20,3670861388,hand-written site; tool-generated; readme; github wiki; homepage,5,https://bundler.io/,https://rubydoc.info/gems/bundler,README.md,,,,https://github.com/bundler/bundler,,https://github.com/bundler/bundler/wiki,,https://bundler.io/,https://github.com/ruby/rubygems/blob/master/CHANGELOG-bundler.md,https://rubygems.org/gems/bundler,22.6
aws-sdk-core,3.254.1,1735534533,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-core,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-core,29.8
aws-sigv4,1.12.1,1542666286,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sigv4,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv4/CHANGELOG.md,https://rubygems.org/gems/aws-sigv4,40.7
aws-partitions,1.1283.0,1503401650,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-partitions,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions/CHANGELOG.md,https://rubygems.org/gems/aws-partitions,46.3
jmespath,1.6.2,1428846385,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/jmespath/1.6.2,,,,,https://github.com/trevorrowe/jmespath.rb,,https://github.com/trevorrowe/jmespath.rb/wiki,,http://github.com/trevorrowe/jmespath.rb,,https://rubygems.org/gems/jmespath,7.0
i18n,1.15.2,1415699447,hand-written site; tool-generated; readme; github wiki; homepage,5,https://guides.rubyonrails.org/i18n.html,https://rubydoc.info/gems/i18n,README.md,,,,https://github.com/svenfuchs/i18n,,https://github.com/svenfuchs/i18n/wiki,,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n/releases,https://rubygems.org/gems/i18n,29.7
activesupport,8.1.3,1412649969,hand-written site; tool-generated; readme; github wiki; homepage,5,https://api.rubyonrails.org/v8.1.3.1/,https://rubydoc.info/gems/activesupport,README.rdoc,,,,https://github.com/rails/rails,,https://github.com/rails/rails/wiki,,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activesupport/CHANGELOG.md,https://rubygems.org/gems/activesupport,36.6
rake,13.4.2,1395357068,hand-written site; tool-generated; readme; docs folder; github wiki; homepage,5,https://ruby.github.io/rake,https://rubydoc.info/gems/rake,README.rdoc,Yes,doc/command_line_usage.rdoc; doc/example/Rakefile1; doc/example/Rakefile2; doc/example/a.c; doc/example/b.c; doc/example/main.c; doc/glossary.rdoc; doc/jamis.rb; doc/proto_rake.rdoc; doc/rake.1; doc/rakefile.rdoc; doc/rational.rdoc,,https://github.com/ruby/rake,,https://github.com/ruby/rake/wiki,,https://github.com/ruby/rake,https://github.com/ruby/rake/releases,https://rubygems.org/gems/rake,59.0
json,3.0.0,1355755833,hand-written site; tool-generated; readme; github wiki; homepage,5,https://docs.ruby-lang.org/en/master/JSON.html,https://rubydoc.info/gems/json,README.md,,,,https://github.com/ruby/json,,https://github.com/ruby/json/wiki,,https://github.com/ruby/json,https://github.com/ruby/json/blob/master/CHANGES.md,https://rubygems.org/gems/json,42.5
concurrent-ruby,1.3.8,1350894115,hand-written site; tool-generated; readme; github wiki; homepage,5,http://www.concurrent-ruby.com,https://rubydoc.info/gems/concurrent-ruby,README.md,,,,https://github.com/ruby-concurrency/concurrent-ruby,,https://github.com/ruby-concurrency/concurrent-ruby/wiki,,http://www.concurrent-ruby.com,https://github.com/ruby-concurrency/concurrent-ruby/blob/master/CHANGELOG.md,https://rubygems.org/gems/concurrent-ruby,57.9
aws-eventstream,1.4.0,1346700829,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-eventstream,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-eventstream/CHANGELOG.md,https://rubygems.org/gems/aws-eventstream,25.0
tzinfo,2.0.6,1302574308,hand-written site; tool-generated; readme; github wiki; homepage,5,https://tzinfo.github.io,https://rubydoc.info/gems/tzinfo/2.0.6,README.md,,,,https://github.com/tzinfo/tzinfo,,https://github.com/tzinfo/tzinfo/wiki,,https://tzinfo.github.io,https://github.com/tzinfo/tzinfo/blob/master/CHANGES.md,https://rubygems.org/gems/tzinfo,90.4
minitest,6.0.6,1281474403,hand-written site; tool-generated; readme; github wiki; homepage,5,https://docs.seattlerb.org/minitest,https://rubydoc.info/gems/minitest,README.rdoc,,,,https://github.com/minitest/minitest,,https://github.com/minitest/minitest/wiki,,https://minite.st/,https://github.com/minitest/minitest/blob/master/History.rdoc,https://rubygems.org/gems/minitest,0.3
nokogiri,1.19.4,1249776487,hand-written site; tool-generated; readme; github wiki; homepage,5,https://nokogiri.org/rdoc/index.html,https://rubydoc.info/gems/nokogiri,README.md,,,,https://github.com/sparklemotion/nokogiri,,https://github.com/sparklemotion/nokogiri/wiki,,https://nokogiri.org,https://nokogiri.org/CHANGELOG.html,https://rubygems.org/gems/nokogiri,46.8
addressable,2.9.0,1248517381,tool-generated; readme; github wiki; homepage,4,,https://rubydoc.info/gems/addressable,README.md,,,,https://github.com/sporkmonger/addressable,,https://github.com/sporkmonger/addressable/wiki,,https://github.com/sporkmonger/addressable,https://github.com/sporkmonger/addressable/blob/main/CHANGELOG.md#v2.9.0,https://rubygems.org/gems/addressable,88.1
faraday,2.14.3,1241469867,hand-written site; tool-generated; readme; github wiki; homepage,5,https://lostisland.github.io/faraday,https://rubydoc.info/gems/faraday,README.md,,,,https://github.com/lostisland/faraday,,https://github.com/lostisland/faraday/wiki,,https://lostisland.github.io/faraday,https://github.com/lostisland/faraday/releases/tag/v2.14.3,https://rubygems.org/gems/faraday,34.4
public_suffix,7.0.5,1220136610,hand-written site; tool-generated; readme; github wiki; homepage,5,https://simonecarletti.com/code/publicsuffix-ruby,https://rubydoc.info/gems/public_suffix/7.0.5,README.md,,,,https://github.com/weppos/publicsuffix-ruby,,https://github.com/weppos/publicsuffix-ruby/wiki,,https://simonecarletti.com/code/publicsuffix-ruby,https://github.com/weppos/publicsuffix-ruby/blob/master/CHANGELOG.md,https://rubygems.org/gems/public_suffix,85.7
diff-lcs,2.0.0,1218933223,hand-written site; tool-generated; readme; github wiki; homepage,5,https://halostatue.github.io/diff-lcs/,https://rubydoc.info/gems/diff-lcs,README.md,,,,https://github.com/halostatue/diff-lcs,,https://github.com/halostatue/diff-lcs/wiki,,https://github.com/halostatue/diff-lcs,https://github.com/halostatue/diff-lcs/blob/main/CHANGELOG.md,https://rubygems.org/gems/diff-lcs,37.4
rspec-core,3.13.6,1187996415,hand-written site; tool-generated; readme; github wiki; homepage,5,https://rspec.info/documentation/,https://rubydoc.info/gems/rspec-core,README.md,,,,https://github.com/rspec/rspec-core,,https://github.com/rspec/rspec-core/wiki,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-core-v3.13.6/rspec-core/Changelog.md,https://rubygems.org/gems/rspec-core,37.2
rspec-expectations,3.13.5,1187518803,hand-written site; tool-generated; readme; github wiki; homepage,5,https://rspec.info/documentation/,https://rubydoc.info/gems/rspec-expectations,README.md,,,,https://github.com/rspec/rspec-expectations,,https://github.com/rspec/rspec-expectations/wiki,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-expectations-v3.13.5/rspec-expectations/Changelog.md,https://rubygems.org/gems/rspec-expectations,42.8
rspec-mocks,3.13.8,1182198478,hand-written site; tool-generated; readme; github wiki; homepage,5,https://rspec.info/documentation/,https://rubydoc.info/gems/rspec-mocks,README.md,,,,https://github.com/rspec/rspec-mocks,,https://github.com/rspec/rspec-mocks/wiki,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-mocks-v3.13.8/rspec-mocks/Changelog.md,https://rubygems.org/gems/rspec-mocks,32.8
rspec-support,3.13.7,1174568773,hand-written site; tool-generated; readme; github wiki; homepage,5,https://rspec.info/documentation/,https://rubydoc.info/gems/rspec-support,README.md,,,,https://github.com/rspec/rspec,,https://github.com/rspec/rspec/wiki,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-support-v3.13.7/rspec-support/Changelog.md,https://rubygems.org/gems/rspec-support,11.8
multi_json,1.21.1,1150569936,tool-generated; readme; github wiki; homepage,4,,https://www.rubydoc.info/gems/multi_json/1.21.1,README.md,,,,https://github.com/sferik/multi_json,,https://github.com/sferik/multi_json/wiki,,https://github.com/sferik/multi_json,https://github.com/sferik/multi_json/blob/v1.21.1/CHANGELOG.md,https://rubygems.org/gems/multi_json,93.4
thor,1.5.0,1137357482,hand-written site; tool-generated; readme; github wiki; homepage,5,https://github.com/rails/thor/wiki,https://rubydoc.info/gems/thor,README.md,,,,https://github.com/wycats/thor,,https://github.com/wycats/thor/wiki,,https://github.com/rails/thor,https://github.com/rails/thor/releases/tag/v1.5.0,https://rubygems.org/gems/thor,48.0
