package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
bundler,4.0.20,3670861388,hand-written site; tool-generated; readme; github wiki; homepage,5,https://bundler.io/,https://rubydoc.info/gems/bundler,README.md,,,,https://github.com/bundler/bundler,,https://github.com/bundler/bundler/wiki,,https://bundler.io/,https://github.com/ruby/rubygems/blob/master/CHANGELOG-bundler.md,https://rubygems.org/gems/bundler,22.6
i18n,1.15.2,1415699447,hand-written site; tool-generated; readme; github wiki; homepage,5,https://guides.rubyonrails.org/i18n.html,https://rubydoc.info/gems/i18n,README.md,,,,https://github.com/svenfuchs/i18n,,https://github.com/svenfuchs/i18n/wiki,,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n/releases,https://rubygems.org/gems/i18n,29.7
activesupport,8.1.3,1412649969,hand-written site; tool-generated; readme; github wiki; homepage,5,https://api.rubyonrails.org/v8.1.3.1/,https://rubydoc.info/gems/activesupport,README.rdoc,,,,https://github.com/rails/rails,,https://github.com/rails/rails/wiki,,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activesupport/CHANGELOG.md,https://rubygems.org/gems/activesupport,36.6
rake,13.4.2,1395357068,hand-written site; tool-generated; readme; docs folder; github wiki; homepage,5,https://ruby.github.io/rake,https://rubydoc.info/gems/rake,README.rdoc,Yes,doc/command_line_usage.rdoc; doc/example/Rakefile1; doc/example/Rakefile2; doc/example/a.c; doc/example/b.c; doc/example/main.c; doc/glossary.rdoc; doc/jamis.rb; doc/proto_rake.rdoc; doc/rake.1; doc/rakefile.rdoc; doc/rational.rdoc,,https://github.com/ruby/rake,,https://github.com/ruby/rake/wiki,,https://github.com/ruby/rake,https://github.com/ruby/rake/releases,https://rubygems.org/gems/rake,59.0
json,3.0.0,1355755833,hand-written site; tool-generated; readme; github wiki; homepage,5,https://docs.ruby-lang.org/en/master/JSON.html,https://rubydoc.info/gems/json,README.md,,,,https://github.com/ruby/json,,https://github.com/ruby/json/wiki,,https://github.com/ruby/json,https://github.com/ruby/json/blob/master/CHANGES.md,https://rubygems.org/gems/json,42.5
concurrent-ruby,1.3.8,1350894115,hand-written site; tool-generated; readme; github wiki; homepage,5,http://www.concurrent-ruby.com,https://rubydoc.info/gems/concurrent-ruby,README.md,,,,https://github.com/ruby-concurrency/concurrent-ruby,,https://github.com/ruby-concurrency/concurrent-ruby/wiki,,http://www.concurrent-ruby.com,https://github.com/ruby-concurrency/concurrent-ruby/blob/master/CHANGELOG.md,https://rubygems.org/gems/concurrent-ruby,57.9
tzinfo,2.0.6,1302574308,hand-written site; tool-generated; readme; github wiki; homepage,5,https://tzinfo.github.io,https://rubydoc.info/gems/tzinfo/2.0.6,README.md,,,,https://github.com/tzinfo/tzinfo,,https://github.com/tzinfo/tzinfo/wiki,,https://tzinfo.github.io,https://github.com/tzinfo/tzinfo/blob/master/CHANGES.md,https://rubygems.org/gems/tzinfo,90.4
minitest,6.0.6,1281474403,hand-written site; tool-generated; readme; github wiki; homepage,5,https://docs.seattlerb.org/minitest,https://rubydoc.info/gems/minitest,README.rdoc,,,,https://github.com/minitest/minitest,,https://github.com/minitest/minitest/wiki,,https://minite.st/,https://github.com/minitest/minitest/blob/master/History.rdoc,https://rubygems.org/gems/minitest,0.3
nokogiri,1.19.4,1249776487,hand-written site; tool-generated; readme; github wiki; homepage,5,https://nokogiri.org/rdoc/index.html,https://rubydoc.info/gems/nokogiri,README.md,,,,https://github.com/sparklemotion/nokogiri,,https://github.com/sparklemotion/nokogiri/wiki,,https://nokogiri.org,https://nokogiri.org/CHANGELOG.html,https://rubygems.org/gems/nokogiri,46.8
faraday,2.14.3,1241469867,hand-written site; tool-generated; readme; github wiki; homepage,5,https://lostisland.github.io/faraday,https://rubydoc.info/gems/faraday,README.md,,,,https://github.com/lostisland/faraday,,https://github.com/lostisland/faraday/wiki,,https://lostisland.github.io/faraday,https://github.com/lostisland/faraday/releases/tag/v2.14.3,https://rubygems.org/gems/faraday,34.4
