package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
aws-sdk-core,3.254.1,1735534533,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-core,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-core,29.8
aws-sigv4,1.12.1,1542666286,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sigv4,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv4/CHANGELOG.md,https://rubygems.org/gems/aws-sigv4,40.7
aws-partitions,1.1283.0,1503401650,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-partitions,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions/CHANGELOG.md,https://rubygems.org/gems/aws-partitions,46.3
jmespath,1.6.2,1428846385,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/jmespath/1.6.2,,,,,https://github.com/trevorrowe/jmespath.rb,,https://github.com/trevorrowe/jmespath.rb/wiki,,http://github.com/trevorrowe/jmespath.rb,,https://rubygems.org/gems/jmespath,7.0
aws-eventstream,1.4.0,1346700829,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-eventstream,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-eventstream/CHANGELOG.md,https://rubygems.org/gems/aws-eventstream,25.0
aws-sdk-s3,1.229.0,1092149547,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-s3,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-s3/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-s3,47.2
aws-sdk-kms,1.130.0,1057101340,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-kms,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-kms/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-kms,65.2
parser,3.3.12.0,828189139,tool-generated; github wiki; homepage,4,,https://www.rubydoc.info/gems/parser/3.3.12.0,,,,,https://github.com/whitequark/parser,,https://github.com/whitequark/parser/wiki,,https://github.com/whitequark/parser,https://github.com/whitequark/parser/blob/v3.3.12.0/CHANGELOG.md,https://rubygems.org/gems/parser,1.8
regexp_parser,2.12.0,655109800,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/regexp_parser,,,,,https://github.com/ammar/regexp_parser,,https://github.com/ammar/regexp_parser/wiki,,https://github.com/ammar/regexp_parser,https://github.com/ammar/regexp_parser/blob/master/CHANGELOG.md,https://rubygems.org/gems/regexp_parser,6.9
bigdecimal,4.1.2,481790161,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/bigdecimal,,,,,https://github.com/ruby/bigdecimal,,https://github.com/ruby/bigdecimal/wiki,,https://github.com/ruby/bigdecimal,https://github.com/ruby/bigdecimal/blob/master/CHANGES.md,https://rubygems.org/gems/bigdecimal,54.3
aws-sdk-sqs,1.117.0,341742660,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-sqs,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sqs/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-sqs,61.8
aws-sdk-ssm,1.220.0,276520107,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-ssm,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ssm/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-ssm,67.2
aws-sdk-ec2,1.644.0,261212916,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-ec2,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ec2/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-ec2,94.1
drb,2.2.3,260254066,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/drb,,,,,https://github.com/ruby/drb,,https://github.com/ruby/drb/wiki,,https://github.com/ruby/drb,https://github.com/ruby/drb/releases/tag/v2.2.3,https://rubygems.org/gems/drb,40.4
htmlentities,4.4.2,239656514,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/htmlentities/4.4.2,,,,,https://github.com/threedaymonk/htmlentities,,https://github.com/threedaymonk/htmlentities/wiki,,https://github.com/threedaymonk/htmlentities,,https://rubygems.org/gems/htmlentities,13.0
aws-sdk-kinesis,1.106.0,221000792,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-kinesis,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-kinesis/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-kinesis,44.2
aws-sdk-dynamodb,1.172.0,208775481,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-dynamodb,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-dynamodb/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-dynamodb,55.2
grpc,1.83.1,204314754,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/grpc/1.83.0,,,,,https://github.com/google/grpc,,https://github.com/google/grpc/wiki,,https://github.com/google/grpc/tree/master/src/ruby,,https://rubygems.org/gems/grpc,43.6
lograge,0.15.0,197935385,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/lograge,,,,,https://github.com/roidrage/lograge,,https://github.com/roidrage/lograge/wiki,,https://github.com/roidrage/lograge,https://github.com/roidrage/lograge/blob/master/CHANGELOG.md,https://rubygems.org/gems/lograge,1.1
css_parser,3.0.0,179212798,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/css_parser,,,,,https://github.com/alexdunae/css_parser,,https://github.com/alexdunae/css_parser/wiki,,https://github.com/premailer/css_parser,https://github.com/premailer/css_parser/blob/master/CHANGELOG.md,https://rubygems.org/gems/css_parser,68.1
xml-simple,1.1.9,176463034,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/xml-simple/1.1.9,,,,,https://github.com/maik/xml-simple,,https://github.com/maik/xml-simple/wiki,,https://github.com/maik/xml-simple,,https://rubygems.org/gems/xml-simple,97.5
matrix,0.4.3,173681256,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/matrix/0.4.3,,,,,https://github.com/ruby/matrix,,https://github.com/ruby/matrix/wiki,,https://github.com/ruby/matrix,,https://rubygems.org/gems/matrix,71.0
aws-sdk-sns,1.118.0,173518383,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-sns,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sns/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-sns,69.1
kramdown-parser-gfm,1.1.0,170505400,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/kramdown-parser-gfm/1.1.0,,,,,https://github.com/kramdown/parser-gfm,,https://github.com/kramdown/parser-gfm/wiki,,https://github.com/kramdown/parser-gfm,,https://rubygems.org/gems/kramdown-parser-gfm,33.3
aws-sdk-cloudformation,1.157.0,167891762,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-cloudformation,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudformation/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-cloudformation,79.3
aws-sdk-lambda,1.194.0,167688971,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-lambda,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lambda/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-lambda,73.0
aws-sdk-secretsmanager,1.134.0,167343450,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-secretsmanager,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-secretsmanager/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-secretsmanager,65.6
aws-sdk-cloudwatch,1.146.0,166678152,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-cloudwatch,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudwatch/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-cloudwatch,81.4
rchardet,1.10.2,161020150,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/rchardet/1.10.2,,,,,https://github.com/jmhodges/rchardet,,https://github.com/jmhodges/rchardet/wiki,,https://github.com/jmhodges/rchardet,,https://rubygems.org/gems/rchardet,1.7
aws-sdk-iam,1.152.0,151436948,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-iam,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iam/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-iam,88.1
aws-sdk-ecr,1.132.0,145611463,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-ecr,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ecr/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-ecr,66.9
paper_trail,17.0.0,145194929,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/paper_trail,,,,,https://github.com/airblade/paper_trail,,https://github.com/airblade/paper_trail/wiki,,https://github.com/paper-trail-gem/paper_trail,https://github.com/paper-trail-gem/paper_trail/blob/master/CHANGELOG.md,https://rubygems.org/gems/paper_trail,67.8
aws-sdk-cloudwatchlogs,1.162.0,143431321,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-cloudwatchlogs,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudwatchlogs/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-cloudwatchlogs,73.2
slack-notifier,2.4.0,139435781,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/slack-notifier/2.4.0,,,,,https://github.com/stevenosloan/slack-notifier,,https://github.com/stevenosloan/slack-notifier/wiki,,http://github.com/stevenosloan/slack-notifier,,https://rubygems.org/gems/slack-notifier,5.1
jaro_winkler,1.7.0,137638100,tool-generated; github wiki; homepage,4,,https://www.rubydoc.info/gems/jaro_winkler/1.7.0,,,,,https://github.com/tonytonyjan/jaro_winkler,,https://github.com/tonytonyjan/jaro_winkler/wiki,,https://github.com/tonytonyjan/jaro_winkler,https://github.com/tonytonyjan/jaro_winkler/blob/v1.7.0/CHANGELOG.md,https://rubygems.org/gems/jaro_winkler,0.0
aws-sdk-route53,1.137.0,137511734,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-route53,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-route53/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-route53,64.2
pp,0.6.4,131012006,tool-generated; github wiki; homepage,3,,https://rubydoc.info/gems/pp,,,,,https://github.com/ruby/pp,,https://github.com/ruby/pp/wiki,,https://github.com/ruby/pp,,https://rubygems.org/gems/pp,42.2
countries,8.1.0,130269882,tool-generated; github wiki; homepage,4,,https://rubydoc.info/gems/countries,,,,,https://github.com/hexorx/countries,,https://github.com/hexorx/countries/wiki,,https://github.com/countries/countries,https://github.com/countries/countries/blob/master/CHANGELOG.md,https://rubygems.org/gems/countries,41.2
aws-sdk-ses,1.102.0,129879364,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-ses,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ses/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-ses,70.6
aws-sdk-firehose,1.112.0,127304152,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-firehose,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-firehose/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-firehose,61.4
aws-sdk-elasticloadbalancing,1.92.0,125818294,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-elasticloadbalancing,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-elasticloadbalancing/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-elasticloadbalancing,52.7
aws-sdk-rds,1.321.0,120083591,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-rds,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-rds/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-rds,82.1
aws-sdk-cloudfront,1.152.0,119411805,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-cloudfront,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudfront/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-cloudfront,66.2
artifactory,3.0.17,115903593,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/artifactory/3.0.17,,,,,https://github.com/opscode/artifactory-client,,https://github.com/opscode/artifactory-client/wiki,,https://github.com/chef/artifactory-client,,https://rubygems.org/gems/artifactory,83.0
aws-sdk-states,1.111.0,114151163,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-states,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-states/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-states,65.3
aws-sdk-cloudwatchevents,1.108.0,112919770,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-cloudwatchevents,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudwatchevents/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-cloudwatchevents,73.7
aws-sdk-codecommit,1.103.0,112719338,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-codecommit,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-codecommit/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-codecommit,29.9
aws-sdk-autoscaling,1.166.0,111970074,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-autoscaling,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-autoscaling/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-autoscaling,88.3
