gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
bundler,4.0.20,3670861388,https://bundler.io/,rubygems:project_site,22.6,658.0,2908.0,True,0,,,False,,,,,,https://bundler.io/,https://github.com/ruby/rubygems/blob/master/CHANGELOG-bundler.md,,https://github.com/bundler/bundler
aws-sdk-core,3.254.1,1735534533,https://rubydoc.info/gems/aws-sdk-core,rubygems:generated_from_comments,29.8,537.0,1802.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sigv4,1.12.1,1542666286,https://rubydoc.info/gems/aws-sigv4,rubygems:generated_from_comments,40.7,24.0,59.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv4/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-partitions,1.1283.0,1503401650,https://rubydoc.info/gems/aws-partitions,rubygems:generated_from_comments,46.3,31.0,67.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
jmespath,1.6.2,1428846385,https://www.rubydoc.info/gems/jmespath/1.6.2,rubygems:generated_from_comments,7.0,13.0,185.0,False,0,https://www.rubydoc.info/gems/jmespath/1.6.2,rubydoc.info,True,,,,,,http://github.com/trevorrowe/jmespath.rb,,,https://github.com/trevorrowe/jmespath.rb
i18n,1.15.2,1415699447,https://guides.rubyonrails.org/i18n.html,rubygems:custom_doc_site,29.7,85.0,286.0,True,0,https://guides.rubyonrails.org/i18n.html,guides.rubyonrails.org,False,,,,,,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n/releases,,https://github.com/svenfuchs/i18n
activesupport,8.1.3,1412649969,https://api.rubyonrails.org/v8.1.3.1/,rubygems:custom_doc_site,36.6,771.0,2106.0,True,0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,,,,,,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activesupport/CHANGELOG.md,,https://github.com/rails/rails
rake,13.4.2,1395357068,https://ruby.github.io/rake,rubygems:custom_doc_site,59.0,190.0,322.0,True,12,https://ruby.github.io/rake,ruby.github.io,False,,,,,,https://github.com/ruby/rake,https://github.com/ruby/rake/releases,,https://github.com/ruby/rake
json,3.0.0,1355755833,https://docs.ruby-lang.org/en/master/JSON.html,rubygems:custom_doc_site,42.5,31.0,73.0,True,0,https://docs.ruby-lang.org/en/master/JSON.html,docs.ruby-lang.org,False,,,,,,https://github.com/ruby/json,https://github.com/ruby/json/blob/master/CHANGES.md,,https://github.com/ruby/json
concurrent-ruby,1.3.8,1350894115,http://www.concurrent-ruby.com,rubygems:project_site,57.9,624.0,1078.0,True,0,,,False,,,,,,http://www.concurrent-ruby.com,https://github.com/ruby-concurrency/concurrent-ruby/blob/master/CHANGELOG.md,,https://github.com/ruby-concurrency/concurrent-ruby
