gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
i18n,1.15.2,1415699447,https://guides.rubyonrails.org/i18n.html,rubygems:custom_doc_site,29.7,85.0,286.0,True,0,https://guides.rubyonrails.org/i18n.html,guides.rubyonrails.org,False,,,,,,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n/releases,,https://github.com/svenfuchs/i18n
activesupport,8.1.3,1412649969,https://api.rubyonrails.org/v8.1.3.1/,rubygems:custom_doc_site,36.6,771.0,2106.0,True,0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,,,,,,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activesupport/CHANGELOG.md,,https://github.com/rails/rails
rake,13.4.2,1395357068,https://ruby.github.io/rake,rubygems:custom_doc_site,59.0,190.0,322.0,True,12,https://ruby.github.io/rake,ruby.github.io,False,,,,,,https://github.com/ruby/rake,https://github.com/ruby/rake/releases,,https://github.com/ruby/rake
json,3.0.0,1355755833,https://docs.ruby-lang.org/en/master/JSON.html,rubygems:custom_doc_site,42.5,31.0,73.0,True,0,https://docs.ruby-lang.org/en/master/JSON.html,docs.ruby-lang.org,False,,,,,,https://github.com/ruby/json,https://github.com/ruby/json/blob/master/CHANGES.md,,https://github.com/ruby/json
minitest,6.0.6,1281474403,https://docs.seattlerb.org/minitest,rubygems:custom_doc_site,0.3,1.0,313.0,True,0,https://docs.seattlerb.org/minitest,docs.seattlerb.org,False,,,,,,https://minite.st/,https://github.com/minitest/minitest/blob/master/History.rdoc,,https://github.com/minitest/minitest
nokogiri,1.19.4,1249776487,https://nokogiri.org/rdoc/index.html,rubygems:custom_doc_site,46.8,245.0,523.0,True,0,https://nokogiri.org/rdoc/index.html,nokogiri.org,False,,,,,,https://nokogiri.org,https://nokogiri.org/CHANGELOG.html,,https://github.com/sparklemotion/nokogiri
diff-lcs,2.0.0,1218933223,https://halostatue.github.io/diff-lcs/,rubygems:custom_doc_site,37.4,34.0,91.0,True,0,https://halostatue.github.io/diff-lcs/,halostatue.github.io,False,,,,,,https://github.com/halostatue/diff-lcs,https://github.com/halostatue/diff-lcs/blob/main/CHANGELOG.md,,https://github.com/halostatue/diff-lcs
rspec-core,3.13.6,1187996415,https://rspec.info/documentation/,rubygems:custom_doc_site,37.2,396.0,1064.0,True,0,https://rspec.info/documentation/,rspec.info,False,,,,,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-core-v3.13.6/rspec-core/Changelog.md,,https://github.com/rspec/rspec-core
rspec-expectations,3.13.5,1187518803,https://rspec.info/documentation/,rubygems:custom_doc_site,42.8,323.0,755.0,True,0,https://rspec.info/documentation/,rspec.info,False,,,,,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-expectations-v3.13.5/rspec-expectations/Changelog.md,,https://github.com/rspec/rspec-expectations
rspec-mocks,3.13.8,1182198478,https://rspec.info/documentation/,rubygems:custom_doc_site,32.8,230.0,702.0,True,0,https://rspec.info/documentation/,rspec.info,False,,,,,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-mocks-v3.13.8/rspec-mocks/Changelog.md,,https://github.com/rspec/rspec-mocks
rspec-support,3.13.7,1174568773,https://rspec.info/documentation/,rubygems:custom_doc_site,11.8,31.0,262.0,True,0,https://rspec.info/documentation/,rspec.info,False,,,,,,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-support-v3.13.7/rspec-support/Changelog.md,,https://github.com/rspec/rspec
thor,1.5.0,1137357482,https://github.com/rails/thor/wiki,rubygems:custom_doc_site,48.0,212.0,442.0,True,0,https://github.com/rails/thor/wiki,github.com,False,,,,,,https://github.com/rails/thor,https://github.com/rails/thor/releases/tag/v1.5.0,,https://github.com/wycats/thor
rspec,3.13.2,1011146338,https://rspec.info/documentation/,rubygems:custom_doc_site,,0.0,0.0,True,0,https://rspec.info/documentation/,rspec.info,False,,,,,,https://rspec.info,,,https://github.com/rspec/rspec
