gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
aws-sdk,3.3.0,383208381,https://aws.amazon.com/sdk-for-ruby/,github:homepage,,0.0,0.0,False,0,,,False,,,False,False,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-resources,3.271.0,366023383,https://aws.amazon.com/sdk-for-ruby/,github:homepage,0.0,0.0,4.0,False,0,,,False,,,False,False,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-resources/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
database_cleaner,2.1.0,216582911,https://www.rubydoc.info/github/DatabaseCleaner/database_cleaner,github:pages,,0.0,0.0,False,0,,,False,,,False,True,https://www.rubydoc.info/github/DatabaseCleaner/database_cleaner,https://github.com/DatabaseCleaner/database_cleaner,https://github.com/DatabaseCleaner/database_cleaner/blob/master/History.rdoc,,https://github.com/databasecleaner/database_cleaner
jaro_winkler,1.7.0,137638100,https://github.com/tonytonyjan/jaro_winkler/wiki,github:wiki,0.0,0.0,7.0,False,0,https://www.rubydoc.info/gems/jaro_winkler/1.7.0,rubydoc.info,True,,,True,False,,https://github.com/tonytonyjan/jaro_winkler,https://github.com/tonytonyjan/jaro_winkler/blob/v1.7.0/CHANGELOG.md,,https://github.com/tonytonyjan/jaro_winkler
ssrf_filter,1.5.0,98745580,https://rubygems.org/gems/ssrf_filter,github:homepage,0.0,0.0,8.0,False,0,,,False,,,False,False,https://rubygems.org/gems/ssrf_filter,https://github.com/arkadiyt/ssrf_filter,https://github.com/arkadiyt/ssrf_filter/blob/main/CHANGELOG.md,,https://github.com/arkadiyt/ssrf_filter
wkhtmltopdf-binary,0.12.6.3,70787593,https://rubygems.org/gems/wkhtmltopdf-binary,github:homepage,,,,False,0,,,False,,,False,False,https://rubygems.org/gems/wkhtmltopdf-binary,https://github.com/zakird/wkhtmltopdf_binary_gem,https://github.com/zakird/wkhtmltopdf_binary_gem/blob/master/CHANGELOG.md,,https://github.com/zakird/wkhtmltopdf_binary_gem
murmurhash3,0.1.7,58873013,https://github.com/funny-falcon/murmurhash3-ruby/wiki,github:wiki,0.0,0.0,21.0,False,0,https://www.rubydoc.info/gems/murmurhash3/0.1.7,rubydoc.info,True,,,True,False,,https://github.com/funny-falcon/murmurhash3-ruby,,,https://github.com/funny-falcon/murmurhash3-ruby
babel-source,5.8.35,54543826,https://github.com/babel/ruby-babel-transpiler,github:homepage,,0.0,0.0,False,0,https://www.rubydoc.info/gems/babel-source/5.8.35,rubydoc.info,True,,,False,False,https://github.com/babel/ruby-babel-transpiler,https://github.com/babel/ruby-babel-transpiler,,,https://github.com/babel/ruby-babel-transpiler
babel-transpiler,0.7.0,53483099,https://github.com/babel/ruby-babel-transpiler,github:homepage,0.0,0.0,6.0,False,0,https://www.rubydoc.info/gems/babel-transpiler/0.7.0,rubydoc.info,True,,,False,False,https://github.com/babel/ruby-babel-transpiler,https://github.com/babel/ruby-babel-transpiler,,,https://github.com/babel/ruby-babel-transpiler
better_html,2.2.0,50271916,https://github.com/shopify/better-html/wiki,github:wiki,0.0,0.0,194.0,False,0,,,False,,,True,False,,https://github.com/Shopify/better-html,https://github.com/Shopify/better-html/releases,,https://github.com/shopify/better-html
