gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
libyajl2,2.1.0,54577199,,none_found,0.0,0.0,8.0,False,0,https://www.rubydoc.info/gems/libyajl2/2.1.0,rubydoc.info,True,,,0.0,0.0,,https://github.com/chef/libyajl2-gem,,,https://github.com/chef/libyajl2-gem
wmi-lite,1.0.7,53811100,,none_found,0.0,0.0,16.0,False,0,https://www.rubydoc.info/gems/wmi-lite/1.0.7,rubydoc.info,True,,,0.0,0.0,,https://github.com/chef/wmi-lite,,,https://github.com/chef/wmi-lite
version_sorter,2.3.0,38111066,,none_found,,0.0,0.0,False,0,https://www.rubydoc.info/gems/version_sorter/2.3.0,rubydoc.info,True,,,0.0,0.0,,https://github.com/github/version_sorter#readme,,,https://github.com/defunkt/version_sorter
zip-zip,0.3,36919061,,none_found,0.0,0.0,3.0,False,0,https://www.rubydoc.info/gems/zip-zip/0.3,rubydoc.info,True,,,0.0,0.0,,https://github.com/orien/zip-zip,,,https://github.com/orien/zip-zip
forwardable-extended,2.6.0,30959051,,none_found,0.0,0.0,9.0,False,0,https://www.rubydoc.info/gems/forwardable-extended/2.6.0,rubydoc.info,True,,,0.0,0.0,,http://github.com/envygeeks/forwardable-extended,,,https://github.com/envygeeks/forwardable-extended
spamcheck,1.3.3,30171964,,none_found,,0.0,0.0,False,0,https://www.rubydoc.info/gems/spamcheck/1.3.3,rubydoc.info,True,,,,,,https://gitlab.com/gitlab-org/gl-security/security-engineering/security-automation/spam/spamcheck,,,
cucumber-ci-environment,15.0.0,28202383,,none_found,0.0,0.0,7.0,False,0,,,False,,,0.0,0.0,,https://github.com/cucumber/ci-environment,https://github.com/cucumber/ci-environment/blob/main/CHANGELOG.md,,https://github.com/cucumber/ci-environment
spoon,0.0.6,26458006,,none_found,0.0,0.0,23.0,False,0,https://www.rubydoc.info/gems/spoon/0.0.6,rubydoc.info,True,,,,,,,,,
simplecov-json,0.2.3,23780122,,none_found,0.0,0.0,5.0,False,0,,,False,,,0.0,0.0,,https://github.com/vicentllongo/simplecov-json,,,https://github.com/vicentllongo/simplecov-json
devfile,0.5.5,21647233,,none_found,,,,False,0,,,False,,,,,,https://gitlab.com,,,
kas-grpc,0.6.0,17984192,,none_found,,0.0,0.0,False,0,https://www.rubydoc.info/gems/kas-grpc/0.6.0,rubydoc.info,True,,,,,,https://gitlab.com/gitlab-org/cluster-integration/gitlab-agent,,,
archive-tar-minitar,0.12,9834007,,none_found,,0.0,0.0,False,0,,,False,,,0.0,1.0,,https://github.com/halostatue/minitar/,,,https://github.com/halostatue/minitar
goldiloader,6.0.0,9617831,,none_found,0.0,0.0,51.0,False,0,,,False,,,0.0,0.0,,https://github.com/salsify/goldiloader,https://github.com/salsify/goldiloader/blob/master/CHANGELOG.md,,https://github.com/salsify/goldiloader
jekyll-coffeescript,2.0.0,8167541,,none_found,0.0,0.0,4.0,False,0,https://www.rubydoc.info/gems/jekyll-coffeescript/2.0.0,rubydoc.info,True,,,0.0,0.0,,https://github.com/jekyll/jekyll-coffeescript,,,https://github.com/jekyll/jekyll-coffeescript
paypalhttp,2.0.1,4902857,,none_found,0.0,0.0,37.0,False,0,https://www.rubydoc.info/gems/paypalhttp/2.0.1,rubydoc.info,True,,,,,,,,,
discourse-fonts,0.0.19,714148,,none_found,0.0,0.0,2.0,False,0,https://www.rubydoc.info/gems/discourse-fonts/0.0.19,rubydoc.info,True,,,0.0,0.0,,https://github.com/discourse/discourse-fonts,,,https://github.com/discourse/discourse-fonts
discourse-emojis,1.0.46,405740,,none_found,,,,False,0,https://www.rubydoc.info/gems/discourse-emojis/1.0.46,rubydoc.info,True,,,0.0,0.0,,https://github.com/discourse/discourse-emojis,,,https://github.com/discourse/discourse-emojis
rubysl,2.2.0,350280,,none_found,,0.0,0.0,False,0,https://www.rubydoc.info/gems/rubysl/2.2.0,rubydoc.info,True,,,,,,http://rubysl.github.com,,,
stormbreaker,1.0.0,145046,,none_found,0.0,0.0,43.0,False,0,https://www.rubydoc.info/gems/stormbreaker/1.0.0,rubydoc.info,True,,,,,,,,,
discourse_math_bundle,1.0.1,60357,,none_found,0.0,0.0,7.0,False,0,,,False,,,0.0,0.0,,https://github.com/discourse/discourse_math_bundle,https://github.com/discourse/discourse_math_bundle/blob/main/CHANGELOG.md,,https://github.com/discourse/discourse_math_bundle
gitlab-orbit-proto,0.118.2,25513,,none_found,,0.0,0.0,False,0,,,False,,,,,,https://gitlab.com/gitlab-org/orbit/knowledge-graph,,,
