rank,name,downloads,cumulative_downloads,cumulative_share_pct
1,bundler,3670861388,3670861388,1.3924
2,aws-sdk-core,1735534533,5406395921,2.0508
3,aws-sigv4,1542666286,6949062207,2.6359
4,aws-partitions,1503401650,8452463857,3.2062
5,jmespath,1428846385,9881310242,3.7482
6,i18n,1415699447,11297009689,4.2852
7,activesupport,1412649969,12709659658,4.8211
8,rake,1395357068,14105016726,5.3503
9,json,1355755833,15460772559,5.8646
10,concurrent-ruby,1350894115,16811666674,6.377
11,aws-eventstream,1346700829,18158367503,6.8879
12,rack,1332332606,19490700109,7.3933
13,tzinfo,1302574308,20793274417,7.8873
14,minitest,1281474403,22074748820,8.3734
15,nokogiri,1249776487,23324525307,8.8475
16,addressable,1248517381,24573042688,9.3211
17,faraday,1241469867,25814512555,9.792
18,public_suffix,1220136610,27034649165,10.2548
19,diff-lcs,1218933223,28253582388,10.7172
20,rspec-core,1187996415,29441578803,11.1678
21,rspec-expectations,1187518803,30629097606,11.6183
22,rspec-mocks,1182198478,31811296084,12.0667
23,rspec-support,1174568773,32985864857,12.5123
24,multi_json,1150569936,34136434793,12.9487
25,thor,1137357482,35273792275,13.3801
26,aws-sdk-s3,1092149547,36365941822,13.7944
27,ffi,1073180440,37439122262,14.2015
28,aws-sdk-kms,1057101340,38496223602,14.6025
29,rspec,1011146338,39507369940,14.986
30,unicode-display_width,968488522,40475858462,15.3534
31,mime-types,923099952,41398958414,15.7035
32,builder,920491109,42319449523,16.0527
33,multipart-post,915576435,43235025958,16.4
34,activemodel,882549386,44117575344,16.7348
35,mini_mime,870447435,44988022779,17.0649
36,parser,828189139,45816211918,17.3791
37,activerecord,827451393,46643663311,17.693
38,actionpack,815491897,47459155208,18.0023
39,parallel,811681714,48270836922,18.3102
40,rexml,810871125,49081708047,18.6178
41,rack-test,803290815,49884998862,18.9225
42,jwt,801609851,50686608713,19.2265
43,tilt,785021188,51471629901,19.5243
44,ast,783778184,52255408085,19.8216
45,rails,779205830,53034613915,20.1172
46,railties,777205380,53811819295,20.412
47,rubyzip,777092084,54588911379,20.7068
48,method_source,767938956,55356850335,20.9981
49,actionview,766268811,56123119146,21.2887
50,actionmailer,763842759,56886961905,21.5785
51,mail,754842068,57641803973,21.8648
52,rainbow,739818942,58381622915,22.1454
53,mime-types-data,737435701,59119058616,22.4252
54,faraday-net_http,736329487,59855388103,22.7045
55,loofah,736109102,60591497205,22.9837
56,ruby-progressbar,735115064,61326612269,23.2625
57,rubocop,734707853,62061320122,23.5412
58,racc,723234494,62784554616,23.8156
59,connection_pool,714121393,63498676009,24.0864
60,excon,699638385,64198314394,24.3518
61,rails-html-sanitizer,696248028,64894562422,24.6159
62,activejob,696010000,65590572422,24.8799
63,zeitwerk,687602871,66278175293,25.1408
64,nio4r,680201465,66958376758,25.3988
65,http-cookie,675660712,67634037470,25.6551
66,rails-dom-testing,673995535,68308033005,25.9107
67,domain_name,665154305,68973187310,26.163
68,regexp_parser,655109800,69628297110,26.4115
69,globalid,655044043,70283341153,26.66
70,websocket-driver,635011192,70918352345,26.9009
71,coderay,633559883,71551912228,27.1412
72,pry,627158033,72179070261,27.3791
73,erubi,619847466,72798917727,27.6142
74,rubygems-update,617390717,73416308444,27.8484
75,sprockets,616732053,74033040497,28.0824
76,thread_safe,609501804,74642542301,28.3136
77,mini_portile2,609044561,75251586862,28.5446
78,crass,605460118,75857046980,28.7742
79,puma,595931815,76452978795,29.0003
80,actioncable,594202807,77047181602,29.2257
81,multi_xml,593822457,77641004059,29.4509
82,websocket-extensions,584271328,78225275387,29.6726
83,redis,577344114,78802619501,29.8916
84,sprockets-rails,558004953,79360624454,30.1032
85,netrc,553938345,79914562799,30.3133
86,rubocop-ast,552455088,80467017887,30.5229
87,dotenv,538308437,81005326324,30.7271
88,unf_ext,537189212,81542515536,30.9309
89,activestorage,530725185,82073240721,31.1322
90,httpclient,530384545,82603625266,31.3334
91,rack-protection,512153202,83115778468,31.5276
92,msgpack,509308157,83625086625,31.7208
93,rb-fsevent,507981985,84133068610,31.9135
94,unf,506723919,84639792529,32.1057
95,base64,503292110,85143084639,32.2966
96,googleauth,501950178,85645034817,32.487
97,docile,496511855,86141546672,32.6754
98,simplecov,493862671,86635409343,32.8627
99,signet,491573212,87126982555,33.0492
100,simplecov-html,487665330,87614647885,33.2342
101,rb-inotify,486777759,88101425644,33.4188
102,ruby2_keywords,483280267,88584705911,33.6021
103,bigdecimal,481790161,89066496072,33.7849
104,rest-client,481478550,89547974622,33.9675
105,hashie,479165143,90027139765,34.1493
106,marcel,476837726,90503977491,34.3301
107,httparty,476464045,90980441536,34.5109
108,byebug,475212268,91455653804,34.6911
109,webrick,468861923,91924515727,34.869
110,pg,465126164,92389641891,35.0454
111,os,461926178,92851568069,35.2206
112,faraday_middleware,460138840,93311706909,35.3952
113,google-protobuf,446985529,93758692438,35.5647
114,actiontext,436348849,94195041287,35.7302
115,actionmailbox,436176913,94631218200,35.8957
116,hashdiff,420647674,95051865874,36.0553
117,webmock,417492500,95469358374,36.2136
118,terminal-table,412403595,95881761969,36.3701
119,execjs,411937580,96293699549,36.5263
120,bcrypt,408763964,96702463513,36.6814
121,crack,408033397,97110496910,36.8361
122,faraday-retry,404156360,97514653270,36.9894
123,rspec-rails,403443148,97918096418,37.1425
124,logger,399224543,98317320961,37.2939
125,retriable,398945499,98716266460,37.4452
126,sawyer,396792426,99113058886,37.5958
127,listen,396407401,99509466287,37.7461
128,faraday-excon,393793312,99903259599,37.8955
129,faraday-net_http_persistent,389854634,100293114233,38.0434
130,octokit,389392733,100682506966,38.1911
131,faraday-multipart,389326082,101071833048,38.3388
132,aws-sdk,383208381,101455041429,38.4841
133,net-ssh,381119067,101836160496,38.6287
134,knapsack,379678028,102215838524,38.7727
135,representable,375198093,102591036617,38.915
136,mini_magick,371325238,102962361855,39.0559
137,bootsnap,369450370,103331812225,39.196
138,net-imap,368829984,103700642209,39.3359
139,uber,368675607,104069317816,39.4758
140,aws-sdk-resources,366023383,104435341199,39.6146
141,sass,365189059,104800530258,39.7531
142,declarative,360985975,105161516233,39.8901
143,faraday-em_synchrony,357249224,105518765457,40.0256
144,capybara,354718067,105873483524,40.1601
145,sinatra,353765751,106227249275,40.2943
146,selenium-webdriver,353688503,106580937778,40.4285
147,timeout,351482312,106932420090,40.5618
148,factory_bot,349202234,107281622324,40.6943
149,request_store,347835052,107629457376,40.8262
150,faraday-em_http,346168207,107975625583,40.9575
151,aws-sdk-sqs,341742660,108317368243,41.0872
152,faker,338413299,108655781542,41.2155
153,xpath,336849107,108992630649,41.3433
154,rdoc,336704129,109329334778,41.471
155,highline,335740032,109665074810,41.5984
156,faraday-httpclient,334123586,109999198396,41.7251
157,sidekiq,332028509,110331226905,41.8511
158,google-cloud-env,331290096,110662517001,41.9767
159,responders,330964796,110993481797,42.1023
160,faraday-patron,330607291,111324089088,42.2277
161,arel,329529292,111653618380,42.3527
162,eventmachine,329492472,111983110852,42.4777
163,faraday-rack,324208034,112307318886,42.6006
164,rubocop-performance,321199710,112628518596,42.7225
165,memoist,320277638,112948796234,42.844
166,net-smtp,320022773,113268819007,42.9654
167,rouge,319732219,113588551226,43.0866
168,daemons,315450885,113904002111,43.2063
169,jquery-rails,309044968,114213047079,43.3235
170,jbuilder,308885862,114521932941,43.4407
171,digest-crc,306512006,114828444947,43.557
172,childprocess,306348991,115134793938,43.6732
173,warden,303230030,115438023968,43.7882
174,oj,302456970,115740480938,43.9029
175,rubocop-rails,301258033,116041738971,44.0172
176,erubis,300263403,116342002374,44.1311
177,launchy,296504969,116638507343,44.2435
178,uglifier,293446267,116931953610,44.3549
179,date,293328201,117225281811,44.4661
180,ethon,293222792,117518504603,44.5773
181,sass-rails,293027871,117811532474,44.6885
182,devise,292438114,118103970588,44.7994
183,mustermann,291677604,118395648192,44.9101
184,rubocop-rspec,290638447,118686286639,45.0203
185,factory_bot_rails,289486391,118975773030,45.1301
186,net-protocol,288814983,119264588013,45.2397
187,language_server-protocol,286380093,119550968106,45.3483
188,typhoeus,285595359,119836563465,45.4566
189,awesome_print,285526299,120122089764,45.5649
190,pry-byebug,284761605,120406851369,45.673
191,orm_adapter,283168637,120690020006,45.7804
192,formatador,280543071,120970563077,45.8868
193,google-apis-core,280026305,121250589382,45.993
194,google-cloud-core,278167727,121528757109,46.0985
195,aws-sdk-ssm,276520107,121805277216,46.2034
196,http-accept,274809149,122080086365,46.3077
197,oauth2,273444936,122353531301,46.4114
198,rack-cors,271297599,122624828900,46.5143
199,shoulda-matchers,270007865,122894836765,46.6167
200,timecop,269857712,123164694477,46.7191
201,rspec_junit_formatter,269445516,123434139993,46.8213
202,kaminari,269174084,123703314077,46.9234
203,simplecov_json_formatter,267572933,123970887010,47.0249
204,CFPropertyList,266452910,124237339920,47.126
205,coffee-script-source,264795892,124502135812,47.2264
206,google-cloud-errors,264528496,124766664308,47.3267
207,aws-sdk-ec2,261212916,125027877224,47.4258
208,drb,260254066,125288131290,47.5245
209,spring,257199552,125545330842,47.6221
210,coffee-script,255899896,125801230738,47.7192
211,trailblazer-option,250899606,126052130344,47.8143
212,temple,249518913,126301649257,47.909
213,kramdown,249408655,126551057912,48.0036
214,net-ntp,249168218,126800226130,48.0981
215,claide,248619897,127048846027,48.1924
216,reline,243087624,127291933651,48.2846
217,colored2,241610501,127533544152,48.3763
218,mysql2,240433290,127773977442,48.4675
219,uri,239996610,128013974052,48.5585
220,dry-core,239959618,128253933670,48.6495
221,htmlentities,239656514,128493590184,48.7404
222,net-pop,238041197,128731631381,48.8307
223,psych,237958602,128969589983,48.921
224,tty-screen,237438686,129207028669,49.0111
225,kaminari-core,236615737,129443644406,49.1008
226,google-cloud-storage,235748336,129679392742,49.1902
227,coffee-rails,235309126,129914701868,49.2795
228,irb,234425178,130149127046,49.3684
229,kaminari-activerecord,232312526,130381439572,49.4565
230,yard,232228652,130613668224,49.5446
231,kaminari-actionview,231823631,130845491855,49.6326
232,brakeman,230162174,131075654029,49.7199
233,dry-inflector,229568242,131305222271,49.807
234,net-scp,229164441,131534386712,49.8939
235,pry-rails,227395164,131761781876,49.9801
236,tty-cursor,227238282,131989020158,50.0663
237,io-console,226078357,132215098515,50.1521
238,benchmark,224986490,132440085005,50.2374
239,googleapis-common-protos-types,224015244,132664100249,50.3224
240,securerandom,223146455,132887246704,50.4071
241,et-orbi,221840850,133109087554,50.4912
242,omniauth,221473069,133330560623,50.5752
243,aws-sdk-kinesis,221000792,133551561415,50.659
244,xcodeproj,220587476,133772148891,50.7427
245,dry-types,217196187,133989345078,50.8251
246,database_cleaner,216582911,134205927989,50.9073
247,dry-logic,216330274,134422258263,50.9893
248,elasticsearch-api,215048322,134637306585,51.0709
249,elasticsearch,214005956,134851312541,51.1521
250,safe_yaml,213179730,135064492271,51.2329
251,http,211562950,135276055221,51.3132
252,plist,210469231,135486524452,51.393
253,redis-namespace,210318282,135696842734,51.4728
254,fugit,210105571,135906948305,51.5525
255,fastlane,209217624,136116165929,51.6319
256,aws-sdk-dynamodb,208775481,136324941410,51.711
257,sassc,208591302,136533532712,51.7902
258,thin,208174185,136741706897,51.8691
259,fastimage,207811112,136949518009,51.948
260,ice_nine,206865733,137156383742,52.0264
261,net-http-persistent,206468314,137362852056,52.1047
262,chunky_png,205566811,137568418867,52.1827
263,git,205258215,137773677082,52.2606
264,grpc,204314754,137977991836,52.3381
265,haml,204196085,138182187921,52.4155
266,http-form_data,203539480,138385727401,52.4927
267,debug_inspector,202515120,138588242521,52.5696
268,websocket,202384926,138790627447,52.6463
269,dotenv-rails,202240900,138992868347,52.723
270,google-apis-storage_v1,201940791,139194809138,52.7996
271,timers,201860739,139396669877,52.8762
272,raabro,201688114,139598357991,52.9527
273,graphql,200662105,139799020096,53.0288
274,mutex_m,197976720,139996996816,53.1039
275,lograge,197935385,140194932201,53.179
276,binding_of_caller,197457832,140392390033,53.2539
277,rails-controller-testing,196842561,140589232594,53.3286
278,google-apis-iamcredentials_v1,196181247,140785413841,53.403
279,rack-session,194804052,140980217893,53.4769
280,fog-core,194466687,141174684580,53.5507
281,sqlite3,192591321,141367275901,53.6237
282,mimemagic,192279704,141559555605,53.6966
283,json-schema,192208756,141751764361,53.7696
284,stringio,191321611,141943085972,53.8421
285,dry-configurable,189239730,142132325702,53.9139
286,csv,188585638,142320911340,53.9854
287,net-http,186722051,142507633391,54.0563
288,nap,186409923,142694043314,54.127
289,omniauth-oauth2,185947358,142879990672,54.1975
290,newrelic_rpm,185060294,143065050966,54.2677
291,fog-json,184818182,143249869148,54.3378
292,prism,184656385,143434525533,54.4079
293,google-api-client,184620325,143619145858,54.4779
294,ipaddress,183917507,143803063365,54.5477
295,state_machines,182808027,143985871392,54.617
296,bullet,182102206,144167973598,54.6861
297,web-console,181328414,144349302012,54.7549
298,uniform_notifier,181050827,144530352839,54.8235
299,fog-xml,180578397,144710931236,54.892
300,sass-listen,179517118,144890448354,54.9601
301,css_parser,179212798,145069661152,55.0281
302,net-sftp,177980893,145247642045,55.0956
303,http_parser.rb,177751585,145425393630,55.163
304,ffi-compiler,177731383,145603125013,55.2305
305,rack-proxy,176559323,145779684336,55.2974
306,xml-simple,176463034,145956147370,55.3644
307,fog-aws,175246679,146131394049,55.4308
308,nanaimo,174320111,146305714160,55.497
309,elasticsearch-transport,173734612,146479448772,55.5629
310,matrix,173681256,146653130028,55.6288
311,aws-sdk-sns,173518383,146826648411,55.6946
312,sassc-rails,173406616,147000055027,55.7603
313,rackup,172638698,147172693725,55.8258
314,kramdown-parser-gfm,170505400,147343199125,55.8905
315,babosa,170417092,147513616217,55.9552
316,aws-sdk-cloudformation,167891762,147681507979,56.0188
317,aws-sdk-lambda,167688971,147849196950,56.0824
318,aws-sdk-secretsmanager,167343450,148016540400,56.1459
319,celluloid,167035240,148183575640,56.2093
320,oauth,166911268,148350486908,56.2726
321,aws-sdk-cloudwatch,166678152,148517165060,56.3358
322,colorize,166488669,148683653729,56.399
323,activerecord-import,164704068,148848357797,56.4615
324,parallel_tests,164620203,149012978000,56.5239
325,unicode-emoji,164149836,149177127836,56.5862
326,faraday-cookie_jar,164145012,149341272848,56.6484
327,vcr,163164309,149504437157,56.7103
328,autoprefixer-rails,163156696,149667593853,56.7722
329,ttfunk,161297380,149828891233,56.8334
330,rchardet,161020150,149989911383,56.8945
331,tty-spinner,160584700,150150496083,56.9554
332,bindex,159925706,150310421789,57.016
333,fluent-plugin-s3,159070498,150469492287,57.0764
334,atomos,157364329,150626856616,57.1361
335,slop,157245117,150784101733,57.1957
336,fluent-plugin-kubernetes_metadata_filter,156996995,150941098728,57.2553
337,redis-client,156342833,151097441561,57.3146
338,stackprof,155275563,151252717124,57.3735
339,colored,154322564,151407039688,57.432
340,gh_inspector,154253950,151561293638,57.4905
341,guard,153631020,151714924658,57.5488
342,lumberjack,153221799,151868146457,57.6069
343,google-apis-androidpublisher_v3,152667700,152020814157,57.6648
344,backports,151574120,152172388277,57.7223
345,aws-sdk-iam,151436948,152323825225,57.7798
346,sexp_processor,151042849,152474868074,57.8371
347,rack-attack,149825060,152624693134,57.8939
348,open4,149177552,152773870686,57.9505
349,sorbet-runtime,147928060,152921798746,58.0066
350,sentry-ruby,147803090,153069601836,58.0627
351,ostruct,147377039,153216978875,58.1186
352,commander,145929014,153362907889,58.1739
353,aws-sdk-ecr,145611463,153508519352,58.2292
354,paper_trail,145194929,153653714281,58.2842
355,browser,144244411,153797958692,58.3389
356,descendants_tracker,143685012,153941643704,58.3934
357,aws-sdk-cloudwatchlogs,143431321,154085075025,58.4479
358,turbolinks,142564324,154227639349,58.5019
359,xcpretty,142020092,154369659441,58.5558
360,bundler-audit,141579566,154511239007,58.6095
361,climate_control,141217682,154652456689,58.6631
362,rufus-scheduler,140972965,154793429654,58.7165
363,carrierwave,140945919,154934375573,58.77
364,bindata,140893251,155075268824,58.8235
365,ruby_parser,140778038,155216046862,58.8769
366,nenv,140647688,155356694550,58.9302
367,notiffany,140639777,155497334327,58.9836
368,unicode_utils,139441880,155636776207,59.0364
