package,downloads,registry_name,in_stars,in_forks,in_downloads_90pct,sources
bundler,3670861388.0,bundler,True,True,True,stars+forks+downloads
aws-sdk-core,1735534533.0,aws-sdk-core,True,True,True,stars+forks+downloads
aws-sigv4,1542666286.0,aws-sigv4,True,True,True,stars+forks+downloads
aws-partitions,1503401650.0,aws-partitions,True,True,True,stars+forks+downloads
jmespath,1428846385.0,jmespath,True,True,True,stars+forks+downloads
i18n,1415699447.0,i18n,True,True,True,stars+forks+downloads
activesupport,1412649969.0,activesupport,True,True,True,stars+forks+downloads
rake,1395357068.0,rake,True,True,True,stars+forks+downloads
json,1355755833.0,json,True,True,True,stars+forks+downloads
concurrent-ruby,1350894115.0,concurrent-ruby,True,True,True,stars+forks+downloads
aws-eventstream,1346700829.0,aws-eventstream,True,True,True,stars+forks+downloads
rack,1332332606.0,rack,True,True,True,stars+forks+downloads
tzinfo,1302574308.0,tzinfo,True,True,True,stars+forks+downloads
minitest,1281474403.0,minitest,True,True,True,stars+forks+downloads
nokogiri,1249776487.0,nokogiri,True,True,True,stars+forks+downloads
addressable,1248517381.0,addressable,True,True,True,stars+forks+downloads
faraday,1241469867.0,faraday,True,True,True,stars+forks+downloads
public_suffix,1220136610.0,public_suffix,True,True,True,stars+forks+downloads
diff-lcs,1218933223.0,diff-lcs,True,True,True,stars+forks+downloads
rspec-core,1187996415.0,rspec-core,True,True,True,stars+forks+downloads
rspec-expectations,1187518803.0,rspec-expectations,True,True,True,stars+forks+downloads
rspec-mocks,1182198478.0,rspec-mocks,True,True,True,stars+forks+downloads
rspec-support,1174568773.0,rspec-support,True,True,True,stars+forks+downloads
multi_json,1150569936.0,multi_json,True,True,True,stars+forks+downloads
thor,1137357482.0,thor,True,True,True,stars+forks+downloads
aws-sdk-s3,1092149547.0,aws-sdk-s3,True,True,True,stars+forks+downloads
ffi,1073180440.0,ffi,True,True,True,stars+forks+downloads
aws-sdk-kms,1057101340.0,aws-sdk-kms,True,True,True,stars+forks+downloads
rspec,1011146338.0,rspec,True,True,True,stars+forks+downloads
unicode-display_width,968488522.0,unicode-display_width,True,True,True,stars+forks+downloads
mime-types,923099952.0,mime-types,True,True,True,stars+forks+downloads
builder,920491109.0,builder,True,True,True,stars+forks+downloads
multipart-post,915576435.0,multipart-post,True,True,True,stars+forks+downloads
activemodel,882549386.0,activemodel,True,True,True,stars+forks+downloads
mini_mime,870447435.0,mini_mime,True,True,True,stars+forks+downloads
parser,828189139.0,parser,True,True,True,stars+forks+downloads
activerecord,827451393.0,activerecord,True,True,True,stars+forks+downloads
actionpack,815491897.0,actionpack,True,True,True,stars+forks+downloads
parallel,811681714.0,parallel,True,True,True,stars+forks+downloads
rexml,810871125.0,rexml,True,True,True,stars+forks+downloads
rack-test,803290815.0,rack-test,True,True,True,stars+forks+downloads
jwt,801609851.0,jwt,True,True,True,stars+forks+downloads
tilt,785021188.0,tilt,True,True,True,stars+forks+downloads
ast,783778184.0,ast,True,True,True,stars+forks+downloads
rails,779205830.0,rails,True,True,True,stars+forks+downloads
railties,777205380.0,railties,True,True,True,stars+forks+downloads
rubyzip,777092084.0,rubyzip,True,True,True,stars+forks+downloads
method_source,767938956.0,method_source,True,True,True,stars+forks+downloads
actionview,766268811.0,actionview,True,True,True,stars+forks+downloads
actionmailer,763842759.0,actionmailer,True,True,True,stars+forks+downloads
mail,754842068.0,mail,True,True,True,stars+forks+downloads
rainbow,739818942.0,rainbow,True,True,True,stars+forks+downloads
mime-types-data,737435701.0,mime-types-data,True,True,True,stars+forks+downloads
faraday-net_http,736329487.0,faraday-net_http,True,True,True,stars+forks+downloads
loofah,736109102.0,loofah,True,True,True,stars+forks+downloads
ruby-progressbar,735115064.0,ruby-progressbar,True,True,True,stars+forks+downloads
rubocop,734707853.0,rubocop,True,True,True,stars+forks+downloads
racc,723234494.0,racc,True,True,True,stars+forks+downloads
connection_pool,714121393.0,connection_pool,True,True,True,stars+forks+downloads
excon,699638385.0,excon,True,True,True,stars+forks+downloads
rails-html-sanitizer,696248028.0,rails-html-sanitizer,True,True,True,stars+forks+downloads
activejob,696010000.0,activejob,True,True,True,stars+forks+downloads
zeitwerk,687602871.0,zeitwerk,True,True,True,stars+forks+downloads
nio4r,680201465.0,nio4r,True,True,True,stars+forks+downloads
http-cookie,675660712.0,http-cookie,True,True,True,stars+forks+downloads
rails-dom-testing,673995535.0,rails-dom-testing,True,True,True,stars+forks+downloads
domain_name,665154305.0,domain_name,True,True,True,stars+forks+downloads
regexp_parser,655109800.0,regexp_parser,True,True,True,stars+forks+downloads
globalid,655044043.0,globalid,True,True,True,stars+forks+downloads
websocket-driver,635011192.0,websocket-driver,True,True,True,stars+forks+downloads
coderay,633559883.0,coderay,True,True,True,stars+forks+downloads
pry,627158033.0,pry,True,True,True,stars+forks+downloads
erubi,619847466.0,erubi,True,True,True,stars+forks+downloads
rubygems-update,617390717.0,rubygems-update,False,False,True,downloads
sprockets,616732053.0,sprockets,True,True,True,stars+forks+downloads
thread_safe,609501804.0,thread_safe,True,True,True,stars+forks+downloads
mini_portile2,609044561.0,mini_portile2,True,True,True,stars+forks+downloads
crass,605460118.0,crass,True,True,True,stars+forks+downloads
puma,595931815.0,puma,True,True,True,stars+forks+downloads
actioncable,594202807.0,actioncable,True,True,True,stars+forks+downloads
multi_xml,593822457.0,multi_xml,True,True,True,stars+forks+downloads
websocket-extensions,584271328.0,websocket-extensions,True,True,True,stars+forks+downloads
redis,577344114.0,redis,True,True,True,stars+forks+downloads
sprockets-rails,558004953.0,sprockets-rails,True,True,True,stars+forks+downloads
netrc,553938345.0,netrc,True,True,True,stars+forks+downloads
rubocop-ast,552455088.0,rubocop-ast,True,True,True,stars+forks+downloads
dotenv,538308437.0,dotenv,True,True,True,stars+forks+downloads
unf_ext,537189212.0,unf_ext,True,True,True,stars+forks+downloads
