registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,docs_folder_count,docs_folder_files,error
rubygems,bundler,3670861388.0,4.0.20,431,325,2009-08-04,2026-09-02,https://github.com/bundler/bundler,https://rubygems.org/gems/bundler,https://bundler.io/,README.md,Yes,0,,
rubygems,aws-sdk-core,1735534533.0,3.254.1,1479,1444,2014-09-25,2026-08-06,https://github.com/aws/aws-sdk-ruby,https://rubygems.org/gems/aws-sdk-core,https://rubydoc.info/gems/aws-sdk-core,,No,0,,
rubygems,aws-sigv4,1542666286.0,1.12.1,32,30,2016-11-08,2025-06-10,https://github.com/aws/aws-sdk-ruby,https://rubygems.org/gems/aws-sigv4,https://rubydoc.info/gems/aws-sigv4,,No,0,,
rubygems,aws-partitions,1503401650.0,1.1283.0,1282,1282,2016-12-05,2026-09-08,https://github.com/aws/aws-sdk-ruby,https://rubygems.org/gems/aws-partitions,https://rubydoc.info/gems/aws-partitions,,No,0,,
rubygems,jmespath,1428846385.0,1.6.2,21,21,2014-10-24,2022-11-25,https://github.com/trevorrowe/jmespath.rb,https://rubygems.org/gems/jmespath,https://www.rubydoc.info/gems/jmespath/1.6.2,,No,0,,
rubygems,i18n,1415699447.0,1.15.2,89,80,2009-07-25,2026-06-19,https://github.com/svenfuchs/i18n,https://rubygems.org/gems/i18n,https://guides.rubyonrails.org/i18n.html,README.md,Yes,0,,
rubygems,activesupport,1412649969.0,8.1.3,505,329,2009-07-25,2026-07-29,https://github.com/rails/rails,https://rubygems.org/gems/activesupport,https://api.rubyonrails.org/v8.1.3.1/,README.rdoc,Yes,0,,
rubygems,rake,1395357068.0,13.4.2,96,80,2009-07-25,2026-04-16,https://github.com/ruby/rake,https://rubygems.org/gems/rake,https://ruby.github.io/rake,README.rdoc,Yes,12,doc/command_line_usage.rdoc; doc/example/Rakefile1; doc/example/Rakefile2; doc/example/a.c; doc/example/b.c; doc/example/main.c; doc/glossary.rdoc; doc/jamis.rb; doc/proto_rake.rdoc; doc/rake.1; doc/rakefile.rdoc; doc/rational.rdoc,
rubygems,json,1355755833.0,3.0.0,247,240,2009-07-25,2026-09-09,https://github.com/ruby/json,https://rubygems.org/gems/json,https://docs.ruby-lang.org/en/master/JSON.html,README.md,Yes,0,,
rubygems,concurrent-ruby,1350894115.0,1.3.8,138,77,2013-07-23,2026-07-19,https://github.com/ruby-concurrency/concurrent-ruby,https://rubygems.org/gems/concurrent-ruby,http://www.concurrent-ruby.com,README.md,Yes,0,,
