package,version,released,platform,prerelease
bundler,4.1.0.beta1,2026-09-09,ruby,True
bundler,4.0.20,2026-09-02,ruby,False
bundler,4.0.19,2026-08-20,ruby,False
bundler,4.0.18,2026-08-05,ruby,False
bundler,4.0.17,2026-07-22,ruby,False
bundler,4.0.16,2026-07-10,ruby,False
bundler,4.0.15,2026-06-23,ruby,False
bundler,4.0.14,2026-06-10,ruby,False
bundler,4.0.13,2026-06-03,ruby,False
bundler,4.0.12,2026-05-20,ruby,False
bundler,4.0.11,2026-04-30,ruby,False
bundler,4.0.10,2026-04-08,ruby,False
bundler,4.0.9,2026-03-25,ruby,False
bundler,4.0.8,2026-03-11,ruby,False
bundler,4.0.7,2026-02-25,ruby,False
bundler,4.0.6,2026-02-05,ruby,False
bundler,4.0.5,2026-01-29,ruby,False
bundler,4.0.4,2026-01-15,ruby,False
bundler,4.0.3,2025-12-23,ruby,False
bundler,4.0.2,2025-12-17,ruby,False
bundler,4.0.1,2025-12-09,ruby,False
bundler,4.0.0,2025-12-03,ruby,False
bundler,4.0.0.beta2,2025-11-26,ruby,True
bundler,4.0.0.beta1,2025-11-20,ruby,True
bundler,2.7.2,2025-09-09,ruby,False
bundler,2.7.1,2025-07-21,ruby,False
bundler,2.7.0,2025-07-16,ruby,False
bundler,2.6.9,2025-05-13,ruby,False
bundler,2.6.8,2025-04-13,ruby,False
bundler,2.6.7,2025-04-03,ruby,False
bundler,2.6.6,2025-03-13,ruby,False
bundler,2.6.5,2025-02-20,ruby,False
bundler,2.6.4,2025-02-17,ruby,False
bundler,2.6.3,2025-01-16,ruby,False
bundler,2.6.2,2024-12-23,ruby,False
bundler,2.6.1,2024-12-17,ruby,False
bundler,2.6.0,2024-12-16,ruby,False
bundler,2.5.23,2024-11-05,ruby,False
bundler,2.5.22,2024-10-16,ruby,False
bundler,2.5.21,2024-10-03,ruby,False
bundler,2.5.20,2024-09-24,ruby,False
bundler,2.5.19,2024-09-18,ruby,False
bundler,2.5.18,2024-08-26,ruby,False
bundler,2.5.17,2024-08-01,ruby,False
bundler,2.5.16,2024-07-18,ruby,False
bundler,2.5.15,2024-07-09,ruby,False
bundler,2.5.14,2024-06-21,ruby,False
bundler,2.5.13,2024-06-14,ruby,False
bundler,2.5.12,2024-06-13,ruby,False
bundler,2.5.11,2024-05-28,ruby,False
bundler,2.5.10,2024-05-03,ruby,False
bundler,2.5.9,2024-04-12,ruby,False
bundler,2.5.8,2024-04-11,ruby,False
bundler,2.5.7,2024-03-22,ruby,False
bundler,2.5.6,2024-02-06,ruby,False
bundler,2.5.5,2024-01-18,ruby,False
bundler,2.5.4,2024-01-04,ruby,False
bundler,2.5.3,2023-12-22,ruby,False
bundler,2.5.2,2023-12-21,ruby,False
bundler,2.5.1,2023-12-15,ruby,False
bundler,2.5.0,2023-12-15,ruby,False
bundler,2.4.22,2023-11-09,ruby,False
bundler,2.4.21,2023-10-17,ruby,False
bundler,2.4.20,2023-09-27,ruby,False
bundler,2.4.19,2023-08-17,ruby,False
bundler,2.4.18,2023-08-02,ruby,False
bundler,2.4.17,2023-07-14,ruby,False
bundler,2.4.16,2023-07-10,ruby,False
bundler,2.4.15,2023-06-29,ruby,False
bundler,2.4.14,2023-06-12,ruby,False
bundler,2.4.13,2023-05-10,ruby,False
bundler,2.4.12,2023-04-11,ruby,False
bundler,2.4.11,2023-04-10,ruby,False
bundler,2.4.10,2023-03-27,ruby,False
bundler,2.4.9,2023-03-20,ruby,False
bundler,2.4.8,2023-03-08,ruby,False
bundler,2.4.7,2023-02-15,ruby,False
bundler,2.4.6,2023-01-31,ruby,False
bundler,2.4.5,2023-01-21,ruby,False
bundler,2.4.4,2023-01-16,ruby,False
bundler,2.4.3,2023-01-06,ruby,False
bundler,2.4.2,2023-01-01,ruby,False
bundler,2.4.1,2022-12-24,ruby,False
bundler,2.4.0,2022-12-24,ruby,False
bundler,2.3.27,2023-11-10,ruby,False
bundler,2.3.26,2022-11-17,ruby,False
bundler,2.3.25,2022-11-02,ruby,False
bundler,2.3.24,2022-10-17,ruby,False
bundler,2.3.23,2022-10-05,ruby,False
bundler,2.3.22,2022-09-07,ruby,False
bundler,2.3.21,2022-08-24,ruby,False
bundler,2.3.20,2022-08-10,ruby,False
bundler,2.3.19,2022-07-27,ruby,False
bundler,2.3.18,2022-07-14,ruby,False
bundler,2.3.17,2022-06-29,ruby,False
bundler,2.3.16,2022-06-15,ruby,False
bundler,2.3.15,2022-06-01,ruby,False
bundler,2.3.14,2022-05-18,ruby,False
bundler,2.3.13,2022-05-04,ruby,False
bundler,2.3.12,2022-04-20,ruby,False
bundler,2.3.11,2022-04-07,ruby,False
bundler,2.3.10,2022-03-23,ruby,False
bundler,2.3.9,2022-03-09,ruby,False
bundler,2.3.8,2022-02-23,ruby,False
bundler,2.3.7,2022-02-09,ruby,False
bundler,2.3.6,2022-01-26,ruby,False
bundler,2.3.5,2022-01-12,ruby,False
bundler,2.3.4,2021-12-29,ruby,False
bundler,2.3.3,2021-12-24,ruby,False
bundler,2.3.2,2021-12-24,ruby,False
bundler,2.3.1,2021-12-22,ruby,False
bundler,2.3.0,2021-12-21,ruby,False
bundler,2.2.34,2023-02-06,ruby,False
bundler,2.2.33,2021-12-07,ruby,False
bundler,2.2.32,2021-11-23,ruby,False
bundler,2.2.31,2021-11-08,ruby,False
bundler,2.2.30,2021-10-26,ruby,False
bundler,2.2.29,2021-10-08,ruby,False
bundler,2.2.28,2021-09-23,ruby,False
bundler,2.2.27,2021-09-03,ruby,False
bundler,2.2.26,2021-08-17,ruby,False
bundler,2.2.25,2021-07-30,ruby,False
bundler,2.2.24,2021-07-15,ruby,False
bundler,2.2.23,2021-07-09,ruby,False
bundler,2.2.22,2021-07-06,ruby,False
bundler,2.2.21,2021-06-23,ruby,False
bundler,2.2.20,2021-06-11,ruby,False
bundler,2.2.19,2021-05-31,ruby,False
bundler,2.2.18,2021-05-25,ruby,False
bundler,2.2.17,2021-05-05,ruby,False
bundler,2.2.16,2021-04-09,ruby,False
bundler,2.2.15,2021-03-19,ruby,False
bundler,2.2.14,2021-03-08,ruby,False
bundler,2.2.13,2021-03-03,ruby,False
bundler,2.2.12,2021-03-01,ruby,False
bundler,2.2.11,2021-02-17,ruby,False
bundler,2.2.10,2021-02-15,ruby,False
bundler,2.2.9,2021-02-08,ruby,False
bundler,2.2.8,2021-02-02,ruby,False
bundler,2.2.7,2021-01-27,ruby,False
bundler,2.2.6,2021-01-19,ruby,False
bundler,2.2.5,2021-01-11,ruby,False
bundler,2.2.4,2020-12-31,ruby,False
bundler,2.2.3,2020-12-22,ruby,False
bundler,2.2.2,2020-12-17,ruby,False
bundler,2.2.1,2020-12-14,ruby,False
bundler,2.2.0,2020-12-10,ruby,False
bundler,2.2.0.rc.2,2020-10-07,ruby,True
bundler,2.2.0.rc.1,2020-07-02,ruby,True
bundler,2.1.4,2020-01-05,ruby,False
bundler,2.1.3,2020-01-02,ruby,False
bundler,2.1.2,2019-12-20,ruby,False
bundler,2.1.1,2019-12-18,ruby,False
bundler,2.1.0,2019-12-15,ruby,False
bundler,2.1.0.pre.3,2019-11-12,ruby,True
bundler,2.1.0.pre.2,2019-09-15,ruby,True
bundler,2.1.0.pre.1,2019-08-28,ruby,True
bundler,2.0.2,2019-06-13,ruby,False
bundler,2.0.1,2019-01-04,ruby,False
bundler,2.0.0,2019-01-03,ruby,False
bundler,2.0.0.pre.3,2018-12-30,ruby,True
bundler,2.0.0.pre.2,2018-11-27,ruby,True
bundler,2.0.0.pre.1,2018-11-09,ruby,True
bundler,1.17.3,2018-12-27,ruby,False
bundler,1.17.2,2018-12-11,ruby,False
bundler,1.17.1,2018-10-25,ruby,False
bundler,1.17.0,2018-10-25,ruby,False
bundler,1.17.0.pre.2,2018-10-13,ruby,True
bundler,1.17.0.pre.1,2018-09-23,ruby,True
bundler,1.16.6,2018-10-05,ruby,False
bundler,1.16.5,2018-09-18,ruby,False
bundler,1.16.4,2018-08-20,ruby,False
bundler,1.16.3,2018-07-17,ruby,False
bundler,1.16.2,2018-05-16,ruby,False
bundler,1.16.1,2017-12-21,ruby,False
bundler,1.16.0,2017-10-31,ruby,False
bundler,1.16.0.pre.3,2017-10-05,ruby,True
bundler,1.16.0.pre.2,2017-09-07,ruby,True
bundler,1.16.0.pre.1,2017-09-05,ruby,True
bundler,1.15.4,2017-08-19,ruby,False
bundler,1.15.3,2017-07-21,ruby,False
bundler,1.15.2,2017-07-17,ruby,False
bundler,1.15.1,2017-06-02,ruby,False
bundler,1.15.0,2017-05-19,ruby,False
bundler,1.15.0.pre.4,2017-05-10,ruby,True
bundler,1.15.0.pre.3,2017-05-01,ruby,True
bundler,1.15.0.pre.2,2017-04-23,ruby,True
bundler,1.15.0.pre.1,2017-04-17,ruby,True
bundler,1.14.6,2017-03-03,ruby,False
bundler,1.14.5,2017-02-22,ruby,False
bundler,1.14.4,2017-02-12,ruby,False
bundler,1.14.3,2017-01-24,ruby,False
bundler,1.14.2,2017-01-23,ruby,False
bundler,1.14.1,2017-01-21,ruby,False
bundler,1.14.0,2017-01-20,ruby,False
bundler,1.14.0.pre.2,2017-01-11,ruby,True
bundler,1.14.0.pre.1,2016-12-29,ruby,True
bundler,1.13.7,2016-12-25,ruby,False
bundler,1.13.6,2016-10-22,ruby,False
bundler,1.13.5,2016-10-15,ruby,False
bundler,1.13.4,2016-10-14,ruby,False
bundler,1.13.3,2016-10-10,ruby,False
bundler,1.13.2,2016-09-30,ruby,False
bundler,1.13.1,2016-09-13,ruby,False
bundler,1.13.0,2016-09-09,ruby,False
bundler,1.13.0.rc.2,2016-08-21,ruby,True
bundler,1.13.0.rc.1,2016-06-27,ruby,True
bundler,1.13.0.pre.1,2016-06-20,ruby,True
bundler,1.12.6,2016-10-10,ruby,False
bundler,1.12.5,2016-05-25,ruby,False
bundler,1.12.4,2016-05-16,ruby,False
bundler,1.12.3,2016-05-06,ruby,False
bundler,1.12.2,2016-05-04,ruby,False
bundler,1.12.1,2016-04-30,ruby,False
bundler,1.12.0,2016-04-29,ruby,False
bundler,1.12.0.rc.4,2016-04-21,ruby,True
bundler,1.12.0.rc.3,2016-04-20,ruby,True
bundler,1.12.0.rc.2,2016-04-15,ruby,True
bundler,1.12.0.rc,2016-03-14,ruby,True
bundler,1.12.0.pre.2,2016-02-26,ruby,True
bundler,1.12.0.pre.1,2016-02-09,ruby,True
bundler,1.11.2,2015-12-16,ruby,False
bundler,1.11.1,2015-12-15,ruby,False
bundler,1.11.0,2015-12-13,ruby,False
bundler,1.11.0.pre.2,2015-12-06,ruby,True
bundler,1.11.0.pre.1,2015-11-30,ruby,True
bundler,1.10.6,2015-07-22,ruby,False
bundler,1.10.5,2015-06-24,ruby,False
bundler,1.10.4,2015-06-16,ruby,False
bundler,1.10.3,2015-06-04,ruby,False
bundler,1.10.2,2015-05-30,ruby,False
bundler,1.10.1,2015-05-29,ruby,False
bundler,1.10.0,2015-05-28,ruby,False
bundler,1.10.0.rc,2015-05-19,ruby,True
