rank,repository,stars,forks,dependency_status,dependency_count
1,leereilly/swot,1181,37927,available,0
2,rails/rails,58748,22390,available,1083
3,rapid7/metasploit-framework,38931,14959,available,394
4,github/explore,4874,14494,available,134
5,Homebrew/homebrew-core,15542,13805,available,25
6,Homebrew/homebrew-cask,22183,11855,available,14
7,Homebrew/brew,49366,11310,available,183
8,jekyll/jekyll,51658,10300,available,79
9,discourse/discourse,47783,9009,available,2333
10,chatwoot/chatwoot,36417,8785,available,1670
11,mastodon/mastodon,50264,7487,available,1763
12,fastlane/fastlane,42048,6025,available,241
13,gitlabhq/gitlabhq,24549,5988,available,5764
14,learn-co-students/first-ide-lab-bootcamp-prep-000,5,5858,available,10
15,maybe-finance/maybe,54300,5680,available,9
16,ruby/ruby,23699,5637,available,336
17,deadlyvipers/dojo_rules,70,5537,unavailable:FetchError,0
18,heartcombo/devise,24358,5473,available,105
19,github-linguist/linguist,13672,5364,available,556
20,spree/spree,15661,5294,available,1109
21,dependabot/demo,333,4894,available,17
22,hashicorp/vagrant,27206,4395,available,37
23,community/community,8737,4342,unavailable:FetchError,0
24,huginn/huginn,49882,4303,available,377
25,forem/forem,22774,4178,available,2168
26,citation-style-language/styles,3889,4145,available,51
27,saasbook/hw-ruby-intro,112,3933,available,3
28,bigbluebutton/greenlight,849,3669,available,1358
29,bayandin/awesome-awesomeness,33644,3601,available,0
30,opf/openproject,16008,3467,available,2085
31,saasbook/rottenpotatoes-rails-intro,35,3445,available,77
32,github/markup,6047,3376,available,68
33,lighthouse-labs/ar-exercises,3,3344,available,12
34,activeadmin/activeadmin,9707,3324,available,510
35,lukes/ISO-3166-Countries-with-Regional-Codes,2470,3274,available,13
36,faker-ruby/faker,11935,3215,available,52
37,learn-co-curriculum/phase-3-running-ruby-code,3,3175,available,2
38,matteocrippa/awesome-swift,26238,3141,available,5
39,rubocop/rubocop,12894,3131,available,29
40,case451/hw3_rottenpotatoes,5,3066,unavailable:FetchError,0
41,learn-co-curriculum/phase-3-methods,5,3017,available,2
42,instructure/canvas-lms,6792,3018,available,3783
43,learn-co-curriculum/phase-4-rails-and-active-record-lab,4,2943,available,58
44,learn-co-curriculum/phase-3-ruby-oo-basics-setter-and-getter-methods,6,2930,available,2
45,learn-co-curriculum/phase-3-control-flow-conditional-statements,2,2927,available,2
46,learn-co-curriculum/phase-3-reading-error-messages,4,2899,available,2
47,learn-co-curriculum/phase-4-rails-routing-basics-lab,2,2898,available,58
48,diaspora/diaspora,13652,2864,available,325
49,learn-co-curriculum/phase-3-ruby-oo-self-person-lab,1,2859,available,2
50,learn-co-curriculum/phase-3-ruby-oo-basics-instance-variables-lab,4,2857,available,2
51,learn-co-curriculum/phase-3-control-flow-loops,2,2830,available,2
52,learn-co-curriculum/phase-3-debugging-with-pry,2,2817,available,2
53,learn-co-curriculum/phase-3-ruby-oo-basics-putting-the-pieces-together-lab,1,2806,available,2
54,learn-co-curriculum/phase-3-ruby-oo-basics-instance-methods-lab,4,2768,available,2
55,learn-co-curriculum/phase-3-ruby-oo-class-variables-and-class-methods-lab,1,2753,available,2
56,alexch/learn_ruby,267,2740,available,2
57,learn-co-curriculum/phase-4-rails-create-read-lab,6,2724,available,1225
58,hpyhacking/peatio,3600,2724,available,178
59,learn-co-curriculum/phase-4-rails-and-active-record-readme,3,2692,available,58
60,svenfuchs/rails-i18n,4032,2687,available,70
61,learn-co-curriculum/phase-3-enumerables-lab,2,2679,available,2
62,CocoaPods/CocoaPods,14831,2680,available,130
63,learn-co-curriculum/phase-3-active-record-writing-migrations-lab,1,2655,available,32
64,learn-co-curriculum/phase-4-rails-routing-basics-readme,3,2650,available,58
65,freeCodeCamp/devdocs,39409,2634,unavailable:FetchError,0
66,learn-co-curriculum/phase-3-ruby-oo-basics-attribute-accessors-lab,3,2624,available,2
67,learn-co-students/first-ide-lab-js-intro-000,3,2574,unavailable:FetchError,0
68,learn-co-curriculum/phase-3-ruby-oo-basics-object-initialization-lab,1,2568,available,2
69,learn-co-curriculum/phase-3-active-record-migrations,2,2560,available,32
70,imathis/octopress,9235,2554,available,13
71,thoughtbot/factory_bot,8169,2555,available,87
72,learn-co-curriculum/phase-3-active-record-translating-from-orm-to-ar,0,2547,available,25
