rank,repository,stars,forks,dependency_status,dependency_count
1,rails/rails,58748,22390,available,1083
2,maybe-finance/maybe,54300,5680,available,9
3,jekyll/jekyll,51658,10300,available,79
4,mastodon/mastodon,50264,7487,available,1763
5,huginn/huginn,49882,4303,available,377
6,Homebrew/brew,49366,11310,available,183
7,discourse/discourse,47783,9009,available,2333
8,fastlane/fastlane,42048,6025,available,241
9,freeCodeCamp/devdocs,39409,2634,unavailable:FetchError,0
10,rapid7/metasploit-framework,38931,14959,available,394
11,kilimchoi/engineering-blogs,38568,2034,available,9
12,chatwoot/chatwoot,36417,8785,available,1670
13,bayandin/awesome-awesomeness,33644,3601,available,0
14,hashicorp/vagrant,27206,4395,available,37
15,matteocrippa/awesome-swift,26238,3141,available,5
16,gitlabhq/gitlabhq,24549,5988,available,5764
17,heartcombo/devise,24358,5473,available,105
18,ruby/ruby,23699,5637,available,336
19,forem/forem,22774,4178,available,2168
20,Homebrew/homebrew-cask,22183,11855,available,14
21,lewagon/setup,19623,1577,available,42
22,docusealco/docuseal,18417,1843,available,1232
23,postalserver/postal,16781,1285,available,169
24,opf/openproject,16008,3467,available,2085
25,spree/spree,15661,5294,available,1109
26,Homebrew/homebrew-core,15542,13805,available,25
27,CocoaPods/CocoaPods,14831,2680,available,130
28,mame/quine-relay,14593,567,available,1
29,basecamp/kamal,14558,748,available,90
30,neutraltone/awesome-stock-resources,14491,813,available,6
31,gollum/gollum,14320,1561,available,195
32,tmuxinator/tmuxinator,13714,626,available,13
33,github-linguist/linguist,13672,5364,available,556
34,diaspora/diaspora,13652,2864,available,325
35,fluent/fluentd,13581,1406,available,48
36,sidekiq/sidekiq,13554,2479,available,28
37,capistrano/capistrano,12992,1740,available,95
38,rubocop/rubocop,12894,3131,available,29
39,sinatra/sinatra,12449,2071,available,47
40,ubicloud/ubicloud,12255,588,available,553
41,faker-ruby/faker,11935,3215,available,52
42,Shopify/liquid,11873,1538,available,20
43,greatghoul/remote-working,11742,889,available,0
44,jordansissel/fpm,11500,1065,available,18
45,DeathKing/Learning-SICP,11271,1527,available,0
46,Freika/dawarich,10285,368,available,327
47,teamcapybara/capybara,10171,1468,available,40
48,ruby-grape/grape,10004,1231,available,29
49,wpscanteam/wpscan,9751,1343,available,61
50,activeadmin/activeadmin,9707,3324,available,510
51,we-promise/sure,9694,433,available,1055
52,antiwork/gumroad,9651,2034,available,1527
53,thoughtbot/guides,9561,1347,available,94
54,resque/resque,9478,1657,available,25
55,freeCodeCamp/how-to-contribute-to-open-source,9330,1862,unavailable:FetchError,0
56,imathis/octopress,9235,2554,available,13
57,thoughtbot/paperclip,9015,2410,available,32
58,thoughtbot/bourbon,9004,857,available,612
59,ankane/pghero,8915,478,available,11
60,javan/whenever,8857,715,available,7
61,carrierwaveuploader/carrierwave,8776,1648,available,28
62,community/community,8737,4342,unavailable:FetchError,0
63,kaminari/kaminari,8670,1073,available,30
64,varvet/pundit,8521,641,available,19
65,chef/chef,8233,2521,available,350
66,heartcombo/simple_form,8229,1295,available,57
67,thoughtbot/factory_bot,8169,2555,available,87
68,basecamp/fizzy,8161,1181,available,178
69,omniauth/omniauth,8101,976,available,24
70,railsadminteam/rails_admin,7956,2230,available,78
71,puppetlabs/puppet,7926,2209,available,51
72,puma/puma,7914,1489,available,35
73,github/scientist,7753,503,available,4
74,github-changelog-generator/github-changelog-generator,7536,843,available,24
75,realm/jazzy,7380,414,available,117
76,flyerhzm/bullet,7334,456,available,17
77,presidentbeef/brakeman,7266,777,available,1294
78,middleman/middleman,7110,752,available,165
79,paper-trail-gem/paper_trail,7028,907,available,27
80,skwp/dotfiles,6972,1354,available,1
81,chyingp/nodejs-learning-guide,6864,1201,available,88
82,BetterErrors/better_errors,6862,431,available,18
83,pry/pry,6835,610,available,13
84,midudev/autoskills,6824,615,available,507
85,urbanadventurer/WhatWeb,6809,1006,available,13
86,instructure/canvas-lms,6792,3018,available,3783
87,sj26/mailcatcher,6776,605,available,29
88,bkeepers/dotenv,6764,515,available,13
89,ankane/searchkick,6720,761,available,38
90,kkuchta/css-only-chat,6589,264,available,12
91,busyloop/lolcat,6568,232,available,4
92,ankane/chartkick,6528,562,available,14
93,alexreisner/geocoder,6445,1201,available,27
94,guard/guard,6438,493,available,30
95,hanami/hanami,6405,552,available,45
96,norman/friendly_id,6224,591,available,20
97,ryanb/cancan,6204,771,available,13
98,ddollar/foreman,6159,627,available,12
99,felixonmars/dnsmasq-china-list,6119,953,available,8
100,vcr/vcr,6074,511,available,36
