package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
wkhtmltopdf-binary,0.12.6.3,257172480,257.172,35,35,9001036800,9.001
devfile,0.5.5,113810944,113.811,148,70,16844019712,16.844
metasploit-payloads,2.0.253,57024000,57.024,472,461,26915328000,26.9153
discourse-emojis,1.0.46,53465088,53.465,50,50,2673254400,2.6733
lefthook,2.1.12,50752000,50.752,194,194,9845888000,9.8459
chef-powershell,18.6.6,44967424,44.967,15,15,674511360,0.6745
fastlane-plugin-sentry,2.6.3,42046464,42.046,88,85,3700088832,3.7001
gettext_i18n_rails_js,3.1.6,41792512,41.793,34,34,1420945408,1.4209
jruby-jars,10.1.1.0,41406464,41.406,158,142,6542221312,6.5422
onnxruntime,0.11.6,38808576,38.809,166,166,6442223616,6.4422
metasploit_payloads-mettle,1.0.48,24729088,24.729,119,116,2942761472,2.9428
code_ownership,2.1.4,23345152,23.345,119,93,2778073088,2.7781
libdatadog,40.0.0.1.0,21873664,21.874,149,146,3259175936,3.2592
discourse_ai-tokenizers,0.4.2,21583360,21.583,10,10,215833600,0.2158
grpc-tools,1.83.1,19286016,19.286,201,128,3876489216,3.8765
gemojione,4.3.3,17678848,17.679,23,23,406613504,0.4066
h3,3.7.4,17341952,17.342,12,12,208103424,0.2081
pry-doc,1.7.0,16153600,16.154,57,33,920755200,0.9208
webrat,0.7.3,14868992,14.869,22,20,327117824,0.3271
jdbc-sqlite3,3.46.1.1,14099968,14.1,22,21,310199296,0.3102
tanuki_emoji,0.13.0,13693952,13.694,15,15,205409280,0.2054
jruby-openssl,0.19.1,13030912,13.031,97,88,1263998464,1.264
twitter_cldr,6.14.0,12976640,12.977,89,88,1154920960,1.1549
ladle,1.0.1,11854848,11.855,12,10,142258176,0.1423
open_graph_reader,0.9.1,9999872,10.0,14,14,139998208,0.14
selenium-webdriver,4.48.0,8539136,8.539,261,218,2228714496,2.2287
cppjieba_rb,0.4.4,8040448,8.04,10,10,80404480,0.0804
ejson,1.5.3,7948800,7.949,15,13,119232000,0.1192
google-api-client,0.53.0,7762432,7.762,199,193,1544723968,1.5447
grpc,1.83.1,7657472,7.657,1486,940,11379003392,11.379
discourse_math_bundle,1.0.1,7380992,7.381,2,2,14761984,0.0148
passenger,6.2.0,7342080,7.342,207,194,1519810560,1.5198
sorbet-static,0.6.13486,6025216,6.025,13376,13375,80593289216,80.5933
koala,3.7.0,5522944,5.523,74,41,408697856,0.4087
csl-styles,2.0.2,5442048,5.442,15,15,81630720,0.0816
karafka-rdkafka,0.28.1,4983808,4.984,222,139,1106405376,1.1064
rdkafka,0.29.1,4977664,4.978,146,125,726738944,0.7267
debase-ruby_core_source,4.0.1,4926464,4.926,66,65,325146624,0.3251
nokogiri,1.19.4,4369408,4.369,1185,982,5177748480,5.1777
telephone_number,1.4.26,4277248,4.277,44,43,188198912,0.1882
elasticsearch-rails,8.0.1,4263424,4.263,34,28,144956416,0.145
datadog_api_client,2.59.1,4175872,4.176,78,76,325718016,0.3257
github-linguist,9.7.0,4096000,4.096,207,205,847872000,0.8479
jar-dependencies,0.6.0,3580416,3.58,57,49,204083712,0.2041
sqlite3,2.9.6,3350016,3.35,672,567,2251210752,2.2512
libddwaf,1.30.0.0.0,3265536,3.266,287,237,937208832,0.9372
prawn-emoji,6.0.0,3211264,3.211,20,19,64225280,0.0642
gpgme,2.0.26,3166208,3.166,27,27,85487616,0.0855
hexapdf,1.10.0,2942464,2.942,114,114,335440896,0.3354
rswag-ui,2.17.0,2917888,2.918,46,43,134222848,0.1342
undercover,0.8.5,2848768,2.849,43,43,122497024,0.1225
extralite-bundle,3.0.1,2762752,2.763,34,34,93933568,0.0939
re2,2.27.0,2752000,2.752,478,435,1315456000,1.3155
ip2location_ruby,8.8.1,2739200,2.739,26,26,71219200,0.0712
jekyll-theme-midnight,0.2.0,2676224,2.676,7,7,18733568,0.0187
countries,8.1.0,2644480,2.644,103,98,272381440,0.2724
rubyXL,3.4.38,2627072,2.627,134,134,352027648,0.352
ace-rails-ap,4.5,2619392,2.619,23,23,60246016,0.0602
pg_query,6.2.3,2479616,2.48,78,78,193410048,0.1934
jdbc-mysql,9.1.0,2446336,2.446,30,30,73390080,0.0734
less,2.6.0,2153984,2.154,76,74,163702784,0.1637
stripe,19.6.1,2054656,2.055,546,380,1121842176,1.1218
google-cloud-compute-v1,3.9.1,2044928,2.045,55,55,112471040,0.1125
rugged,1.9.6,1986048,1.986,116,68,230381568,0.2304
lookbook,2.3.15,1861632,1.862,140,98,260628480,0.2606
lexxy,0.9.31,1826816,1.827,76,16,138838016,0.1388
license_scout,2.6.10,1826304,1.826,98,98,178977792,0.179
aws-sdk-ec2,1.644.0,1800704,1.801,662,644,1192066048,1.1921
argon2,2.3.3,1780736,1.781,28,28,49860608,0.0499
curses,1.7.0,1639424,1.639,62,61,101644288,0.1016
brakeman,8.0.6,1630208,1.63,168,158,273874944,0.2739
puppet,8.10.0,1533952,1.534,836,801,1282383872,1.2824
libv8,8.4.255.0,1528832,1.529,455,334,695618560,0.6956
twilio-ruby,7.11.1,1426944,1.427,357,317,509419008,0.5094
